NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
AUS,210049,210049,003,Navigator,Ulimate 3000 (TRADITIONAL 30),Jerry Hendrey - Kirribilli,PETER COLE,1983,RMYC-PH & CSC,,,,ORC,CLUB,C,471,20 07 2026 03:15:04,9.140,7.767,1.716,2.99,4327.,0.0,0.58,752.2,0.7277,824.5,0.9015,665.6,1269.7,1012.5,874.6,785.5,729.1,698.3,670.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.7,787.1,693.1,638.6,606.1,586.6,563.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.4,947.5,784.0,683.5,629.0,592.3,538.4,45.3,43.4,42.1,41.1,40.2,39.9,39.9,145.3,147.3,152.4,159.2,172.7,178.1,179.0,1372.9,1109.5,973.5,890.5,843.5,824.0,816.6,882.9,729.3,650.5,607.6,585.5,574.6,569.4,830.1,693.4,624.1,589.0,569.8,559.0,552.2,800.1,669.6,604.6,573.1,554.8,542.2,527.7,761.3,630.3,573.9,548.7,535.4,527.0,511.1,745.9,617.7,564.0,536.7,515.1,496.0,471.2,772.3,634.5,571.8,541.0,517.2,494.5,458.4,860.4,691.9,602.2,559.3,532.9,509.4,465.4,1010.3,792.9,673.2,599.8,561.1,536.4,493.2,1166.6,915.5,775.8,680.4,614.8,572.6,525.0,0.6823,0.9077,1.0293,0.5258,0.7317,0.8624,0.0,0.0000,2026,0.8256,726.7,03020004VDW,6.696,4971,21.0,23.1,26.0,0.0,62.6,879.4,661.0,582.9,1141.1,820.0,695.7,730.0,666.5,0.8220,0.9002,659.1,552.5,524.2,41.0,178.6,833.4,570.8,551.2,522.4,495.8,458.1,439.9,434.6,455.0,484.7,1874.2,1409.6,1860.0,47.4,142.1,2016.4,1270.7,1170.8,1112.8,1075.3,1050.0,1092.6,1251.9,1500.0,1732.0
AUS,2097,2097,0038,SEREMISA,Dehler 38 SQc,Hanse,Judel Vrolijk,2021,NSW 2107,,,,ORC,CLUB,C,739,22 06 2026 02:24:10,11.293,10.665,2.034,3.76,7490.,0.0,0.20,603.4,0.9068,661.6,1.1186,536.4,997.7,803.0,694.2,629.6,594.9,573.5,548.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.9,627.1,555.5,515.9,494.0,478.8,457.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.9,753.7,625.5,550.7,512.9,483.7,436.1,44.5,42.3,40.8,39.6,39.0,38.8,38.9,143.1,147.6,151.6,157.7,165.1,170.9,175.8,1045.7,854.6,752.2,700.9,680.8,670.8,665.1,676.3,568.1,513.1,487.4,476.4,471.2,466.1,637.0,542.7,496.9,474.3,463.0,457.5,451.5,611.2,525.7,485.5,463.7,449.2,439.2,429.1,616.6,516.5,473.3,453.3,443.0,431.4,411.1,605.6,505.8,463.7,438.8,419.2,403.8,385.5,622.0,516.3,469.6,443.0,420.6,400.5,367.0,692.6,562.2,494.9,461.0,436.8,414.4,372.7,822.4,650.7,551.6,491.8,460.4,437.3,395.6,949.7,751.3,636.2,558.2,509.1,476.2,431.8,0.8621,1.1259,1.2639,0.6664,0.9134,1.0536,0.0,0.0000,2026,1.0262,584.7,03020004TND,9.872,8517,32.0,49.7,36.5,118.5,110.7,696.0,532.9,474.7,900.4,656.9,569.5,583.8,542.3,1.0277,1.1065,534.2,443.5,421.7,39.9,171.7,674.3,466.2,451.1,424.1,399.4,370.5,347.1,325.7,354.8,394.2,1439.6,1082.2,1434.2,47.1,138.8,1493.2,940.7,865.0,813.6,834.9,842.0,870.4,990.8,1200.3,1386.0
AUS,2029,2029,00400,VENTO,FARR 400,PREMIER COMPOSITES,FARR,2011,NSW 2105,,,,ORC,CLUB,R,748,29 06 2026 06:21:15,11.800,11.449,2.894,3.41,3973.,0.0,0.00,507.0,1.0636,564.1,1.3182,455.2,795.7,655.2,590.4,550.3,520.3,492.1,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.5,519.1,474.9,445.7,423.5,404.2,374.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,617.8,533.1,477.5,440.8,407.8,355.6,42.3,39.7,38.3,38.1,37.6,37.4,37.6,141.2,144.9,148.6,151.2,147.5,146.0,147.1,813.2,691.0,647.1,624.4,610.4,601.2,596.5,538.6,472.3,451.1,439.5,431.7,425.4,418.5,512.0,455.3,435.3,422.7,413.4,406.3,398.0,494.0,442.3,414.8,398.7,386.8,377.7,365.8,500.8,445.5,410.5,384.0,366.8,354.1,335.1,501.8,436.7,406.0,382.4,362.8,342.9,303.2,510.2,435.7,392.9,366.9,344.8,325.6,294.2,563.4,456.5,407.8,364.4,326.3,299.1,262.1,674.0,536.4,462.1,412.7,372.6,331.8,259.4,778.3,619.4,533.6,476.2,430.3,383.1,299.6,1.0585,1.3158,1.5081,0.8271,1.0621,1.2432,0.0,0.0000,2026,1.2118,495.1,03020004UBA,11.445,5036,29.1,63.8,36.5,0.0,178.3,566.8,456.0,397.9,725.4,564.9,482.6,500.0,448.3,1.2001,1.3385,421.0,356.6,335.9,39.0,150.8,607.1,420.4,397.6,360.3,323.1,278.8,269.3,231.2,203.9,234.9,1133.1,857.8,1132.5,45.1,139.3,1139.2,731.0,680.0,643.3,659.9,693.0,720.7,808.6,976.0,1127.0
AUS,2043,2043,010,Organised Chaos,Adams 10,,Joe Adams,1980,VIC 3936,,,,ORC,CLUB,R,450,20 07 2026 03:37:49,9.990,9.278,1.782,2.74,2838.,0.0,0.21,637.8,0.8575,699.7,1.0590,566.6,1064.5,845.9,729.8,667.6,631.0,607.3,575.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.2,661.0,586.0,546.5,521.9,504.3,477.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.6,796.6,659.2,583.1,541.9,508.9,454.5,43.6,40.9,39.1,38.0,37.6,37.4,37.4,145.1,149.2,151.6,157.1,164.8,170.5,169.8,1033.5,845.8,756.0,724.5,710.0,701.8,695.0,676.4,572.7,528.5,513.1,505.9,501.4,496.1,641.6,552.6,514.7,498.6,491.0,486.1,479.4,621.3,539.5,504.5,483.4,470.0,462.2,450.6,637.6,544.0,504.6,479.4,458.8,443.7,424.7,669.6,549.7,499.9,468.5,443.9,425.9,401.7,696.8,567.5,508.3,473.3,443.4,418.0,374.6,788.6,628.7,543.1,498.7,465.7,435.2,374.7,948.8,732.6,610.0,536.4,496.9,466.1,410.4,1095.6,846.0,703.6,610.8,552.0,512.9,455.3,0.8146,1.0656,1.2031,0.6281,0.8645,0.9981,0.0,0.0000,2026,0.9710,617.9,03020004VE3,8.887,3485,19.8,27.7,27.2,51.6,0.0,736.6,563.1,498.7,955.3,694.0,601.1,609.5,583.0,0.9844,1.0292,551.1,455.6,432.1,38.5,144.4,704.6,496.2,477.8,445.0,412.4,385.8,342.1,302.3,344.3,397.5,1549.7,1159.8,1557.4,46.1,136.9,1472.7,937.3,872.1,831.6,861.7,949.9,993.8,1154.1,1408.9,1626.8
AUS,2829,2829,0122,TENACITY,J122E,J Composites,Johnstone,2006,,,,,ORC,INTL,C,761,26 06 2026 01:21:47,12.190,11.089,2.229,3.64,7165.,121.4,0.18,581.2,0.9491,632.2,1.1592,517.6,949.5,761.6,658.6,603.0,572.2,552.4,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.3,599.5,533.6,499.1,479.4,465.3,443.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.4,716.6,597.1,531.2,496.7,469.9,427.2,43.7,41.4,39.7,38.4,37.7,37.4,37.7,142.3,148.0,151.2,157.2,164.8,169.6,168.1,991.2,806.5,712.1,670.6,653.4,643.9,634.4,647.1,542.7,493.5,473.6,465.4,460.6,455.2,612.6,521.5,480.4,461.9,453.0,448.2,442.2,590.8,508.1,471.4,451.6,439.0,430.6,421.4,602.4,506.2,472.8,450.8,434.6,421.2,403.2,584.9,490.1,453.5,434.6,422.5,412.2,394.7,598.0,497.4,455.7,430.8,411.2,397.2,374.9,665.0,537.1,475.0,443.0,418.1,394.9,348.5,786.3,620.7,524.5,471.8,442.7,418.8,372.4,907.9,716.8,605.1,535.3,491.1,460.9,415.7,0.9011,1.1672,1.3024,0.7013,0.9569,1.0967,0.0,0.0000,2026,1.0671,562.2,03020004U6M,10.502,8232,32.5,47.3,38.4,144.7,0.0,665.9,514.1,460.7,855.6,627.0,547.1,561.6,521.5,1.0683,1.1505,504.9,427.5,410.9,38.7,150.7,639.6,454.3,441.5,416.9,392.9,378.6,355.4,311.4,320.7,370.2,1374.1,1039.0,1369.5,46.3,140.3,1420.2,900.9,834.6,791.4,816.6,817.6,842.4,955.0,1150.1,1328.0
AUS,2867,2867,07,WINGS,DEHLER 46,DEHLER,JUDEL/VROLIJK,2014,NSW 2063,,,,ORC,INTL,C,1004,17 07 2026 01:10:12,13.885,13.169,2.576,4.32,11515.,116.7,0.13,542.8,1.0056,596.7,1.2421,483.1,895.3,717.4,622.2,570.9,539.9,519.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,561.2,498.3,466.2,446.6,432.5,410.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.1,674.2,560.9,497.6,463.5,437.4,393.9,43.4,41.4,39.8,38.9,38.3,38.0,37.9,142.4,147.3,150.9,155.4,162.1,167.5,169.1,916.9,747.2,664.9,631.4,614.5,604.2,594.2,597.9,502.1,457.3,440.0,432.1,427.0,421.3,565.6,482.0,442.9,426.7,419.6,414.7,408.7,544.0,468.5,433.6,415.2,404.4,397.8,388.5,534.7,457.1,422.6,404.6,393.8,386.1,370.4,558.2,463.4,422.3,402.2,385.5,368.9,344.6,572.0,471.6,426.2,401.0,381.0,366.7,336.3,637.9,513.6,448.5,415.4,391.4,369.7,329.0,756.5,595.4,502.0,446.7,415.9,393.0,351.4,873.6,687.5,579.4,510.5,465.2,433.7,389.9,0.9622,1.2502,1.4021,0.7441,1.0128,1.1671,0.0,0.0000,2026,1.1392,526.7,03020004VBS,12.178,12956,44.5,73.3,54.6,182.0,0.0,623.6,479.9,427.9,806.3,592.4,514.1,523.2,489.7,1.1467,1.2252,475.4,396.3,377.0,38.8,162.7,599.8,420.3,406.9,384.3,361.4,328.7,308.3,295.7,308.4,351.1,1297.7,973.4,1296.4,46.0,139.7,1310.9,830.4,766.4,722.6,722.3,770.2,808.7,920.3,1112.4,1284.5
AUS,2192,2192,095,ANARCHY,Bakwell-White 40,Yachting Developments,Bakwell-White,2014,,,,,ORC,INTL,R,768,01 09 2026 05:19:10,12.211,11.565,3.210,3.80,4134.,0.0,0.00,494.2,1.0857,552.7,1.3582,441.8,789.8,643.1,575.3,537.8,511.0,484.0,437.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.1,510.0,461.7,431.6,409.0,389.0,356.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,607.1,519.2,462.4,425.8,391.9,335.7,42.5,40.0,38.4,37.7,37.4,37.4,37.5,141.1,144.7,148.9,151.9,148.5,145.3,142.8,798.4,666.3,616.7,597.4,587.3,580.3,573.2,528.1,457.8,432.9,420.7,412.3,405.8,397.1,502.5,444.0,416.8,402.3,392.6,385.1,375.0,485.9,434.9,400.5,377.9,364.9,354.4,339.2,493.5,439.0,402.7,369.9,345.0,328.4,305.3,499.7,428.9,385.8,360.7,339.4,321.0,280.7,511.0,432.6,383.9,346.0,322.1,301.9,269.7,565.3,457.6,409.1,365.8,323.2,286.8,241.8,676.6,536.9,462.4,414.9,376.4,335.9,260.7,781.3,619.9,533.9,478.3,434.6,387.8,301.0,1.0723,1.3559,1.5721,0.8374,1.0862,1.2681,0.0,0.0000,2026,1.2475,480.9,03020004WVM,12.031,5221,30.7,64.1,39.5,0.0,176.6,559.5,442.5,381.7,716.5,552.4,473.1,483.9,442.2,1.2400,1.3570,405.6,334.6,313.3,38.5,147.6,577.8,395.5,371.1,330.8,290.3,251.2,244.3,210.3,202.1,233.4,1133.7,857.2,1134.1,45.2,139.3,1129.8,724.0,672.7,636.5,653.1,699.5,727.2,816.1,985.2,1137.6
AUS,210025,210052,1041,CARTE BLANCHE,First 36,Beneteau,Manuard,2022,,,,,ORC,INTL,C,735,07 08 2026 04:22:42,10.966,10.569,2.235,3.79,5078.,110.2,0.19,595.2,0.9138,656.6,1.1388,526.9,1000.1,799.9,688.1,622.9,591.5,570.6,535.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.3,623.3,548.9,506.2,482.0,464.1,435.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.6,749.8,619.0,541.0,500.5,467.7,414.1,44.1,42.0,40.3,39.0,38.3,38.2,39.6,142.8,146.6,147.6,151.4,153.0,151.1,145.0,1065.4,862.5,756.0,695.0,669.0,657.6,648.7,692.5,576.5,517.6,483.8,468.7,462.3,456.0,654.7,551.8,498.7,471.1,455.0,446.8,438.3,633.0,535.7,486.9,460.8,440.4,424.7,409.7,611.2,510.2,467.0,449.6,435.8,418.9,388.3,590.6,491.5,447.8,416.8,396.4,382.0,357.5,602.4,497.6,451.8,417.3,388.0,364.0,333.3,680.8,541.8,475.2,439.0,406.9,376.9,316.9,809.6,638.5,537.1,477.9,446.6,419.1,365.1,934.9,737.3,620.2,550.8,514.1,483.6,421.6,0.8636,1.1447,1.3105,0.6667,0.9209,1.0666,0.0,0.0000,2026,1.0436,574.9,03020004W5Q,9.901,6102,30.7,37.7,36.6,0.0,137.7,694.8,524.2,457.8,900.0,651.5,562.5,578.1,530.5,1.0380,1.1311,495.0,409.4,388.6,40.6,140.9,657.1,456.4,436.9,403.0,373.1,337.4,307.7,257.7,288.3,332.9,1455.0,1100.1,1446.1,46.7,139.0,1543.7,979.1,909.7,866.8,862.4,839.2,863.4,977.9,1183.2,1366.3
AUS,2720,2720,11010,MATADOR,MAT 11010,MAT,Mark Mills,2011,NSW 2107,,,,ORC,CLUB,C,680,28 06 2026 22:58:41,10.145,9.360,2.100,3.30,4637.,0.0,0.13,607.7,0.9075,661.2,1.1024,544.3,971.6,785.9,686.6,633.1,603.0,583.5,556.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.9,620.7,560.0,527.9,508.2,493.0,468.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.4,740.0,624.4,561.2,526.6,497.7,450.7,43.3,41.0,38.9,37.5,37.1,36.7,36.7,141.9,146.8,153.2,160.5,168.0,173.9,169.8,1013.8,831.6,742.5,704.2,687.2,677.4,668.9,665.8,564.5,523.3,505.5,497.0,492.0,486.4,632.4,545.8,511.7,494.8,484.9,479.6,472.7,612.6,534.0,502.9,484.8,471.6,461.7,450.8,607.5,522.4,492.6,479.2,467.4,453.6,432.4,594.5,510.5,478.0,455.3,438.3,426.0,404.1,609.0,516.8,481.2,455.7,432.3,410.1,379.9,677.9,553.5,501.1,472.0,445.9,419.9,364.6,805.0,641.0,548.5,501.2,473.5,448.7,399.1,929.5,740.1,630.7,562.0,518.7,489.6,443.2,0.8762,1.1082,1.2301,0.6828,0.9144,1.0379,0.0,0.0000,2026,1.0169,590.1,03020004U9S,9.176,5547,24.5,36.3,30.0,104.7,102.9,684.8,541.4,487.8,878.7,656.2,578.1,589.8,547.4,1.0174,1.0961,530.5,446.5,429.6,37.5,146.5,672.9,485.3,470.4,444.7,418.8,385.5,353.9,298.8,336.2,388.2,1393.0,1055.6,1388.3,46.1,139.1,1440.3,917.4,854.0,813.8,839.6,824.1,851.0,962.6,1165.5,1345.8
AUS,2672,2672,11033,KERISMA,KER 11.3,VISION YACHTS,JASON KER,2001,,,,,ORC,INTL,R,765,25 06 2026 03:22:59,11.442,10.931,2.397,3.68,4598.,142.0,0.00,538.8,1.0112,593.4,1.2436,482.5,858.3,696.2,614.5,573.0,548.1,525.7,476.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.1,551.7,500.0,470.8,450.2,431.5,396.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.1,656.3,557.9,501.5,467.8,436.4,377.7,42.5,40.2,37.9,37.0,36.3,36.0,35.8,142.0,145.3,149.9,153.5,151.2,147.8,145.3,890.8,733.8,662.9,634.2,618.9,609.9,600.9,588.1,503.1,470.9,456.1,447.9,442.1,434.7,559.2,488.2,459.6,443.4,433.3,426.4,417.7,540.2,478.6,450.5,429.6,414.2,403.5,390.0,525.2,465.1,437.9,420.4,406.2,389.2,363.3,531.3,461.2,426.3,401.3,378.3,358.0,326.1,541.5,462.8,424.3,393.4,369.7,346.4,299.3,599.8,487.3,442.8,406.8,372.7,337.4,277.9,715.2,570.4,490.2,446.0,413.7,382.3,305.1,825.8,658.6,566.0,511.8,477.3,441.5,352.3,0.9895,1.2445,1.4180,0.7720,1.0154,1.1699,0.0,0.0000,2026,1.1452,523.9,03020004U38,11.009,5664,27.2,49.4,34.7,0.0,159.5,606.4,482.1,423.1,777.2,590.9,512.9,525.3,483.3,1.1422,1.2415,440.5,373.4,352.0,36.9,146.9,607.1,433.2,414.6,382.4,346.4,309.8,269.1,236.5,237.1,273.8,1228.1,928.6,1224.5,45.3,139.3,1264.6,808.6,752.9,716.0,708.2,726.1,765.3,854.5,1032.0,1191.6
