NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
AUT,035/26,MilesAhead,,Miles Ahead,Salona 45,AD Boats,Jakopin,2002,,,,,ORC,CLUB,C,971,29 05 2026 11:21:07,13.610,12.697,2.129,4.14,10567.,0.0,0.28,580.3,0.9385,639.3,1.1689,513.3,982.4,782.6,672.7,607.2,571.1,549.3,522.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.6,608.8,534.0,492.2,468.3,452.4,430.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.5,734.3,604.0,526.3,486.3,457.3,411.6,45.0,42.8,41.1,39.6,38.7,38.2,38.0,142.3,146.2,148.9,150.5,153.3,158.3,163.0,1020.7,825.1,720.9,661.2,632.1,618.6,607.6,655.9,545.2,488.4,459.5,445.1,438.2,432.0,615.1,519.3,471.3,447.0,433.9,426.0,419.2,589.1,501.6,459.4,437.3,422.9,412.1,398.8,600.9,503.1,452.6,428.7,415.8,406.3,384.6,598.9,491.0,442.1,417.0,397.3,381.0,359.5,614.8,501.8,448.2,421.0,399.5,380.3,346.7,685.9,550.2,477.0,439.0,415.5,394.5,355.5,817.6,640.9,540.8,479.3,444.3,422.8,387.6,944.0,740.1,624.5,553.2,510.2,480.0,437.5,0.8827,1.1768,1.3388,0.6799,0.9455,1.1015,0.0,0.0000,2026,1.0694,561.1,03210004RM3,11.450,11960,40.1,53.8,48.9,0.0,124.6,679.7,509.9,448.2,882.5,634.6,544.7,556.2,525.2,1.0787,1.1423,507.6,416.0,396.1,38.5,161.0,610.8,431.2,417.4,393.5,371.0,344.3,322.3,314.4,354.4,404.3,1438.3,1078.4,1434.1,47.8,139.3,1480.3,927.6,850.9,797.3,819.9,848.4,875.8,998.8,1209.2,1396.3
AUT,004/26,Bourini,AUT,Bourini,Solaris 40,Se.Ri.Gi,Acebal,2021,,,,,ORC,CLUB,C,830,20 03 2026 16:49:21,12.360,11.675,2.503,4.10,9848.,0.0,0.23,581.0,0.9399,638.4,1.1656,514.8,970.5,779.7,672.5,607.6,570.9,548.5,521.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.1,608.7,536.3,494.8,470.2,453.5,431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.1,731.5,604.9,528.3,487.9,458.6,412.8,44.0,41.9,40.4,39.1,37.9,37.7,37.5,142.8,146.9,148.8,151.1,154.4,159.4,162.6,1024.9,833.5,728.9,665.4,631.3,615.9,603.7,667.3,557.5,499.1,467.4,450.4,440.8,433.1,631.2,533.7,483.1,456.3,440.4,430.1,419.9,608.6,518.4,472.3,447.8,431.5,418.7,401.3,597.2,496.7,451.9,429.5,417.6,409.2,392.2,584.2,485.7,442.6,418.0,397.8,381.0,360.3,598.2,495.5,448.5,422.4,400.5,380.6,344.4,667.4,540.2,474.1,440.3,416.6,395.2,355.3,793.4,628.7,533.4,476.7,445.8,425.0,389.0,916.1,726.0,616.0,549.8,510.5,481.2,440.0,0.8864,1.1719,1.3354,0.6856,0.9458,1.1027,0.0,0.0000,2026,1.0682,561.7,03210004IIR,10.875,11021,38.7,53.7,44.4,0.0,150.3,676.9,512.0,449.3,875.1,634.4,544.1,559.1,523.8,1.0732,1.1454,505.3,414.6,395.5,38.2,159.7,604.6,430.8,416.0,392.5,374.7,344.4,320.1,310.0,355.1,406.1,1404.1,1060.3,1397.2,47.1,138.8,1473.7,931.8,863.1,818.2,836.6,815.0,840.7,953.2,1155.7,1334.5
AUT,030/26,box of chocolate,AUT,Box of chocolate,Hanse 508,Hanse Yacht AG,Judel/Vroelijk,2018,,,,,ORC,CLUB,C,1051,14 05 2026 19:11:01,14.900,13.707,2.362,4.76,14691.,0.0,0.23,573.3,0.9465,633.9,1.1909,503.8,1003.0,790.1,671.0,598.8,559.0,536.5,509.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.5,609.4,527.1,480.1,453.8,437.5,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.1,738.4,599.1,515.1,471.5,441.5,395.4,45.6,43.8,42.3,41.1,40.5,40.1,39.9,142.0,145.6,147.6,150.1,152.2,156.3,161.7,1081.7,859.1,738.9,667.4,630.8,615.2,602.8,690.6,561.1,492.4,452.8,432.6,423.3,416.0,644.4,531.5,471.1,437.5,419.3,409.7,402.2,615.9,512.1,456.5,426.5,408.6,396.4,382.2,599.1,487.7,433.8,409.6,399.0,390.8,370.4,581.3,472.7,421.1,395.1,376.5,362.3,345.3,595.4,482.6,427.1,398.9,378.0,359.6,329.0,670.2,530.3,456.6,417.5,393.5,373.1,335.4,800.5,624.5,522.3,459.3,423.2,401.1,366.7,924.3,721.1,603.1,530.3,487.1,457.8,415.8,0.8747,1.2001,1.3840,0.6692,0.9541,1.1280,0.0,0.0000,2026,1.0860,552.5,03210004PW6,11.860,16210,50.7,70.6,48.1,0.0,194.0,685.9,500.0,433.5,896.6,628.9,531.9,553.0,509.9,1.0851,1.1767,494.8,402.2,381.4,40.5,159.2,606.1,414.9,400.2,376.6,356.3,331.2,310.6,295.8,334.7,383.5,1486.1,1114.7,1474.6,48.0,139.0,1602.0,1003.6,916.8,862.5,859.0,832.7,858.2,979.9,1186.7,1370.3
AUT,015/26,Bubba-Gump,AUT,Bubba Gump,DEHLER 38 SQ,HANSE YACHTS,JUDEL/VROLIJK,2012,Austria,,,,ORC,CLUB,C,736,07 04 2026 07:42:39,11.300,10.641,2.209,3.76,7316.,0.0,0.24,622.2,0.8758,685.1,1.0896,550.6,1049.0,835.7,718.8,650.3,613.7,591.4,565.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,651.4,571.9,527.8,503.1,486.9,465.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.2,783.3,645.8,564.2,522.4,491.9,443.8,44.5,42.4,40.8,39.7,39.0,38.7,38.6,143.1,147.1,148.9,150.9,154.7,160.0,162.8,1117.6,901.7,786.5,719.8,688.9,676.1,668.0,723.1,599.4,533.9,498.8,482.1,475.0,469.2,681.9,572.0,515.2,485.4,469.6,461.3,454.6,658.3,554.2,502.1,475.1,457.9,445.7,432.8,638.7,529.2,480.0,457.8,447.2,438.7,418.1,625.0,515.7,468.9,442.9,422.7,407.2,388.7,641.7,527.0,475.1,447.0,424.0,403.4,369.7,715.4,575.6,502.2,465.3,440.2,417.3,374.9,849.1,666.6,564.0,503.5,470.4,448.3,410.3,980.4,769.8,651.2,580.9,538.4,506.8,463.2,0.8247,1.0976,1.2425,0.6367,0.8831,1.0216,0.0,0.0000,2026,0.9985,600.9,03210004KDJ,9.625,8336,31.6,42.8,35.1,0.0,112.9,727.5,546.6,482.9,942.4,679.4,587.3,600.7,557.2,0.9989,1.0768,551.0,450.8,429.2,39.4,159.7,674.5,468.7,453.0,427.0,404.7,373.6,349.6,327.7,374.1,427.5,1536.1,1158.3,1526.8,47.0,139.7,1628.8,1028.3,951.9,905.2,901.7,880.3,907.6,1034.2,1250.0,1443.4
AUT,012/26,Carla,AUT,Carla,DEHLER 38 SQ,HANSE YACHTS,JUDEL/VROLIJK,2012,Austria,,,,ORC,CLUB,C,736,07 04 2026 07:46:16,11.300,10.641,2.209,3.76,7316.,0.0,0.24,622.2,0.8758,685.1,1.0896,550.6,1049.0,835.7,718.8,650.3,613.7,591.4,565.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,651.4,571.9,527.8,503.1,486.9,465.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.2,783.3,645.8,564.2,522.4,491.9,443.8,44.5,42.4,40.8,39.7,39.0,38.7,38.6,143.1,147.1,148.9,150.9,154.7,160.0,162.8,1117.6,901.7,786.5,719.8,688.9,676.1,668.0,723.1,599.4,533.9,498.8,482.1,475.0,469.2,681.9,572.0,515.2,485.4,469.6,461.3,454.6,658.3,554.2,502.1,475.1,457.9,445.7,432.8,638.7,529.2,480.0,457.8,447.2,438.7,418.1,625.0,515.7,468.9,442.9,422.7,407.2,388.7,641.7,527.0,475.1,447.0,424.0,403.4,369.7,715.4,575.6,502.2,465.3,440.2,417.3,374.9,849.1,666.6,564.0,503.5,470.4,448.3,410.3,980.4,769.8,651.2,580.9,538.4,506.8,463.2,0.8247,1.0976,1.2425,0.6367,0.8831,1.0216,0.0,0.0000,2026,0.9985,600.9,03210004KDQ,9.625,8336,31.6,42.8,35.1,0.0,112.9,727.5,546.6,482.9,942.4,679.4,587.3,600.7,557.2,0.9989,1.0768,551.0,450.8,429.2,39.4,159.7,674.5,468.7,453.0,427.0,404.7,373.6,349.6,327.7,374.1,427.5,1536.1,1158.3,1526.8,47.0,139.7,1628.8,1028.3,951.9,905.2,901.7,880.3,907.6,1034.2,1250.0,1443.4
AUT,I12/26,Franzi,AUT,Franzi,Pogo12.5 3.0,Pogo Structures,Finot Conq,2007,Austria,,,,ORC,INTL,C,850,19 06 2026 05:57:25,12.190,12.259,3.059,4.50,6245.,111.1,0.18,551.9,0.9881,607.2,1.2363,485.3,949.2,754.8,642.3,575.2,540.9,515.2,471.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.4,587.4,510.9,465.8,437.8,415.6,381.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.6,708.6,577.5,498.1,455.2,418.7,361.1,43.0,40.8,39.6,38.1,37.4,36.9,36.2,142.4,145.4,145.1,150.8,151.1,148.9,146.3,975.4,787.1,684.9,625.6,598.6,583.6,568.6,641.3,530.3,471.8,441.8,425.3,416.3,404.7,608.7,508.2,457.4,429.8,410.2,398.7,385.6,588.9,494.4,447.9,419.7,394.3,375.0,355.7,592.7,484.0,435.1,411.0,393.4,368.4,330.4,577.6,470.6,420.3,382.6,353.8,336.0,308.3,591.1,478.5,425.4,385.9,350.4,321.2,287.7,670.2,525.4,452.1,411.5,375.3,339.8,282.4,799.3,625.6,519.3,454.9,418.8,387.0,324.3,923.0,722.4,599.7,524.8,483.3,446.9,374.5,0.9113,1.2397,1.4689,0.7042,0.9935,1.1875,0.0,0.0000,2026,1.1302,530.9,03210004TI6,11.828,7472,38.1,61.4,41.9,0.0,165.5,658.4,484.0,408.5,852.0,603.9,505.3,529.7,497.2,1.1327,1.2067,432.3,354.8,335.5,36.3,139.8,562.9,398.2,378.1,344.7,313.4,287.1,262.9,226.1,261.3,301.7,1384.9,1050.4,1382.4,45.6,139.0,1410.4,902.5,843.5,807.0,837.3,827.2,855.2,972.0,1177.3,1359.4
AUT,014/26,Jenny,AUT,Jenny,DEHLER 38 SQ,HANSE YACHTS,JUDEL/VROLIJK,2012,Austria,,,,ORC,CLUB,C,736,07 04 2026 07:43:12,11.300,10.641,2.209,3.76,7316.,0.0,0.24,622.2,0.8758,685.1,1.0896,550.6,1049.0,835.7,718.8,650.3,613.7,591.4,565.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,651.4,571.9,527.8,503.1,486.9,465.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.2,783.3,645.8,564.2,522.4,491.9,443.8,44.5,42.4,40.8,39.7,39.0,38.7,38.6,143.1,147.1,148.9,150.9,154.7,160.0,162.8,1117.6,901.7,786.5,719.8,688.9,676.1,668.0,723.1,599.4,533.9,498.8,482.1,475.0,469.2,681.9,572.0,515.2,485.4,469.6,461.3,454.6,658.3,554.2,502.1,475.1,457.9,445.7,432.8,638.7,529.2,480.0,457.8,447.2,438.7,418.1,625.0,515.7,468.9,442.9,422.7,407.2,388.7,641.7,527.0,475.1,447.0,424.0,403.4,369.7,715.4,575.6,502.2,465.3,440.2,417.3,374.9,849.1,666.6,564.0,503.5,470.4,448.3,410.3,980.4,769.8,651.2,580.9,538.4,506.8,463.2,0.8247,1.0976,1.2425,0.6367,0.8831,1.0216,0.0,0.0000,2026,0.9985,600.9,03210004KDK,9.625,8336,31.6,42.8,35.1,0.0,112.9,727.5,546.6,482.9,942.4,679.4,587.3,600.7,557.2,0.9989,1.0768,551.0,450.8,429.2,39.4,159.7,674.5,468.7,453.0,427.0,404.7,373.6,349.6,327.7,374.1,427.5,1536.1,1158.3,1526.8,47.0,139.7,1628.8,1028.3,951.9,905.2,901.7,880.3,907.6,1034.2,1250.0,1443.4
AUT,018/26,JustB,AUT,Just B,DEHLER 38 SQ,HANSE YACHTS,JUDEL/VROLIJK,2012,Austria,,,,ORC,CLUB,C,736,07 04 2026 07:43:44,11.300,10.641,2.209,3.76,7316.,0.0,0.24,622.2,0.8758,685.1,1.0896,550.6,1049.0,835.7,718.8,650.3,613.7,591.4,565.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,651.4,571.9,527.8,503.1,486.9,465.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.2,783.3,645.8,564.2,522.4,491.9,443.8,44.5,42.4,40.8,39.7,39.0,38.7,38.6,143.1,147.1,148.9,150.9,154.7,160.0,162.8,1117.6,901.7,786.5,719.8,688.9,676.1,668.0,723.1,599.4,533.9,498.8,482.1,475.0,469.2,681.9,572.0,515.2,485.4,469.6,461.3,454.6,658.3,554.2,502.1,475.1,457.9,445.7,432.8,638.7,529.2,480.0,457.8,447.2,438.7,418.1,625.0,515.7,468.9,442.9,422.7,407.2,388.7,641.7,527.0,475.1,447.0,424.0,403.4,369.7,715.4,575.6,502.2,465.3,440.2,417.3,374.9,849.1,666.6,564.0,503.5,470.4,448.3,410.3,980.4,769.8,651.2,580.9,538.4,506.8,463.2,0.8247,1.0976,1.2425,0.6367,0.8831,1.0216,0.0,0.0000,2026,0.9985,600.9,03210004KDL,9.625,8336,31.6,42.8,35.1,0.0,112.9,727.5,546.6,482.9,942.4,679.4,587.3,600.7,557.2,0.9989,1.0768,551.0,450.8,429.2,39.4,159.7,674.5,468.7,453.0,427.0,404.7,373.6,349.6,327.7,374.1,427.5,1536.1,1158.3,1526.8,47.0,139.7,1628.8,1028.3,951.9,905.2,901.7,880.3,907.6,1034.2,1250.0,1443.4
AUT,013/26,LieutenantDan,AUT,Lieutenant Dan,DEHLER 38 SQ,HANSE YACHTS,JUDEL/VROLIJK,2012,Austria,,,,ORC,CLUB,C,736,07 04 2026 07:45:14,11.300,10.641,2.209,3.76,7316.,0.0,0.24,622.2,0.8758,685.1,1.0896,550.6,1049.0,835.7,718.8,650.3,613.7,591.4,565.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,651.4,571.9,527.8,503.1,486.9,465.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.2,783.3,645.8,564.2,522.4,491.9,443.8,44.5,42.4,40.8,39.7,39.0,38.7,38.6,143.1,147.1,148.9,150.9,154.7,160.0,162.8,1117.6,901.7,786.5,719.8,688.9,676.1,668.0,723.1,599.4,533.9,498.8,482.1,475.0,469.2,681.9,572.0,515.2,485.4,469.6,461.3,454.6,658.3,554.2,502.1,475.1,457.9,445.7,432.8,638.7,529.2,480.0,457.8,447.2,438.7,418.1,625.0,515.7,468.9,442.9,422.7,407.2,388.7,641.7,527.0,475.1,447.0,424.0,403.4,369.7,715.4,575.6,502.2,465.3,440.2,417.3,374.9,849.1,666.6,564.0,503.5,470.4,448.3,410.3,980.4,769.8,651.2,580.9,538.4,506.8,463.2,0.8247,1.0976,1.2425,0.6367,0.8831,1.0216,0.0,0.0000,2026,0.9985,600.9,03210004KDP,9.625,8336,31.6,42.8,35.1,0.0,112.9,727.5,546.6,482.9,942.4,679.4,587.3,600.7,557.2,0.9989,1.0768,551.0,450.8,429.2,39.4,159.7,674.5,468.7,453.0,427.0,404.7,373.6,349.6,327.7,374.1,427.5,1536.1,1158.3,1526.8,47.0,139.7,1628.8,1028.3,951.9,905.2,901.7,880.3,907.6,1034.2,1250.0,1443.4
AUT,016/26,MrsGump,AUT,Mrs. Gump,DEHLER 38 SQ,HANSE YACHTS,JUDEL/VROLIJK,2012,Austria,,,,ORC,CLUB,C,736,07 04 2026 07:44:52,11.300,10.641,2.209,3.76,7316.,0.0,0.24,622.2,0.8758,685.1,1.0896,550.6,1049.0,835.7,718.8,650.3,613.7,591.4,565.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.8,651.4,571.9,527.8,503.1,486.9,465.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.2,783.3,645.8,564.2,522.4,491.9,443.8,44.5,42.4,40.8,39.7,39.0,38.7,38.6,143.1,147.1,148.9,150.9,154.7,160.0,162.8,1117.6,901.7,786.5,719.8,688.9,676.1,668.0,723.1,599.4,533.9,498.8,482.1,475.0,469.2,681.9,572.0,515.2,485.4,469.6,461.3,454.6,658.3,554.2,502.1,475.1,457.9,445.7,432.8,638.7,529.2,480.0,457.8,447.2,438.7,418.1,625.0,515.7,468.9,442.9,422.7,407.2,388.7,641.7,527.0,475.1,447.0,424.0,403.4,369.7,715.4,575.6,502.2,465.3,440.2,417.3,374.9,849.1,666.6,564.0,503.5,470.4,448.3,410.3,980.4,769.8,651.2,580.9,538.4,506.8,463.2,0.8247,1.0976,1.2425,0.6367,0.8831,1.0216,0.0,0.0000,2026,0.9985,600.9,03210004KDO,9.625,8336,31.6,42.8,35.1,0.0,112.9,727.5,546.6,482.9,942.4,679.4,587.3,600.7,557.2,0.9989,1.0768,551.0,450.8,429.2,39.4,159.7,674.5,468.7,453.0,427.0,404.7,373.6,349.6,327.7,374.1,427.5,1536.1,1158.3,1526.8,47.0,139.7,1628.8,1028.3,951.9,905.2,901.7,880.3,907.6,1034.2,1250.0,1443.4
