NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
BUL,033/26,BUL116,BUL 116,ALRISHA,AH-30,Kalmar(SWE),Agren Holn,1980,,,,,ORC,CLUB,C,420,02 06 2026 07:32:18,9.079,7.137,1.561,2.94,3400.,0.0,0.49,736.6,0.7456,804.7,0.9149,655.8,1206.5,977.2,847.1,767.4,720.7,695.1,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.5,763.6,679.1,631.9,604.1,586.4,564.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.9,916.3,763.6,674.1,626.5,592.4,540.5,44.3,42.6,41.1,40.0,39.1,38.8,39.1,144.9,149.2,150.7,160.6,173.6,178.1,178.1,1282.4,1057.1,937.6,868.3,832.4,817.9,811.2,833.8,702.0,637.1,604.8,588.0,579.6,574.5,789.6,671.3,616.8,589.5,574.1,565.0,559.6,765.2,652.6,601.9,576.2,559.7,547.6,532.1,741.5,625.0,577.3,556.2,544.5,535.0,514.4,718.5,607.3,563.5,537.0,514.8,496.1,477.2,750.1,618.4,568.7,539.5,513.8,490.9,461.3,831.0,674.3,592.1,556.9,529.9,504.0,462.9,979.1,777.0,655.4,591.0,559.0,534.4,488.3,1130.6,897.2,756.5,666.6,609.1,572.3,524.8,0.7096,0.9207,1.0301,0.5495,0.7502,0.8678,0.0,0.0000,2026,0.8401,714.2,03850004RS6,6.526,3982,18.3,16.9,26.7,62.6,69.3,845.5,651.7,582.5,1091.9,799.8,691.4,716.7,656.9,0.8371,0.9134,656.9,553.9,527.4,40.6,178.1,830.4,577.5,558.6,527.4,497.2,464.7,446.3,433.5,453.3,483.4,1741.2,1317.2,1732.3,46.7,137.8,1830.5,1159.4,1074.5,1024.1,1039.9,1015.9,1052.2,1187.3,1430.6,1651.9
BUL,019/26,BUL12,BUL 12,White Wing,First 211,Beneteau,Finot,1992,9000 Varna Bulgaria,,,,ORC,CLUB,C,240,13 05 2026 19:20:03,6.161,5.834,1.753,2.50,1286.,0.0,0.22,775.7,0.7027,853.8,0.8625,695.7,1221.4,1002.4,886.7,817.9,782.5,762.9,740.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.6,794.2,718.6,673.9,647.5,630.4,609.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.5,943.3,803.7,718.4,672.1,636.3,579.6,41.9,40.1,39.0,37.7,37.2,37.3,38.3,146.4,148.5,150.7,156.8,161.9,164.2,162.6,1299.9,1087.3,976.2,909.6,887.2,882.5,893.6,868.7,742.6,683.3,651.5,636.8,631.8,629.7,830.8,716.3,665.4,637.1,620.9,613.8,608.7,794.0,685.6,640.1,615.5,602.2,587.6,574.3,756.6,656.9,615.0,592.6,572.0,558.2,543.9,745.0,647.4,603.5,569.2,541.9,522.4,499.6,769.4,658.9,611.1,574.1,541.7,513.6,473.8,849.5,703.3,636.4,597.3,562.5,530.7,473.3,989.7,794.6,690.6,637.7,604.5,574.8,521.0,1142.9,917.6,797.1,726.1,677.7,643.2,587.7,0.6889,0.8668,0.9574,0.5396,0.7081,0.7901,0.0,0.0000,2026,0.7957,754.1,03850004PQD,5.612,1630,11.2,13.9,11.5,0.0,38.1,871.0,692.2,626.7,1111.9,847.3,759.4,758.5,697.2,0.7911,0.8606,729.7,595.4,564.8,41.4,159.5,921.5,632.5,609.5,569.6,531.6,476.8,452.1,418.7,471.6,537.8,1741.7,1322.5,1732.4,44.5,141.2,1835.4,1186.4,1114.7,1070.2,1025.5,1011.0,1044.8,1188.9,1427.2,1648.0
BUL,005/26,BUL124,BUL 124,Acid Drop,Fiumanka 33,,Justin,2000,,,,,ORC,CLUB,C,500,16 04 2026 13:43:11,9.900,9.630,2.241,3.37,3624.,0.0,0.11,596.2,0.9133,657.0,1.1260,532.9,957.2,773.8,677.1,631.0,605.7,585.6,546.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.6,611.2,549.3,517.1,496.4,479.7,450.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.7,728.9,614.2,551.3,514.8,483.6,431.0,42.3,40.3,38.5,37.3,36.9,37.0,37.1,142.6,146.7,149.8,152.8,154.3,151.8,143.9,992.0,813.4,727.1,695.1,680.7,672.5,665.6,655.3,555.1,512.0,495.9,488.6,483.8,478.6,624.3,536.9,499.7,482.3,474.0,468.4,461.8,605.4,525.8,490.7,468.0,452.8,444.4,433.5,605.6,515.6,486.1,466.6,444.3,427.0,406.7,591.2,502.2,462.5,435.1,418.2,403.4,378.0,604.7,508.6,465.8,431.7,403.7,383.3,351.6,671.8,547.4,490.5,453.4,420.2,387.3,320.4,798.9,635.9,543.0,493.1,461.3,432.5,369.8,922.5,734.2,627.0,566.8,530.6,498.7,427.1,0.8884,1.1310,1.2687,0.6932,0.9204,1.0418,0.0,0.0000,2026,1.0367,578.8,03850004LME,9.430,4346,23.0,34.2,29.8,0.0,104.9,675.4,530.5,472.9,865.6,651.9,575.9,579.4,537.8,1.0356,1.1156,503.4,425.5,405.2,38.6,143.5,679.0,482.3,462.8,428.8,396.0,359.7,324.8,273.3,283.9,327.8,1369.4,1039.9,1365.7,45.4,139.3,1406.4,899.9,840.0,802.2,828.0,820.4,846.8,953.8,1153.9,1332.4
BUL,003a/26,Hispaniola,BUL 166,HISPANIOLA,EVENTO 42,GO MATERIALES COMP,JUDEL/VROLIJK,2004,,,,,ORC,CLUB,R,750,03 08 2026 12:56:32,12.540,11.111,2.563,3.30,6701.,0.0,0.00,565.5,0.9663,620.9,1.1880,505.0,914.9,737.5,646.2,595.8,565.4,545.0,517.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.6,579.8,520.2,488.9,469.6,455.5,433.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.4,695.3,584.4,521.4,486.6,459.4,415.9,42.4,40.5,38.7,38.0,38.0,37.8,37.9,140.6,147.6,150.1,155.8,164.2,168.7,167.8,909.1,746.6,681.4,656.7,643.1,634.6,627.4,602.3,508.6,474.7,463.1,456.5,452.2,447.4,574.4,492.2,461.2,450.1,443.6,439.1,433.7,557.2,483.6,451.5,435.4,426.7,420.4,411.9,568.7,489.4,453.2,431.1,415.1,404.2,390.3,578.4,482.4,442.3,421.6,409.1,398.2,377.2,596.1,493.6,448.3,420.4,397.8,382.7,358.8,667.7,538.6,472.8,438.5,411.1,385.3,333.0,797.3,630.8,529.2,469.7,438.3,413.0,363.0,920.6,728.4,611.1,534.9,487.7,455.4,406.8,0.9343,1.1950,1.3315,0.7262,0.9727,1.1118,0.0,0.0000,2026,1.0922,549.4,03850004W0U,10.727,7751,31.9,60.1,40.5,125.9,0.0,642.2,502.1,450.6,826.2,616.8,539.7,544.3,513.6,1.1022,1.1682,500.3,418.7,400.5,39.5,157.7,643.3,449.5,433.5,408.7,382.3,354.1,338.4,297.1,310.1,357.2,1310.5,988.6,1313.3,45.1,139.2,1282.9,823.4,768.5,732.1,752.2,804.1,836.3,958.0,1158.9,1338.1
BUL,006/26,BUL168,BUL 168,MINA-CAN II,SUN ODYSSEY 410,JEANNEAU,LOMBARD/PIATON,2018,,,,,ORC,CLUB,C,700,23 04 2026 19:45:30,11.985,11.048,1.498,3.99,8320.,0.0,0.34,678.8,0.7829,766.4,1.0078,595.4,1216.3,954.7,813.0,726.8,672.3,640.8,617.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.5,724.5,625.5,567.9,532.1,510.0,489.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.1,884.8,717.4,614.1,553.4,511.8,454.2,50.4,49.1,47.8,46.8,45.9,45.6,46.4,143.8,146.9,148.4,149.6,152.3,157.2,162.0,1408.3,1113.8,958.0,863.1,802.2,773.7,774.5,870.6,693.6,603.1,548.9,516.2,498.5,493.0,784.0,636.5,560.9,515.6,487.9,472.0,462.5,736.7,602.4,531.6,490.5,466.2,450.7,432.2,678.7,552.2,488.1,457.0,442.2,433.2,418.6,652.9,530.8,471.2,441.1,419.3,401.1,377.6,670.1,543.2,478.3,445.3,421.4,400.2,362.4,748.5,594.2,511.2,465.2,437.6,414.8,373.4,887.1,689.0,578.5,511.5,471.1,445.9,407.5,1024.3,795.6,668.0,590.6,542.4,507.9,460.7,0.7335,1.0149,1.1816,0.5527,0.7885,0.9375,0.0,0.0000,2026,0.9144,656.2,03850004MVM,8.518,9308,36.0,41.7,34.0,0.0,116.7,818.0,591.2,507.8,1085.6,760.9,640.0,672.1,583.7,0.8928,1.0280,619.5,483.7,441.6,48.8,160.1,814.1,517.6,465.8,427.2,400.6,361.8,335.3,329.9,372.8,424.9,1818.0,1345.3,1788.7,51.8,140.6,2111.0,1300.0,1146.8,1057.7,973.6,934.5,961.3,1097.1,1320.7,1525.0
BUL,047/26,BUL22a,BUL 22A,Akshaena,Conrad 25RT,"Gdansk, Poland",Peterson,1976,BULGARIA,,,,ORC,CLUB,C,326,25 07 2026 11:04:34,7.650,6.181,1.514,2.76,1499.,0.0,0.05,740.8,0.7470,803.3,0.9041,663.7,1171.8,951.5,832.8,767.8,734.2,713.7,688.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.5,759.4,683.4,642.7,618.9,601.3,576.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.7,899.5,760.0,683.0,641.8,607.7,549.4,42.0,40.4,38.2,37.4,37.3,37.5,38.5,148.5,153.2,158.6,165.7,174.5,178.1,178.1,1162.9,975.8,883.1,846.2,835.9,832.4,838.7,776.3,672.5,630.4,610.9,602.7,598.6,594.9,744.1,654.0,617.2,597.6,586.6,581.2,574.1,727.4,643.1,606.1,583.1,566.2,554.3,540.7,740.6,643.8,597.6,570.9,552.9,536.5,511.4,756.9,645.1,595.3,561.6,532.4,508.2,478.9,788.1,662.0,605.2,569.9,538.1,508.8,464.3,878.7,718.1,634.7,591.9,558.9,527.9,472.0,1022.4,805.9,686.9,623.0,585.9,555.1,498.7,1180.6,927.3,782.5,689.3,632.5,595.0,537.9,0.7186,0.9091,1.0061,0.5652,0.7534,0.8459,0.0,0.0000,2026,0.8353,718.3,03850004VNA,6.204,1947,12.2,18.4,16.8,31.3,0.0,835.0,660.0,596.4,1061.6,796.4,709.3,714.0,675.0,0.8403,0.8889,677.8,562.5,531.8,40.7,177.4,867.5,599.1,574.3,533.5,498.5,462.2,433.3,416.5,446.9,488.0,1672.9,1263.4,1679.7,45.2,142.8,1605.2,1033.9,972.9,937.8,963.8,1032.5,1083.9,1249.8,1507.4,1740.6
BUL,028/26,BUL241,BUL 241,RAFFICA,X-41,X YACHTS,JEPPESEN,2006,,,,,ORC,INTL,C,790,21 05 2026 09:26:44,12.350,11.129,2.500,3.65,6906.,126.6,0.00,567.1,0.9675,620.2,1.1831,507.2,912.8,735.0,643.3,595.5,565.8,546.1,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.5,580.5,521.7,491.5,472.3,458.3,436.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.6,693.2,583.7,523.4,489.5,462.3,419.5,42.7,40.6,38.8,37.8,37.4,37.4,37.5,142.2,147.8,152.1,157.4,165.1,169.6,169.1,915.1,754.5,682.9,656.1,642.3,634.0,626.6,603.7,514.2,478.5,465.8,459.2,454.9,450.2,574.6,497.7,466.3,453.4,447.0,442.4,436.8,556.0,487.7,457.7,440.7,430.4,423.9,414.6,566.4,491.6,458.5,437.9,421.4,409.3,394.1,579.3,486.1,448.4,426.8,413.4,402.4,386.9,594.9,494.8,452.6,425.8,403.5,386.8,363.3,665.0,536.5,473.7,441.7,415.5,390.7,341.0,788.5,619.6,523.8,471.3,441.3,416.5,368.2,910.5,715.5,603.7,534.9,489.3,458.2,411.3,0.9346,1.1900,1.3223,0.7282,0.9746,1.1094,0.0,0.0000,2026,1.0897,550.6,03850004QO3,10.744,8013,32.6,54.1,45.0,129.0,0.0,642.0,504.2,453.8,823.9,615.6,540.8,546.8,514.6,1.0973,1.1660,501.5,421.6,406.5,38.9,157.3,638.6,451.1,437.5,410.6,385.0,363.0,352.9,300.0,316.2,364.3,1315.3,991.4,1317.3,45.5,139.9,1295.5,826.8,768.7,730.6,751.9,808.8,838.4,957.9,1156.3,1335.1
BUL,045/26,NEDI2700,BUL 2700,PANTA RHEI,Pet 42,N.O. Marine,D.Peterson,1987,,,,,ORC,CLUB,R,735,31 07 2026 10:11:48,12.842,10.583,2.416,4.08,9641.,0.0,0.41,619.6,0.8937,671.4,1.0875,551.7,1004.5,811.2,705.0,640.8,603.9,581.9,556.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.9,642.1,570.6,531.3,508.9,494.6,475.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.7,764.2,638.8,565.5,527.4,499.9,458.0,43.0,40.5,39.2,38.5,37.7,37.3,37.1,145.7,150.1,152.8,158.0,165.1,170.4,177.2,1042.3,859.7,763.4,710.5,685.4,673.7,664.0,687.7,584.5,529.6,503.5,490.8,485.1,478.9,655.2,562.1,514.9,492.0,479.8,473.0,466.9,636.1,547.3,504.3,482.3,468.8,459.9,449.5,648.2,544.2,498.1,479.7,465.8,453.9,436.4,630.5,527.1,483.7,461.8,447.0,436.8,421.4,646.9,537.9,487.9,462.1,443.7,427.9,404.4,714.3,580.9,509.7,474.7,452.5,433.4,397.6,837.2,660.6,561.5,503.8,473.1,452.4,416.1,966.7,762.7,646.6,571.0,522.4,490.0,448.9,0.8438,1.0948,1.2221,0.6609,0.8993,1.0383,0.0,0.0000,2026,1.0021,598.7,03850004VU3,9.709,10692,33.8,38.3,44.6,134.9,0.0,711.1,548.0,491.0,907.9,667.2,577.9,598.0,558.1,1.0033,1.0750,541.7,463.8,445.4,37.5,175.8,667.4,478.2,465.3,444.0,424.4,418.8,390.6,370.4,382.4,416.0,1446.3,1098.0,1443.0,45.8,141.4,1478.8,944.0,880.3,841.0,868.9,875.2,900.5,1022.4,1224.3,1413.8
BUL,046/26,BUL559,BUL 29,VICTORIA,CONRAD 25R,"Poland, GDANSK",Peterson,1976,8000 BURGAS BULGARIA,,,,ORC,CLUB,R,450,25 07 2026 11:02:00,7.650,6.215,1.514,2.76,1489.,0.0,0.03,728.5,0.7638,785.6,0.9189,652.9,1151.2,933.9,815.9,749.7,716.4,696.7,671.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.5,746.4,673.1,632.8,608.9,591.3,565.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.2,883.2,746.5,670.8,630.9,598.0,540.8,42.3,40.4,37.9,36.3,36.0,36.0,36.7,147.9,152.8,158.1,165.9,176.3,178.6,178.1,1141.2,956.8,862.3,819.1,806.1,801.2,804.7,760.6,659.7,620.9,602.4,592.7,588.1,583.6,729.1,643.6,609.6,590.7,578.3,571.7,564.0,712.7,635.5,600.7,577.9,560.1,546.4,531.3,725.4,635.8,592.3,565.8,546.9,531.9,503.9,742.8,637.0,592.4,559.3,529.2,504.1,473.0,772.8,652.3,601.4,568.4,537.0,506.7,459.7,861.2,703.9,627.2,588.8,557.6,527.3,471.6,1005.6,790.9,675.7,617.3,583.3,554.0,498.5,1161.1,910.9,769.5,680.3,626.7,592.2,537.6,0.7317,0.9235,1.0240,0.5755,0.7704,0.8670,0.0,0.0000,2026,0.8502,705.7,03850004VN9,6.431,1996,12.5,18.3,17.0,33.1,0.0,820.0,649.7,585.9,1042.6,778.8,692.0,699.8,665.9,0.8573,0.9011,657.2,549.2,521.8,38.7,177.2,826.0,585.5,562.5,523.2,490.3,455.7,427.7,415.3,447.7,488.3,1646.6,1242.8,1653.2,45.3,142.4,1580.5,1016.6,955.5,919.8,945.5,1017.4,1066.9,1230.4,1483.2,1712.6
BUL,011/26,BUL44,BUL 44,Tilly,Bavaria 36 Cruiser,Bavaria Yachts,J&J Design,2005,Bulgaria,,,,ORC,CLUB,C,700,13 05 2026 19:10:05,11.040,10.146,1.595,3.61,6500.,0.0,0.41,683.3,0.7938,755.8,0.9961,602.3,1176.6,932.6,802.4,721.3,668.4,632.8,599.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.9,722.2,630.3,577.6,544.5,521.8,496.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.9,872.5,716.4,620.0,565.6,527.1,476.4,45.6,43.9,42.6,41.5,40.2,38.9,38.5,143.9,146.9,148.0,149.5,153.4,158.6,176.2,1253.8,1008.6,880.4,800.1,745.7,712.1,694.0,803.4,659.3,584.0,541.7,517.5,502.8,491.2,753.0,625.3,558.3,523.6,503.7,490.6,477.4,723.1,605.3,541.3,510.0,491.6,478.4,460.5,705.8,577.6,515.7,486.4,469.0,457.0,443.8,691.5,566.9,508.0,479.9,460.1,442.6,413.3,714.6,584.2,518.2,486.2,464.9,446.1,411.6,802.8,642.0,553.8,507.0,480.9,461.3,425.7,952.1,741.8,627.3,556.4,514.3,489.5,456.1,1099.3,856.6,724.3,642.4,591.0,553.5,504.2,0.7411,1.0018,1.1580,0.5689,0.7971,0.9538,0.0,0.0000,2026,0.9093,659.9,03850004PQC,8.556,7464,27.5,24.1,31.4,0.0,73.5,809.6,598.9,518.1,1054.7,752.7,629.1,657.0,612.1,0.9133,0.9803,587.2,484.7,461.7,39.4,177.1,704.3,491.6,475.9,451.4,435.9,393.8,381.9,391.1,426.3,470.2,1747.2,1309.9,1736.7,47.7,140.3,1852.6,1164.1,1067.7,1007.8,1006.4,983.3,1019.9,1178.9,1421.9,1641.9
