NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
CAN,BC2601,BER178-Scatteraction,BER 178,Scatteraction,RP 55,McConaghy,REICHEL / PUGH,2006,,,,,ORC,CLUB,R,1292,18 02 2026 01:43:35,16.809,16.079,3.954,4.48,9414.,153.2,0.00,429.6,1.2473,481.0,1.5607,384.4,687.5,562.0,503.8,469.6,441.9,416.1,376.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.1,442.4,402.5,376.9,355.7,336.9,309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.7,529.4,453.5,404.3,371.1,341.2,293.7,43.0,40.2,38.5,37.8,37.1,36.7,36.4,141.0,142.6,147.6,150.5,146.2,144.1,145.8,685.7,582.5,541.9,519.4,504.9,494.7,485.2,449.5,395.8,376.8,365.2,356.2,348.8,339.0,424.2,380.2,362.1,349.2,339.6,331.8,321.1,406.5,366.2,342.3,327.4,316.3,307.1,293.4,410.7,367.6,336.8,314.6,299.5,287.4,267.9,442.7,376.6,347.6,326.0,301.2,276.3,242.9,452.8,378.8,339.3,314.4,294.1,276.2,245.0,499.9,399.9,355.3,317.4,283.5,257.3,225.2,597.0,469.0,403.4,363.6,328.0,292.2,232.2,689.4,541.6,465.8,419.7,378.8,337.4,268.1,1.2378,1.5561,1.8114,0.9603,1.2454,1.4715,0.0,0.0000,2026,1.4292,419.8,03430004BQO,16.304,11396,50.0,123.8,78.7,0.0,304.4,484.7,385.6,331.2,624.8,481.8,407.7,419.0,384.8,1.4320,1.5593,352.6,292.2,273.5,37.1,149.1,487.9,337.4,317.3,285.3,255.2,223.0,215.3,200.9,188.1,217.2,987.9,742.8,990.1,45.6,140.0,965.3,616.0,569.6,532.4,539.5,626.7,645.2,728.9,875.1,1010.5
CAN,ON2602,CAN1-Invictus,CAN 1,Invictus,First 36,Seacape,Manuard,2022,,,,,ORC,CLUB,C,739,27 03 2026 23:36:09,10.966,10.632,2.242,3.79,5144.,0.0,0.18,590.6,0.9212,651.3,1.1453,523.9,985.0,789.1,679.0,618.5,590.5,569.9,534.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.6,615.4,543.7,504.1,481.8,464.5,436.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.1,740.1,612.1,538.3,500.1,468.3,416.1,44.1,41.8,40.1,38.9,38.3,38.2,39.1,142.6,146.7,147.4,151.8,152.8,150.9,144.9,1044.3,847.4,744.6,691.5,671.3,661.0,654.7,679.0,567.6,511.4,482.5,470.9,465.1,459.5,642.0,543.6,494.8,469.2,456.0,449.7,442.3,620.5,527.8,483.3,458.2,439.2,426.1,413.5,604.4,507.0,470.1,453.5,436.1,416.4,389.5,583.1,488.4,446.5,418.0,400.8,386.5,362.9,593.4,493.3,448.8,415.0,387.6,367.8,339.0,673.9,534.1,471.1,435.3,403.2,372.8,312.9,801.7,632.9,531.2,473.6,442.6,415.0,359.3,925.7,730.8,613.4,545.4,509.7,478.9,414.9,0.8759,1.1517,1.3087,0.6764,0.9290,1.0678,0.0,0.0000,2026,1.0503,571.3,03430004J84,9.979,6175,30.8,40.7,36.5,0.0,143.8,685.0,521.0,458.5,887.0,645.9,561.9,574.4,526.1,1.0445,1.1405,495.1,412.7,391.9,40.2,142.4,664.1,460.1,442.5,408.2,377.2,343.6,314.4,266.2,282.5,326.2,1429.3,1080.8,1421.5,46.7,138.9,1507.5,956.6,888.1,845.0,850.6,828.7,853.6,967.1,1170.1,1351.1
CAN,BC2654,CAN1-Mad Dash,CAN 1,Mad Dash,Dash 34,Dash Marine Ltd.,Laurie Davidson,1981,,,,,ORC,CLUB,C,685,24 06 2026 01:01:39,10.394,9.353,1.936,3.05,3088.,0.0,0.00,606.7,0.9011,665.9,1.1082,541.4,991.7,796.3,693.3,637.7,604.6,582.4,550.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.9,624.4,560.0,524.9,502.3,484.4,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.5,750.8,628.3,559.3,521.5,488.8,432.5,42.7,40.4,37.9,36.7,36.5,36.2,36.0,136.5,146.4,147.8,157.3,166.8,177.7,177.1,963.6,793.9,717.9,690.5,676.9,668.2,659.4,634.6,545.2,512.1,498.9,491.8,486.6,479.6,603.8,529.8,500.9,486.1,478.1,471.9,463.0,586.4,520.2,491.7,471.8,458.2,449.6,436.0,600.0,523.2,486.9,464.2,447.4,432.1,411.0,617.0,518.8,478.0,446.7,420.3,397.6,366.8,640.9,530.2,486.2,452.9,422.6,392.1,339.2,728.0,583.5,512.9,478.1,447.1,416.6,347.9,883.3,691.7,579.0,514.4,481.6,452.9,396.1,1019.9,798.7,668.6,584.8,532.4,496.5,442.4,0.8687,1.1127,1.2557,0.6711,0.9075,1.0414,0.0,0.0000,2026,1.0177,589.6,03430004TVC,9.353,4002,21.9,36.2,28.7,64.5,67.6,690.7,539.2,477.8,894.1,661.2,576.1,582.4,556.1,1.0302,1.0789,520.4,429.3,407.4,37.0,139.6,663.9,477.5,458.9,427.8,394.9,341.5,307.9,274.2,326.4,376.8,1422.5,1067.8,1428.3,45.4,137.5,1364.2,871.4,811.8,773.9,798.6,874.4,914.7,1057.1,1282.4,1480.8
CAN,ON2633,CAN10-Ellementary,CAN 10,Ellementary,L-30,Greenline Ships,Andrej Justin,2014,Canada  M1N 3Y1,,,,ORC,CLUB,R,588,19 08 2026 01:23:17,9.265,9.207,1.883,2.53,2076.,0.0,0.00,583.2,0.9150,655.7,1.1520,520.8,941.5,764.3,679.4,635.1,605.5,578.7,536.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.3,601.3,542.5,506.8,482.1,461.8,429.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.1,720.1,611.8,544.4,501.1,463.9,401.6,44.0,41.5,39.8,39.7,39.5,39.3,40.3,143.0,146.4,149.2,151.7,149.2,146.1,142.5,936.2,783.4,728.3,706.2,694.3,690.2,697.6,610.6,528.6,501.6,490.4,485.5,482.6,477.4,578.3,511.7,483.8,470.6,463.8,458.1,449.0,559.6,501.8,464.6,442.1,430.9,421.2,404.3,567.3,503.9,462.9,426.0,403.0,390.5,363.9,605.3,507.0,453.1,411.4,386.2,365.2,330.6,618.8,512.6,457.9,408.6,367.3,341.2,306.4,690.6,552.4,488.1,439.6,391.9,348.3,276.8,820.0,645.3,546.0,489.4,447.5,404.7,325.7,946.9,745.1,630.5,564.0,516.8,467.3,376.1,0.9066,1.1530,1.3197,0.7035,0.9185,1.0531,0.0,0.0000,2026,1.0560,568.2,03430004WIR,9.074,2870,19.5,28.0,22.0,0.0,83.6,661.8,520.4,454.6,852.9,653.2,569.7,569.8,525.1,1.0530,1.1427,495.0,403.8,374.9,41.7,144.0,708.7,478.0,448.3,397.5,347.3,309.3,279.9,235.3,243.5,281.2,1345.3,1011.3,1348.9,46.5,140.3,1308.5,829.9,764.9,721.9,740.5,858.2,883.0,993.4,1196.8,1382.0
CAN,BC2637,CAN1007-Chameleon,CAN 1007,Chameleon,Synergy 1000,Timeless Marine,Carl Schumacher,1999,,,,,ORC,INTL,R,510,21 04 2026 14:41:40,10.028,9.221,2.116,2.97,2139.,0.0,0.00,568.3,0.9439,635.7,1.1651,515.0,859.1,722.4,660.5,622.9,594.5,565.3,521.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.1,574.7,533.5,506.6,485.5,465.7,437.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.2,681.5,597.4,542.4,505.3,470.0,414.3,41.9,39.3,38.5,38.3,38.8,38.8,39.7,141.7,146.0,152.0,151.3,147.3,146.1,147.6,868.3,765.7,732.6,716.8,709.0,703.9,711.0,578.4,528.3,512.3,503.4,497.8,493.8,492.7,553.2,510.0,495.5,486.1,479.4,474.3,470.8,536.8,492.3,473.4,460.4,450.7,443.3,435.4,542.3,490.4,458.7,439.8,425.8,414.2,398.0,548.5,486.0,456.4,432.7,412.8,389.7,356.4,556.9,482.6,441.9,415.2,391.8,370.8,335.6,616.8,507.9,454.7,409.1,367.8,336.9,295.6,736.1,588.2,510.1,458.6,415.7,369.6,287.5,849.9,679.2,588.4,528.9,480.0,426.8,332.0,0.9679,1.1628,1.3039,0.7587,0.9425,1.0788,0.0,0.0000,2026,1.0732,559.1,03430004M9S,8.950,2861,19.4,40.3,29.0,0.0,108.1,619.9,516.0,460.2,790.8,636.6,556.2,567.2,502.2,1.0579,1.1948,500.7,424.3,396.3,42.2,151.2,742.8,500.9,476.4,434.2,387.6,336.5,308.2,261.8,225.1,258.6,1215.0,919.3,1215.9,44.9,139.3,1205.6,773.7,720.3,683.8,701.0,752.9,782.2,877.3,1060.4,1224.4
CAN,ON2608,CAN102-Spitfire,CAN 102,Spitfire,OLSON 911SE,ERICSON,SCHUMACHER,1987,Midland Bay Sailing Club,,,,ORC,CLUB,R,485,27 05 2026 15:30:44,9.104,8.139,1.724,3.15,3786.,0.0,0.05,675.7,0.8182,733.3,0.9926,604.5,1079.7,873.3,761.1,700.8,667.6,648.3,624.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.5,693.1,621.0,584.1,563.2,549.0,527.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.1,824.2,692.6,620.9,583.7,554.5,505.8,43.2,41.4,39.4,38.2,37.7,37.7,37.8,146.9,151.1,154.0,161.3,167.8,175.4,176.8,1085.7,903.8,809.9,773.4,759.3,755.2,753.9,715.1,613.5,569.3,551.9,545.7,543.1,539.6,681.5,594.1,557.1,540.3,533.5,530.2,525.2,663.1,582.8,548.1,529.3,517.7,511.7,502.0,676.7,587.2,547.6,525.5,509.5,496.5,478.5,697.5,585.4,538.8,513.4,494.1,478.3,456.8,720.7,598.8,544.3,514.6,490.7,467.9,434.5,796.0,645.5,567.8,529.6,502.7,477.2,429.7,929.9,730.5,620.0,559.4,526.6,501.7,453.6,1073.7,842.9,712.4,628.1,575.8,541.4,494.2,0.7845,0.9996,1.1018,0.6144,0.8253,0.9316,0.0,0.0000,2026,0.9158,655.2,03430004RDH,7.797,4461,21.0,23.9,35.6,73.8,0.0,764.8,600.2,544.6,976.6,727.0,644.1,651.0,613.0,0.9217,0.9788,613.3,516.4,492.9,39.3,172.7,775.9,542.5,525.4,497.2,466.5,441.4,417.5,390.3,411.7,450.8,1551.8,1171.7,1555.2,46.3,142.6,1517.9,966.1,899.4,860.3,887.5,971.3,1006.7,1144.7,1373.2,1585.7
CAN,ON2606,CAN1047-Viking,CAN 1047,Viking,Henderson 30,SOCA Sailboats,Glenn Henderson,1997,,,,,ORC,CLUB,R,572,08 06 2026 21:41:40,9.388,8.683,2.126,2.99,1826.,0.0,0.00,568.1,0.9605,624.7,1.1782,509.3,890.7,729.1,649.9,607.7,578.2,547.8,490.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.3,584.4,531.6,498.7,473.3,450.1,412.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,689.5,591.8,531.0,491.7,454.3,391.9,42.0,39.3,36.7,35.5,35.0,34.7,34.7,143.9,147.1,153.4,153.7,153.7,145.0,144.4,927.9,766.4,698.6,673.9,660.8,652.0,644.7,616.0,535.6,505.1,490.1,480.6,473.3,464.5,588.2,522.6,491.9,473.5,463.0,454.7,444.3,572.7,513.8,480.4,454.0,437.0,425.5,408.6,575.2,510.7,481.0,449.7,421.2,398.8,371.1,557.5,489.8,449.5,423.9,401.1,380.6,345.4,568.0,492.1,444.7,406.0,379.1,355.8,317.3,627.4,521.2,468.5,421.7,374.7,331.5,279.4,739.1,599.0,522.3,471.3,430.2,384.1,291.5,853.5,691.7,601.1,541.6,495.7,443.5,336.6,0.9399,1.1754,1.3584,0.7408,0.9608,1.1237,0.0,0.0000,2026,1.0881,551.4,03430004SJ0,9.252,2587,17.0,34.8,17.9,0.0,98.4,638.4,510.5,441.7,809.9,624.5,534.0,557.4,507.5,1.0764,1.1823,456.7,388.2,366.8,36.2,149.1,655.5,464.7,441.4,400.7,354.2,305.6,287.7,241.4,223.4,257.9,1272.5,970.0,1268.6,44.5,141.1,1311.1,844.4,790.1,754.3,776.1,769.7,798.0,890.5,1068.6,1233.9
CAN,BC2625,CAN1057-Reverie,CAN 1057,Reverie,C&C 35-3,C&C,C&C,1983,V6J 4E2  Canada,,,,ORC,CLUB,C,660,04 03 2026 01:39:29,10.610,8.551,2.024,3.43,5347.,0.0,0.39,667.2,0.8277,724.9,1.0100,594.1,1085.7,878.9,763.9,693.3,649.2,623.5,596.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.4,691.3,615.9,573.6,547.1,529.5,506.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.1,826.5,690.9,611.0,567.1,535.7,487.6,43.0,41.1,39.7,38.3,37.5,36.9,36.7,144.7,148.0,153.4,160.1,166.4,173.6,177.2,1132.3,933.5,826.2,768.1,732.5,715.6,705.8,742.0,627.2,571.3,545.5,529.6,520.3,513.8,704.8,602.1,555.6,532.9,518.5,508.4,499.4,681.9,585.5,543.3,521.4,507.2,494.8,477.9,687.5,576.0,529.6,508.5,497.1,488.5,465.0,673.7,563.8,519.3,494.1,473.8,456.7,436.1,691.7,576.1,525.6,497.8,474.4,453.3,422.3,765.2,623.7,551.1,515.3,490.3,467.1,426.6,899.9,713.8,610.1,548.6,515.8,492.5,450.0,1039.2,824.3,701.6,618.6,565.9,531.3,486.3,0.7839,1.0154,1.1422,0.6108,0.8319,0.9683,0.0,0.0000,2026,0.9287,646.0,03430004FI2,8.055,6192,24.5,26.8,34.9,91.3,82.7,765.4,590.9,525.3,982.3,721.2,619.6,643.9,601.8,0.9318,0.9970,580.4,493.2,473.1,37.5,176.3,712.8,513.4,497.7,471.2,448.0,423.9,405.7,396.1,415.0,448.1,1561.4,1181.4,1557.0,46.1,140.2,1605.7,1020.3,948.1,902.5,927.6,933.4,960.9,1091.4,1313.9,1517.1
CAN,BC2618,CAN1086-Songbird,CAN 1086,Songbird,DUFOUR 40 E,Dufour,Felci,2009,Canada  V7W 1W6,,,,ORC,CLUB,C,640,17 03 2026 21:49:31,12.013,11.009,2.123,3.88,8301.,0.0,0.27,609.2,0.8997,666.9,1.1104,540.3,1018.6,813.1,700.0,634.2,597.4,574.5,549.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.4,635.6,559.9,518.7,495.8,480.4,460.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6,764.3,630.8,553.9,514.8,485.5,439.4,44.5,42.2,40.8,39.7,39.1,38.9,39.0,144.6,149.2,152.1,156.9,163.9,170.0,177.2,1038.5,848.0,747.3,697.1,677.3,667.7,662.7,672.5,564.8,509.8,484.3,473.1,468.0,463.5,634.5,540.0,493.7,471.2,459.8,454.5,449.0,609.4,523.3,482.4,460.6,446.8,437.3,427.7,620.6,527.9,479.5,457.1,443.3,430.1,410.9,628.2,519.6,471.1,445.8,427.3,412.6,395.5,649.5,533.9,478.3,449.7,428.7,410.0,378.9,727.8,584.7,507.2,467.0,442.5,421.5,382.5,864.9,673.9,566.2,501.5,465.8,442.8,403.6,998.7,778.2,652.6,571.3,517.5,481.4,436.4,0.8481,1.1185,1.2583,0.6551,0.9066,1.0510,0.0,0.0000,2026,1.0180,589.4,03430004I4T,10.093,9232,33.3,49.5,40.1,102.9,0.0,707.5,536.4,476.8,915.9,661.8,570.9,584.8,551.1,1.0259,1.0886,536.3,448.0,426.2,40.0,176.3,671.8,463.7,447.8,422.6,399.8,382.4,361.6,344.5,366.5,400.8,1482.8,1110.7,1482.4,47.3,139.4,1487.2,936.9,862.5,813.0,837.1,883.4,918.3,1058.9,1280.3,1478.4
CAN,BC2643,CAN1102-Kajofi,CAN 1102,Kajofi,J 112E,J/Composites,Al Johnstone,2017,,,,,ORC,CLUB,C,664,09 04 2026 21:46:05,11.000,10.114,2.091,3.60,5291.,0.0,0.15,588.3,0.9253,648.4,1.1401,526.3,949.1,766.1,668.4,620.2,596.0,578.4,551.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.4,601.9,540.7,509.5,491.5,477.1,453.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.7,719.9,605.2,542.8,509.7,481.8,434.6,43.7,41.4,39.5,38.2,38.1,38.0,38.2,143.0,146.9,150.2,153.2,156.8,159.4,147.1,1002.3,819.5,727.8,689.2,674.2,665.7,659.8,654.5,552.4,506.7,488.1,480.3,475.6,470.8,620.0,531.9,493.8,476.3,467.2,462.2,456.1,597.7,513.0,484.4,464.9,451.8,442.8,433.0,569.2,495.4,466.2,450.3,440.3,431.9,412.5,578.9,492.2,457.2,434.5,419.2,402.3,376.5,590.5,497.3,459.1,432.0,409.2,389.0,357.4,654.0,532.4,479.0,448.0,420.3,393.6,337.5,775.8,617.1,527.5,480.5,453.5,430.0,383.8,895.8,712.6,609.0,551.3,517.8,491.0,443.2,0.9020,1.1470,1.2716,0.6997,0.9340,1.0476,0.0,0.0000,2026,1.0493,571.8,03430004KQF,9.752,6215,27.3,39.9,34.0,0.0,125.2,665.2,523.1,471.8,857.5,642.4,572.7,572.3,528.3,1.0483,1.1358,514.8,429.4,408.7,39.5,142.6,669.4,471.2,455.2,428.4,400.6,358.0,322.5,283.2,312.0,360.3,1364.0,1027.6,1357.4,46.4,139.7,1430.6,907.7,841.8,798.7,769.2,792.7,830.3,930.8,1123.6,1297.5
