NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
DEN,36449,36449 - HH42 - DEN 5 Quinta Light,DEN 05,Quinta Light,HH42,Hakes marine,Jude Vrolijk,2013,Vedbæk Sejlklub,,,,ORC,INTL,R,800,04 05 2026 10:22:32,12.593,11.778,3.009,4.31,4260.,126.6,0.00,487.4,1.1002,545.4,1.3743,436.6,772.8,636.0,572.0,531.9,501.2,473.9,430.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.2,501.7,456.6,427.2,404.5,384.9,355.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.6,599.2,514.7,458.6,421.3,388.3,335.6,42.8,40.1,39.3,38.7,38.4,38.2,38.8,141.2,144.7,146.7,150.1,145.8,145.4,146.2,784.6,667.3,625.6,604.1,591.6,583.7,578.1,517.2,453.5,432.5,420.5,412.0,405.6,398.0,490.6,436.5,415.0,401.6,392.1,384.9,376.1,472.3,422.6,392.7,376.4,364.4,355.0,341.8,478.4,425.5,388.2,361.2,343.6,330.2,309.7,490.1,422.1,388.4,364.2,343.8,317.8,280.2,498.7,422.1,376.4,348.9,326.3,306.9,275.7,551.5,443.3,392.7,348.1,309.9,283.1,246.2,659.0,523.8,449.0,398.2,355.8,315.4,245.3,760.9,604.8,518.4,459.7,410.9,364.2,283.2,1.0939,1.3713,1.5845,0.8518,1.0984,1.2916,0.0,0.0000,2026,1.2600,476.2,03370004O8I,12.000,5415,31.9,71.5,47.6,0.0,208.1,548.5,437.5,378.7,704.4,546.2,464.5,480.6,430.7,1.2486,1.3931,404.7,337.0,314.6,39.7,150.6,585.8,398.7,374.2,336.2,296.9,255.1,245.3,215.2,193.8,223.5,1105.0,834.3,1104.9,45.5,139.6,1105.7,706.8,654.5,615.4,627.9,683.6,709.6,793.9,956.2,1104.2
DEN,32777,32777 - X37 - DEN 125 Ventoux,DEN 125,Ventoux,X-37,X-Yachts,Jeppesen,2004,Middelfart Sejlklub,,,,ORC,INTL,C,710,13 06 2026 09:04:22,11.345,10.368,2.054,3.47,7319.,118.5,0.24,620.6,0.8832,679.4,1.0843,553.3,1013.3,814.5,708.3,649.6,615.0,593.0,567.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.7,639.7,569.7,533.6,512.8,498.7,479.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.5,766.4,640.0,569.4,532.2,503.4,459.2,43.8,41.3,40.2,39.5,39.1,38.9,38.9,144.6,149.4,152.8,158.3,165.7,173.6,177.9,1030.6,849.1,760.2,721.9,704.9,695.2,687.7,673.2,570.7,521.6,501.8,493.9,488.9,483.7,637.8,547.5,506.0,487.8,480.0,475.1,469.5,614.9,531.8,494.9,475.6,464.1,457.2,448.8,626.9,535.7,492.9,473.5,458.5,446.7,431.4,630.2,525.5,482.6,459.9,443.8,433.6,418.1,651.7,539.0,488.6,462.5,442.7,425.2,401.3,729.1,588.8,514.4,478.0,454.8,434.2,395.7,862.5,675.3,570.0,509.0,476.7,454.9,415.8,996.0,779.8,656.4,577.3,525.1,490.8,448.2,0.8460,1.0923,1.2120,0.6566,0.8898,1.0185,0.0,0.0000,2026,0.9964,602.2,03370004T45,9.462,8301,30.4,44.7,36.0,98.2,0.0,709.2,549.3,495.0,913.8,674.3,589.1,599.1,560.9,1.0015,1.0697,554.9,468.1,447.2,39.9,176.8,697.0,483.7,469.3,445.0,422.2,409.6,386.3,360.8,378.6,412.8,1467.6,1102.2,1467.8,46.6,140.5,1465.7,927.9,858.6,813.8,837.9,879.2,914.0,1054.4,1272.7,1469.6
DEN,37869,37869 - XR41 DEN 15,DEN 15,Formula X,XR-41,X-yachts,X-Yachts,2024,Haderslev Sejl-Club,,,,ORC,INTL,R,940,25 08 2026 10:15:17,12.747,11.786,2.398,4.18,7061.,112.7,0.00,549.4,0.9851,609.1,1.2251,489.7,895.2,725.3,631.2,584.3,557.6,537.7,499.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,567.3,505.5,474.2,454.5,438.2,409.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.7,681.3,569.0,507.0,471.8,442.3,390.5,43.2,41.0,39.2,41.1,41.0,40.0,38.9,142.8,146.4,146.3,152.5,153.8,151.8,145.1,930.2,766.8,689.1,657.4,636.6,624.1,613.8,609.8,519.9,469.3,451.9,443.7,438.3,432.4,579.0,497.3,455.2,438.3,430.0,424.0,416.6,559.0,478.8,445.6,425.7,411.8,402.8,391.1,553.0,468.4,434.0,414.7,403.0,389.6,369.1,552.5,460.9,422.9,398.3,382.9,363.6,335.3,561.2,464.0,423.9,394.4,370.1,352.0,316.9,626.5,502.0,442.6,410.7,381.9,353.0,295.8,745.0,592.1,496.5,444.8,416.4,391.5,333.9,860.2,683.7,573.3,511.3,478.5,451.3,385.5,0.9552,1.2308,1.3904,0.7405,0.9917,1.1355,0.0,0.0000,2026,1.1227,534.4,03370004WO0,11.052,8392,37.1,59.9,49.4,0.0,189.7,628.1,487.5,431.5,810.3,605.0,528.4,535.5,492.1,1.1205,1.2193,465.5,387.2,366.1,40.0,143.6,623.1,432.4,416.2,385.8,357.2,314.0,283.6,254.5,266.6,307.8,1281.6,969.7,1277.9,46.3,139.6,1318.9,838.3,778.3,739.3,750.0,771.2,795.7,892.2,1077.6,1244.3
DEN,37142,37142 - GP 42 - DEN 181,DEN 181,Al Capone 2.0,GP 42 07,KINGS MARINE,B&C,2006,Snaptun Sejlklub,,,,ORC,INTL,R,1000,25 08 2026 06:25:33,12.803,12.529,2.810,3.88,4171.,0.0,0.00,492.4,1.0917,549.6,1.3631,440.2,791.0,641.4,574.5,535.6,504.8,476.2,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.7,505.7,459.4,430.4,407.7,387.5,358.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.5,604.3,517.4,461.9,424.6,391.0,339.3,43.0,40.6,39.0,38.3,38.3,38.2,38.3,141.1,143.9,148.3,150.1,144.9,145.0,146.3,806.1,672.0,626.5,605.2,593.1,584.7,579.3,528.6,455.8,434.4,423.1,415.6,409.6,402.6,500.0,438.8,418.2,405.8,396.8,389.7,381.3,480.0,426.1,397.0,381.0,369.1,359.8,347.3,487.1,429.2,392.5,365.0,347.7,334.6,315.2,496.3,424.0,389.6,365.5,344.8,321.3,283.4,507.0,424.9,379.2,350.2,327.1,307.1,275.1,561.1,448.6,397.2,351.9,312.5,282.9,245.9,671.9,529.0,452.4,403.7,360.7,318.5,251.8,775.9,610.9,522.4,466.1,416.5,367.8,290.7,1.0778,1.3616,1.5715,0.8377,1.0915,1.2823,0.0,0.0000,2026,1.2505,479.8,03370004WNI,12.352,5566,32.4,65.2,44.4,0.0,184.4,556.7,440.7,381.8,716.2,549.7,467.9,483.7,434.7,1.2404,1.3803,412.5,343.6,321.5,39.9,150.0,593.5,406.1,382.0,343.4,303.3,261.9,251.3,217.4,200.5,231.5,1142.6,863.0,1141.7,45.6,139.4,1151.2,734.3,679.3,640.5,657.6,700.5,726.9,814.0,982.0,1134.0
DEN,37352,37352 - XC47 DEN 2,DEN 2,Medvind,Xc 47,X-Yachts,X-Yachts Design,2023,Middelfart Sejlklub,,,,ORC,CLUB,C,700,19 07 2026 18:54:45,14.325,13.095,2.300,4.56,15560.,0.0,0.33,551.1,0.9735,616.4,1.2178,492.7,898.6,729.3,640.6,592.0,562.6,542.8,519.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.8,566.1,507.4,476.7,457.8,444.6,427.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.9,683.9,574.5,511.0,475.7,448.4,407.0,45.2,43.1,42.2,41.3,40.3,40.0,39.9,142.4,146.3,149.2,151.2,154.1,159.0,164.2,926.1,765.8,691.9,658.4,637.4,625.3,616.9,593.5,502.8,461.7,445.6,438.2,432.5,427.0,554.2,477.3,443.4,429.1,422.5,418.7,413.5,523.2,458.0,429.1,413.9,404.9,399.8,393.9,523.2,457.5,426.9,409.4,397.2,387.6,375.3,560.7,466.6,424.9,403.5,387.8,377.6,362.7,572.6,474.1,429.3,406.1,388.0,371.8,348.1,633.7,515.5,452.7,420.8,400.4,382.3,348.9,754.4,599.9,510.3,455.8,425.8,407.1,376.1,871.1,692.8,589.2,525.6,487.8,460.4,422.2,0.9601,1.2253,1.3591,0.7371,0.9799,1.1131,0.0,0.0000,2026,1.1141,538.5,03370004VDR,11.690,16663,47.2,69.0,56.8,0.0,186.8,624.9,489.7,441.5,814.0,612.3,539.0,534.1,499.2,1.1235,1.2019,507.6,416.8,396.4,40.5,161.9,622.1,426.5,412.1,390.2,368.5,350.9,333.5,316.9,347.3,393.2,1284.7,953.9,1282.9,48.0,138.5,1303.3,815.4,738.3,675.9,673.8,758.0,801.6,904.2,1096.5,1266.1
DEN,37920,37920 - Mat 11 - DEN 201,DEN 201,STONY X,MAT 11,M.A.T.,POLLI,2026,Næstved Sejlklub,,,,ORC,INTL,C,660,24 07 2026 12:38:24,10.988,9.990,2.045,3.81,5239.,119.8,0.00,586.0,0.9239,649.5,1.1443,524.3,940.2,762.7,669.3,622.9,598.9,581.0,550.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.9,600.0,539.9,508.3,489.3,474.0,448.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.9,717.4,605.4,542.8,508.1,478.0,426.5,43.5,41.3,39.8,39.1,39.7,39.6,40.1,142.8,146.9,148.9,153.0,155.7,155.4,145.3,983.5,811.8,732.8,701.7,686.9,678.7,676.1,642.2,547.9,505.3,486.7,478.5,473.5,469.3,609.0,527.6,490.4,472.4,463.5,457.6,451.1,587.3,513.9,479.9,459.3,444.8,435.4,423.5,594.5,507.4,473.6,452.0,437.5,422.0,400.7,573.0,489.1,451.7,426.5,411.3,394.3,366.8,581.9,492.5,453.1,423.4,398.8,380.5,346.1,654.1,525.9,472.2,439.7,410.3,382.5,325.4,776.8,618.0,524.6,474.0,445.7,420.3,368.6,896.9,713.6,605.8,544.2,510.9,483.3,425.6,0.9064,1.1501,1.2812,0.7047,0.9316,1.0449,0.0,0.0000,2026,1.0521,570.3,03370004VM8,9.524,6168,28.3,45.2,38.6,0.0,141.6,662.0,521.7,468.3,851.4,644.1,574.2,572.7,524.4,1.0477,1.1442,517.3,426.8,400.7,42.1,143.5,696.3,472.2,451.5,418.5,387.7,349.5,310.1,276.5,292.9,338.2,1345.1,1017.4,1340.2,46.5,139.5,1393.5,883.5,818.5,775.7,798.4,800.1,824.9,929.2,1122.9,1296.6
DEN,17943,17943 - DS37 - DEN 25,DEN 25,No Name,DS 37,Ree Marin,,1991,Kongelig Dansk Yachtklub,,,,ORC,CLUB,C,400,19 07 2026 19:01:22,11.089,10.513,2.138,3.23,3913.,0.0,0.20,598.6,0.9073,661.3,1.1298,531.1,1005.9,798.8,688.9,630.7,597.6,575.4,541.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.4,621.0,549.7,512.1,488.6,471.2,444.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.4,751.1,620.6,547.9,507.5,474.3,421.8,43.1,41.3,39.5,38.6,38.3,38.3,38.5,138.2,147.1,148.0,155.5,163.0,166.6,160.4,991.4,806.6,724.8,696.4,682.8,675.0,669.4,648.3,542.4,500.0,485.9,478.9,474.1,469.0,613.4,521.2,484.2,469.9,462.6,457.2,450.8,590.3,507.1,471.6,450.5,438.3,430.3,419.1,603.5,511.3,471.7,444.8,422.4,407.2,390.4,621.8,509.7,462.9,432.1,411.3,396.5,371.7,644.0,522.6,469.7,433.8,402.2,377.8,346.6,731.0,577.0,497.4,456.9,421.4,387.7,324.5,883.7,685.1,565.5,494.4,457.1,424.1,360.9,1020.4,791.1,653.0,565.1,512.4,475.7,413.3,0.8649,1.1366,1.2892,0.6649,0.9148,1.0560,0.0,0.0000,2026,1.0340,580.3,03370004VDS,9.854,4548,25.9,37.9,31.4,79.7,0.0,693.7,527.9,465.4,902.4,655.9,568.2,575.8,541.5,1.0419,1.1081,513.0,423.8,400.9,40.8,148.7,682.4,468.9,448.9,414.8,380.0,345.5,321.4,278.9,297.5,343.5,1468.9,1100.9,1472.9,46.1,137.4,1429.0,908.4,843.0,800.7,829.4,887.7,925.8,1075.6,1306.7,1508.8
DEN,32058,32058 - X-99 - DEN 311,DEN 311,Voxeværk,X-99,X-YACHTS,NIELS JEPPESEN,1985,Struer Sejlklub,,,,ORC,CLUB,R,100,29 04 2026 06:48:23,9.960,8.395,1.788,2.99,2980.,0.0,0.00,639.0,0.8438,711.1,1.0378,578.1,986.9,817.3,735.4,687.5,659.5,640.7,613.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.8,642.9,592.7,564.7,546.8,532.3,509.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.6,769.5,664.7,602.7,567.0,536.4,483.9,42.4,40.3,39.7,39.7,39.9,40.1,41.1,143.8,148.7,151.6,159.5,167.8,169.8,158.4,969.9,849.4,810.9,795.2,787.1,783.1,793.3,642.5,577.0,556.6,547.3,541.5,537.8,537.0,612.4,554.8,537.1,528.8,523.1,519.3,516.4,592.9,537.7,517.5,507.7,500.0,493.9,486.8,601.0,536.1,509.0,492.4,481.1,471.9,457.3,624.3,536.8,504.4,487.9,474.1,461.5,433.6,640.8,542.7,502.8,475.6,456.3,440.2,411.0,719.5,582.7,519.9,485.1,453.7,421.1,365.8,869.5,679.9,572.3,514.9,481.2,448.8,378.9,1004.0,785.1,660.0,579.8,531.8,498.4,434.1,0.8574,1.0415,1.1378,0.6651,0.8483,0.9445,0.0,0.0000,2026,0.9557,627.8,03370004NIM,7.724,3228,19.0,33.5,30.2,74.6,0.0,699.8,576.1,527.3,902.1,707.3,635.3,630.4,571.1,0.9518,1.0507,602.7,500.7,467.8,46.1,149.4,849.7,547.9,520.1,485.9,448.9,408.6,386.4,334.4,308.1,355.7,1390.1,1045.8,1395.7,45.2,138.3,1334.1,856.2,800.4,762.5,780.4,864.3,897.6,1034.4,1252.4,1446.1
DEN,35938,35938 - Elliott 35 SS - DEN 35551,DEN 35551,Hansen 3.5,Elliott 35ss,Yachting Developme,Greg Elliott,2013,Denmark,,,,ORC,CLUB,R,550,17 07 2026 08:44:45,10.650,10.359,2.687,3.49,3367.,0.0,0.00,495.6,1.0810,555.0,1.3511,444.1,779.6,644.5,583.6,544.1,511.8,480.5,424.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.4,512.5,467.9,436.2,410.3,387.2,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.3,608.8,525.8,468.5,429.5,391.6,329.1,43.0,39.0,36.8,35.7,34.9,34.6,34.8,142.4,146.2,152.2,150.9,147.1,141.3,145.2,773.1,659.9,620.5,600.1,586.3,576.1,563.9,510.8,460.4,439.9,427.2,416.7,407.5,393.8,488.5,443.4,421.8,409.1,397.4,387.3,372.0,477.7,433.1,407.2,392.0,376.5,363.8,346.1,481.7,429.6,393.1,371.0,353.7,336.8,312.9,505.5,442.0,400.7,356.2,323.7,303.9,274.6,523.8,445.5,392.3,355.7,329.8,299.3,255.0,573.2,472.3,419.0,368.6,322.1,286.6,239.9,680.9,544.8,474.1,422.9,378.7,333.4,247.4,786.2,629.1,546.8,488.1,437.3,384.9,285.7,1.0763,1.3434,1.5831,0.8426,1.0761,1.2836,0.0,0.0000,2026,1.2388,484.3,03370004VD3,11.371,4182,26.1,63.0,39.5,0.0,168.5,557.5,446.6,379.0,712.1,557.6,467.4,486.0,446.4,1.2346,1.3440,394.8,329.0,305.7,35.8,149.8,564.9,389.8,365.4,337.6,297.5,252.7,225.7,207.6,194.6,224.7,1089.2,816.6,1093.6,45.1,140.1,1045.5,670.7,623.9,587.0,594.0,657.2,724.3,816.1,981.2,1132.9
DEN,37673,XR41 - DEN41 Xbox,DEN 41,XBOX,XR41,X-Yachts,X-Yachts,2024,Kongelig Dansk Yachtklub,,,,ORC,INTL,R,1001,05 08 2026 11:54:29,12.747,11.774,2.396,4.18,7023.,112.1,0.00,549.3,0.9859,608.6,1.2268,489.1,900.3,727.3,631.5,582.8,555.7,535.9,498.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,568.5,505.2,473.0,453.0,436.8,408.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.4,683.0,569.0,505.6,470.2,440.8,389.6,43.8,41.0,39.3,41.0,40.8,39.8,38.6,142.8,146.4,145.9,152.3,153.7,152.1,145.0,938.7,770.2,688.6,653.8,632.7,620.2,610.0,613.9,521.5,469.0,450.2,441.9,436.4,430.4,582.5,499.9,455.2,437.2,428.2,422.2,414.5,562.4,480.8,445.9,425.4,410.8,401.1,389.2,551.0,466.6,432.4,412.5,400.7,389.2,367.8,553.2,460.5,422.1,396.6,380.8,362.3,333.6,562.5,463.9,423.6,394.1,369.3,349.9,316.5,627.9,503.9,442.8,410.9,382.2,353.6,296.5,746.4,592.8,497.4,445.1,416.7,391.9,335.6,861.8,684.5,574.3,511.8,478.7,451.7,387.5,0.9520,1.2329,1.3947,0.7373,0.9929,1.1386,0.0,0.0000,2026,1.1241,533.8,03370004W3K,11.103,8419,37.2,58.6,49.1,0.0,186.4,630.3,486.7,430.2,813.8,604.3,527.0,534.6,492.1,1.1223,1.2192,463.9,385.4,364.8,39.8,143.1,617.5,430.1,413.8,383.6,355.3,311.9,282.6,252.3,268.7,310.2,1290.2,975.5,1285.9,46.3,139.6,1332.6,847.1,787.0,748.1,747.5,773.7,797.8,894.8,1080.6,1247.7
