NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
ECU,,ECU717,ECU -717,NEGRA,SWAN 45,NAUTOR,GERMAN FRERS,2001,,,,,ORC,INTL,C,920,07 03 2026 07:18:51,13.829,12.712,2.847,3.89,10156.,140.3,0.00,526.6,1.0375,578.3,1.2665,473.8,823.8,675.9,600.8,558.8,531.2,512.3,485.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.2,534.8,487.6,461.6,444.3,431.1,409.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.4,637.7,545.3,491.4,460.3,435.3,395.1,42.2,39.9,38.3,37.3,36.7,36.4,36.3,141.6,144.9,150.1,156.9,164.6,169.6,168.7,828.0,696.7,640.7,615.2,600.6,591.1,580.3,550.2,477.6,450.9,439.9,433.4,428.9,423.0,524.5,462.6,439.5,428.9,422.6,417.8,411.4,507.2,453.2,430.3,417.0,408.3,401.9,392.3,514.8,455.6,429.4,412.6,399.5,389.1,374.7,525.1,449.5,418.9,400.2,387.9,377.4,359.5,538.0,453.9,420.4,397.4,378.0,363.9,341.3,594.0,485.7,438.1,411.7,388.5,366.5,320.8,709.8,567.4,485.8,441.6,416.1,393.6,349.0,819.6,655.1,560.9,502.5,461.9,433.5,390.5,1.0248,1.2711,1.4071,0.8001,1.0423,1.1836,0.0,0.0000,2026,1.1675,513.9,03880004H3T,12.247,11496,39.1,78.7,55.7,177.5,177.1,585.5,472.0,426.4,749.9,575.7,506.9,510.4,479.0,1.1755,1.2527,465.2,393.6,378.4,37.3,152.8,585.2,421.5,408.6,387.1,364.7,345.8,321.3,281.9,299.6,345.2,1168.9,882.1,1170.2,45.3,138.7,1155.1,739.9,688.2,652.2,667.0,720.8,750.3,845.3,1024.2,1182.6
ECU,,ECU14519,ECU 14519,BLUE MAGIC,SWAN 45,NAUTOR,GERMANS FRERS,2001,,,,,ORC,INTL,C,940,07 03 2026 07:18:39,13.829,12.673,2.840,3.89,9974.,140.5,0.00,526.0,1.0381,578.0,1.2678,473.3,823.5,675.6,600.7,558.4,530.8,511.8,484.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.6,534.3,487.3,461.2,443.7,430.5,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.3,637.4,545.1,491.0,459.8,434.6,394.2,42.1,39.8,38.2,37.2,36.7,36.3,36.3,141.5,144.9,149.8,156.9,164.6,169.6,168.7,825.5,694.7,639.4,614.2,599.7,590.2,579.5,548.5,476.6,450.4,439.5,433.0,428.4,422.6,522.9,461.7,438.9,428.5,422.1,417.4,410.9,505.7,452.3,429.7,416.4,407.7,401.3,391.6,513.2,454.7,428.7,411.9,398.7,388.2,373.8,524.7,449.2,418.5,399.3,386.9,376.3,358.3,538.0,453.8,420.1,396.9,377.3,362.6,339.6,595.0,486.1,438.3,411.7,388.3,365.9,319.7,711.5,568.5,486.7,442.1,416.1,393.4,348.2,821.5,656.5,562.0,502.6,461.9,433.4,390.0,1.0257,1.2722,1.4093,0.8005,1.0428,1.1848,0.0,0.0000,2026,1.1685,513.5,03880004H3P,12.247,11334,38.9,79.0,55.7,175.4,174.5,585.0,471.6,425.7,749.5,575.4,506.4,509.7,478.8,1.1771,1.2532,464.4,392.7,377.4,37.3,152.3,584.7,421.2,408.2,386.5,363.8,344.1,319.3,280.0,298.5,344.1,1168.5,881.3,1170.2,45.3,138.6,1151.5,737.6,686.0,649.9,664.6,720.8,750.9,847.0,1026.8,1185.6
ECU,,ECU6,ECU 6,HIGH NOISE,Italia 9.98,Italia Yachts,Polli,2014,,,,,ORC,INTL,C,570,14 07 2026 20:13:03,10.300,9.395,1.901,3.54,4579.,115.0,0.10,615.5,0.8808,681.2,1.0898,550.6,991.8,803.6,702.0,651.2,626.8,609.5,583.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.2,630.7,565.9,532.7,513.5,498.9,476.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.1,755.0,634.7,568.7,533.1,503.0,453.6,44.1,41.7,40.1,39.4,39.2,40.0,40.6,143.3,147.6,148.8,153.1,157.0,159.0,146.4,1048.6,863.1,772.2,734.5,720.3,713.5,713.7,683.3,580.0,531.3,509.8,501.4,496.7,493.1,647.1,557.3,515.8,495.7,486.1,480.9,475.3,623.8,542.0,504.5,482.9,468.3,459.0,448.5,617.1,526.9,494.7,479.4,461.7,446.2,425.5,595.5,508.8,471.9,447.5,432.7,420.1,398.8,605.9,513.1,473.4,444.3,420.3,401.9,374.8,683.7,550.1,493.0,460.3,431.0,403.5,345.5,809.8,644.5,547.1,494.7,466.6,441.5,392.7,935.0,744.2,631.7,567.9,533.4,505.4,453.4,0.8616,1.0966,1.2143,0.6684,0.8892,0.9932,0.0,0.0000,2026,1.0020,598.8,03880004V85,8.831,5380,24.9,37.3,31.8,0.0,122.5,696.4,547.1,494.1,897.7,674.8,604.1,602.1,549.7,0.9966,1.0916,551.3,455.8,431.6,42.8,143.2,738.1,497.0,477.8,444.6,413.9,381.1,350.2,293.9,315.7,364.5,1420.1,1074.6,1413.3,46.7,139.7,1488.8,943.0,873.4,828.2,852.2,832.8,857.8,969.0,1170.4,1351.4
ECU,,ECU002,ECU-002,ALEGATO III,F&C40,F&C,G. FRERS,1986,,,,,ORC,INTL,C,690,07 03 2026 07:18:33,12.310,10.030,2.212,3.80,6929.,115.9,0.00,609.4,0.9021,665.1,1.1019,544.5,982.9,791.2,691.3,637.4,604.9,583.9,559.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.3,625.1,560.2,526.6,506.4,492.1,472.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.1,746.4,626.9,560.7,525.1,497.0,452.8,42.8,40.9,39.2,38.2,37.8,38.0,38.2,145.3,149.4,152.5,158.0,165.1,170.7,176.3,971.1,805.1,728.5,698.3,684.2,676.4,672.2,639.7,547.7,510.1,493.9,486.8,482.7,479.6,609.5,530.1,497.6,482.2,474.7,470.4,466.1,591.8,519.5,488.4,471.7,460.8,453.3,445.2,604.8,524.0,488.2,468.5,454.1,442.1,423.8,637.3,529.5,484.7,461.5,444.3,431.5,412.7,657.3,541.7,489.5,462.4,441.3,421.9,394.9,732.0,588.1,514.1,476.6,452.3,429.7,388.4,861.5,673.2,567.8,507.9,475.0,452.2,409.0,994.8,777.3,654.0,576.4,525.6,491.5,447.0,0.8674,1.1092,1.2288,0.6764,0.9090,1.0344,0.0,0.0000,2026,1.0149,591.2,03880004H3N,9.587,7924,30.1,41.3,55.5,113.4,0.0,691.7,540.9,488.3,887.0,660.1,580.0,584.4,554.9,1.0267,1.0812,542.9,459.1,439.4,39.0,170.4,678.2,480.1,464.7,438.8,413.6,402.7,379.5,353.8,370.8,407.6,1418.7,1069.0,1423.8,46.1,140.4,1367.6,871.5,810.7,772.8,798.3,896.2,927.4,1060.7,1272.9,1469.8
ECU,,ECU007,ECU-007,HMS VICTORY,RODMAN 42,RODMAN,VROLIJK,2002,,,,,ORC,INTL,R,750,07 07 2026 07:44:51,12.235,11.094,2.515,3.49,7344.,122.9,0.00,584.9,0.9351,641.6,1.1524,520.6,961.1,770.8,669.5,614.6,580.0,557.4,529.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.2,604.0,536.9,502.8,481.3,466.0,443.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.8,725.5,604.2,536.8,499.9,470.6,424.6,42.6,40.7,39.3,38.2,37.7,37.4,37.5,141.9,146.2,149.2,156.7,164.4,170.0,175.8,964.4,788.8,703.7,670.0,653.6,643.7,634.0,636.9,535.5,489.6,472.8,465.3,460.4,454.8,606.5,516.7,476.7,460.3,453.1,448.1,441.9,587.6,505.4,468.5,449.2,437.7,430.7,421.0,599.7,501.3,461.0,444.4,430.6,417.9,401.9,597.3,495.8,453.1,427.8,408.5,395.6,376.4,616.9,508.0,460.0,432.5,409.5,388.7,356.4,693.9,558.4,488.0,452.4,427.1,403.7,357.7,829.5,651.9,550.2,490.1,456.0,431.7,387.9,957.8,752.7,635.3,559.3,506.5,471.1,424.5,0.8934,1.1600,1.3000,0.6929,0.9415,1.0860,0.0,0.0000,2026,1.0574,567.4,03880004UT1,10.515,8393,32.6,55.9,38.0,106.3,104.3,671.6,517.2,461.5,865.9,637.3,552.5,561.8,532.1,1.0681,1.1277,512.7,428.5,409.1,38.5,168.7,640.5,454.0,439.9,416.4,392.3,366.1,335.2,305.7,343.3,384.8,1391.2,1048.5,1392.8,45.6,138.1,1375.9,879.7,821.1,783.9,808.8,836.1,870.6,1002.1,1218.2,1406.6
ECU,,ECU10000,ECU-10000,READY-SET-GO,S 40 OD,M BOATS,SOTO ACEBAL,2008,,,,,ORC,INTL,R,820,09 04 2026 14:31:59,12.347,12.214,2.621,3.80,4616.,127.4,0.00,511.9,1.0537,569.4,1.3109,457.7,822.7,667.0,593.7,552.5,523.4,496.7,455.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.4,524.6,476.1,446.4,424.7,406.3,377.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.7,627.9,535.3,478.5,442.1,409.7,358.0,43.0,40.7,39.3,38.7,38.5,38.6,39.0,141.1,140.3,146.7,151.2,148.3,146.8,146.4,843.0,701.6,651.6,628.8,616.3,607.6,603.3,553.6,474.2,449.5,438.0,430.9,425.5,419.9,524.3,455.8,433.3,421.6,413.4,406.8,399.1,503.7,443.7,414.8,398.0,386.7,377.8,367.2,512.2,446.0,411.5,383.6,365.6,353.5,335.4,510.8,436.7,405.5,381.6,362.0,345.3,304.9,520.0,436.2,393.0,366.3,344.5,325.6,294.2,580.3,458.5,408.4,365.7,328.3,299.7,263.7,694.9,547.6,464.1,412.8,372.8,334.0,265.8,802.4,632.3,535.9,476.2,430.4,385.7,306.9,1.0372,1.3118,1.4992,0.8055,1.0554,1.2301,0.0,0.0000,2026,1.2032,498.7,03880004KOP,11.747,5799,31.3,62.4,41.0,0.0,189.4,578.5,457.4,400.2,744.9,568.5,487.8,502.7,450.8,1.1936,1.3311,430.9,362.1,339.7,40.5,150.2,620.1,424.2,400.8,362.6,324.1,281.7,270.2,235.4,209.5,241.8,1182.8,894.4,1181.1,45.5,139.2,1199.3,765.9,710.1,671.6,689.7,717.0,745.7,835.7,1010.0,1166.3
ECU,,ECU11452,ECU-11452,GARUFA,J35,T&P,J. JHONSTONE,1982,,,,,ORC,INTL,C,655,29 05 2026 09:05:42,10.820,9.417,2.083,3.65,5227.,101.1,0.02,621.0,0.8921,672.6,1.0800,555.6,993.8,802.6,699.5,643.6,611.4,591.0,565.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.4,636.4,571.4,537.6,517.5,503.4,482.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.4,758.1,637.0,570.6,536.0,509.0,465.0,42.4,40.5,38.4,37.0,36.5,36.3,36.2,145.7,149.8,152.8,159.2,166.2,173.2,177.2,978.4,813.7,731.1,697.7,683.1,675.1,668.4,647.6,557.3,521.1,505.8,499.4,496.1,491.4,618.0,541.6,511.0,496.4,489.0,485.4,479.3,601.7,532.7,503.7,487.3,476.1,468.7,459.3,615.6,537.2,503.8,484.6,469.9,457.6,439.9,649.8,542.2,499.7,476.6,458.8,444.3,425.3,669.1,554.7,504.8,478.0,456.1,436.8,406.0,741.8,599.4,528.1,493.0,468.3,445.4,402.4,874.0,685.5,580.2,521.8,491.0,468.1,425.5,1009.2,791.6,668.0,589.6,539.7,506.8,462.6,0.8542,1.0868,1.2023,0.6680,0.8989,1.0230,0.0,0.0000,2026,0.9965,602.1,03880004RL9,9.289,6143,25.7,32.2,46.6,92.0,0.0,702.4,552.1,499.0,898.2,667.5,586.5,594.0,568.1,1.0101,1.0561,547.9,467.7,450.2,36.7,172.7,671.8,491.3,477.3,452.8,428.9,415.4,388.5,362.2,384.0,424.1,1423.4,1074.1,1429.2,45.4,139.8,1364.9,872.6,813.7,778.0,802.7,908.3,938.0,1069.0,1283.4,1481.9
ECU,,ECU118,ECU-118,ALINA,S 40 OD,M BOATS,SOTO ACEBAL,2008,,,,,ORC,INTL,R,800,10 06 2026 14:26:35,12.347,12.157,2.608,3.80,4285.,128.3,0.00,506.0,1.0582,567.0,1.3229,453.5,805.3,658.3,591.3,552.3,523.4,495.9,454.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.5,518.0,472.3,443.5,421.8,402.3,374.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.9,619.7,532.1,476.0,439.4,406.1,353.7,43.0,40.5,39.3,38.8,39.0,38.8,39.2,140.9,143.9,148.3,151.5,148.0,145.6,145.5,819.1,691.4,648.0,626.2,614.1,605.6,603.2,537.5,467.8,446.6,435.4,428.2,422.6,417.6,508.7,449.4,430.0,418.2,409.5,402.7,395.3,488.6,435.3,408.3,392.8,381.4,372.5,361.2,494.5,436.9,401.3,375.3,359.4,346.9,329.2,505.6,432.7,399.0,374.9,355.0,332.4,295.7,516.4,433.8,388.5,359.7,337.5,318.1,286.6,571.9,458.7,408.4,364.5,325.0,293.7,257.2,685.4,541.4,463.0,414.7,374.7,334.4,264.7,791.5,625.2,534.7,478.3,432.6,386.1,305.7,1.0559,1.3219,1.5128,0.8199,1.0584,1.2315,0.0,0.0000,2026,1.2134,494.5,03880004SOS,11.764,5436,30.3,64.3,42.1,0.0,166.4,568.2,453.9,396.6,731.8,566.9,487.2,498.3,447.6,1.2040,1.3405,431.0,359.0,335.8,41.1,149.5,621.9,422.2,397.6,358.4,318.1,274.4,263.0,228.4,208.0,240.1,1156.0,871.8,1155.6,45.6,139.2,1160.0,739.9,683.8,643.8,658.6,708.4,736.0,825.8,997.7,1152.1
ECU,,ECU494,ECU-1494,CURADDAU,X-41,X YACHTS,JEPPESEN,2006,GUAYAQUIL,,,,ORC,INTL,C,747,09 04 2026 14:32:04,12.350,11.156,2.504,3.65,6988.,125.3,0.00,566.0,0.9638,622.5,1.1836,506.9,905.8,733.5,646.3,599.2,569.1,549.2,522.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.5,577.9,521.7,492.1,472.8,458.6,436.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.4,691.4,585.2,525.0,490.5,462.5,418.3,42.6,40.5,38.8,37.9,37.5,37.4,37.8,141.7,145.6,149.6,157.3,164.8,170.0,170.0,909.9,752.6,685.7,660.2,646.6,638.6,631.9,601.0,513.0,479.4,467.5,460.9,456.7,452.2,572.3,496.6,466.7,454.9,448.6,444.1,438.9,553.8,486.5,457.3,441.4,432.1,425.7,416.9,564.1,489.7,456.9,437.5,422.1,410.6,396.0,569.8,480.1,443.1,419.6,403.7,392.2,373.4,585.3,488.0,447.8,421.0,398.1,377.9,350.9,653.2,530.0,471.0,439.8,414.0,389.3,338.5,780.9,618.6,525.6,473.7,443.2,418.6,371.2,901.7,714.3,606.9,538.1,491.6,459.8,413.3,0.9409,1.1898,1.3215,0.7320,0.9700,1.1025,0.0,0.0000,2026,1.0890,551.0,03880004KOR,10.694,8048,32.6,53.8,46.1,126.7,126.2,637.7,504.3,454.0,819.7,618.6,544.2,547.5,514.2,1.0959,1.1669,506.8,422.5,403.4,39.3,160.6,645.7,453.7,439.9,413.1,387.6,365.4,329.9,286.1,320.6,367.8,1299.1,979.2,1300.4,45.6,138.6,1286.2,820.9,763.3,725.6,746.6,792.4,822.7,936.2,1136.2,1312.0
ECU,,ECU21554,ECU-21554,SEVEN ELEVEN,LEGEND 45,HUNTER,HUNTER,1985,,,,,ORC,INTL,C,800,12 03 2026 12:23:10,14.230,12.341,1.541,3.98,10121.,129.3,0.14,590.6,0.9153,655.5,1.1441,524.4,994.0,791.8,683.0,625.8,591.0,568.7,544.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.4,612.2,540.4,504.5,483.1,469.2,450.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.2,741.8,612.4,540.7,502.2,473.0,426.5,46.4,44.5,42.9,42.3,41.6,41.4,41.5,140.2,145.3,147.3,153.2,161.4,171.8,178.1,1031.9,835.9,739.7,699.7,680.8,672.0,669.4,655.7,543.9,492.4,471.5,463.1,460.1,456.0,609.5,516.2,474.0,455.7,448.0,444.0,440.1,580.3,498.0,461.1,442.9,432.2,425.9,419.2,590.0,501.3,460.0,438.9,424.9,414.5,399.7,601.8,493.3,446.8,424.0,407.8,394.9,376.4,615.6,501.8,450.9,425.2,405.6,388.2,356.5,695.3,550.2,476.6,440.9,418.0,397.7,356.8,828.0,647.5,542.5,479.9,445.5,423.3,385.5,956.1,747.6,626.4,551.9,501.1,465.4,419.3,0.8780,1.1536,1.2886,0.6720,0.9231,1.0617,0.0,0.0000,2026,1.0452,574.1,03880004HI6,10.725,11358,39.3,48.0,66.4,139.5,148.6,683.4,520.1,465.6,892.9,650.0,565.1,571.5,529.6,1.0499,1.1329,532.8,437.6,413.0,42.6,177.2,681.2,458.8,440.1,414.9,391.5,362.1,334.8,309.6,344.7,384.3,1454.5,1085.7,1450.5,49.0,140.6,1495.2,931.6,844.1,781.8,805.0,864.1,889.8,1018.4,1224.5,1413.9
