NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
FRA,26349a,BEL141_26349a,BEL-141,TAZZ,FIRST CLASS 8,BENETEAU SA,FINOT Jean-Marie,1982,BELGIQUE,,,,ORC,CLUB,S,374,11 06 2026 14:21:00,7.785,6.950,1.820,2.50,1380.,0.0,0.02,686.8,0.7994,750.5,0.9753,615.2,1092.7,885.4,776.3,719.4,688.2,668.2,637.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.9,703.8,634.5,597.7,573.8,554.8,523.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.9,836.0,707.0,636.2,595.3,558.6,495.9,42.1,39.7,37.9,37.4,37.5,37.7,38.6,146.0,151.4,156.4,164.8,174.1,177.2,163.3,1090.5,912.4,826.9,799.2,789.9,786.0,789.5,728.3,631.2,589.7,573.0,566.2,562.0,558.2,698.1,613.3,576.9,557.6,548.8,543.2,536.8,681.2,601.8,566.0,540.6,523.8,514.8,502.6,683.8,592.7,553.9,534.4,511.8,491.7,466.6,686.1,589.2,544.9,510.4,482.6,462.2,428.1,710.9,603.3,553.7,515.2,479.5,443.1,393.4,793.7,652.8,582.1,541.2,503.5,464.1,381.2,948.2,744.3,634.0,574.6,537.2,502.1,425.5,1094.9,858.5,725.7,639.5,586.4,550.3,484.7,0.7754,0.9791,1.0952,0.6066,0.8060,0.9070,0.0,0.0000,2026,0.8999,666.8,04330004SV5,6.966,1887,13.5,22.4,14.7,41.4,0.0,773.8,612.8,547.8,989.1,744.4,661.5,666.9,622.7,0.8997,0.9636,590.8,491.3,464.8,40.1,143.0,804.0,558.2,535.3,497.7,451.4,403.5,359.3,292.0,327.0,377.6,1556.1,1176.6,1559.2,44.9,137.4,1525.7,985.1,926.2,890.1,915.1,941.0,981.6,1132.1,1374.0,1586.6
FRA,26085a,BEL294_26085a,BEL-294,MANUTEA,MOODY 45 DS,HANSE YACHTS,DIXON Bill,2010,83120 - SAINTE MAXIME,,,,ORC,CLUB,C,978,16 03 2026 22:01:33,13.720,12.899,1.967,4.57,13597.,0.0,0.39,600.3,0.8812,680.9,1.1275,532.2,1040.7,825.7,712.0,652.6,611.7,583.7,547.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.1,626.5,551.5,512.8,487.4,469.6,447.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.2,769.9,632.0,553.5,507.8,474.0,423.9,48.5,46.7,45.1,44.2,41.9,41.7,41.8,144.2,147.0,147.6,147.5,148.1,174.1,177.7,1065.3,865.0,762.6,719.9,683.7,662.6,653.3,664.3,547.7,491.3,469.9,460.4,448.4,440.7,603.7,508.4,463.7,446.0,438.3,433.4,424.5,554.9,478.2,442.7,425.0,416.0,410.7,404.6,548.3,471.9,436.3,416.7,403.0,392.9,382.1,585.1,493.2,448.2,424.7,408.3,392.9,366.8,630.3,526.1,468.7,433.8,412.8,395.5,364.0,743.0,589.2,504.9,455.7,427.7,408.2,374.7,879.9,681.0,572.8,506.9,467.5,441.9,409.4,1016.1,786.3,661.4,585.3,539.8,504.8,441.1,0.8586,1.1346,1.2879,0.6430,0.8868,1.0398,0.0,0.0000,2026,1.0209,587.7,04330004HTO,10.751,14945,46.8,54.9,40.6,0.0,0.0,698.8,528.8,465.9,933.1,676.6,577.0,577.6,546.1,1.0388,1.0987,537.1,437.3,410.3,43.0,178.6,665.7,441.9,423.3,398.8,376.0,347.9,334.3,342.7,382.8,408.6,1530.4,1105.1,1529.7,51.3,141.0,1537.6,946.7,834.1,738.7,725.1,796.4,877.7,1097.0,1319.2,1523.2
FRA,26322a,BEL4711_26322a,BEL-4711,CAMINATA,HUSTLER 36 Mod,VERLVALE,JONES Stephen,1977,9200 - SINT-GILLIS-BIJ-DENDERMONDE (BEL),,,,ORC,CLUB,C,491,29 06 2026 16:40:10,10.967,8.430,1.941,3.75,4588.,0.0,0.16,663.5,0.8219,730.1,1.0156,590.8,1083.3,877.5,764.8,699.9,659.1,632.5,602.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.2,687.8,612.7,570.8,544.1,525.8,502.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.4,825.6,689.8,609.9,565.2,531.2,479.3,43.4,41.7,40.1,39.1,39.1,39.0,39.2,144.2,148.3,149.4,159.9,172.7,178.1,178.6,1092.8,907.5,812.1,765.5,745.7,734.5,728.6,718.1,610.4,561.3,536.7,524.1,517.9,511.7,682.3,587.6,545.2,522.9,509.9,502.3,494.1,661.0,573.1,532.9,510.0,493.9,481.4,465.9,674.7,569.6,520.7,493.3,472.7,458.9,444.9,677.7,564.8,515.4,484.6,457.6,439.6,411.3,702.5,580.9,524.9,492.1,462.8,441.3,407.2,786.6,636.2,556.9,515.0,485.3,457.0,417.4,930.1,733.9,621.4,556.7,519.2,491.7,444.2,1073.9,847.4,717.5,634.3,572.4,530.4,476.9,0.7884,1.0207,1.1502,0.6120,0.8263,0.9554,0.0,0.0000,2026,0.9315,644.1,04330004UCH,8.020,5274,23.7,36.0,31.6,51.0,60.4,761.0,587.8,521.6,980.4,726.1,628.0,638.4,602.6,0.9399,0.9957,586.0,487.3,461.2,40.2,179.0,736.0,510.5,490.2,457.1,433.3,394.0,375.5,379.1,408.7,436.1,1554.9,1169.8,1556.9,46.4,139.3,1534.2,975.6,908.7,868.0,893.4,936.8,976.5,1128.1,1364.5,1575.6
FRA,26337a,BEL5399_26337a,BEL-5399,SPIP,HALF TON Proto 2G,MG Yacht,HUMPHREY Rod,1983,BELGIQUE,,,,ORC,CLUB,R,412,17 06 2026 12:58:23,9.060,7.418,1.751,3.22,2605.,0.0,0.00,671.1,0.8166,734.8,0.9930,604.2,1047.7,853.1,758.3,707.9,678.1,658.4,631.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,679.2,619.6,588.2,567.9,552.5,530.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.8,805.7,690.3,626.2,588.7,557.1,506.9,42.6,40.1,38.6,38.4,38.3,38.4,39.0,145.9,150.5,154.7,162.3,169.6,176.3,171.3,1056.3,887.0,822.2,800.4,789.6,783.5,785.0,700.6,610.9,578.8,566.6,560.0,555.6,552.4,669.3,592.9,563.8,551.4,544.6,539.5,534.5,651.3,580.0,550.3,534.1,523.8,515.8,504.9,664.3,582.0,546.6,525.2,508.7,495.3,475.7,663.4,569.8,532.9,508.6,489.3,475.7,455.6,684.8,580.5,535.7,505.3,478.8,458.3,433.3,761.1,622.7,557.4,521.5,488.9,460.3,410.7,899.9,709.7,605.6,551.2,518.5,488.1,435.6,1039.1,819.2,694.4,615.5,566.5,533.2,477.7,0.8053,0.9980,1.0947,0.6313,0.8226,0.9186,0.0,0.0000,2026,0.9177,653.8,04330004TCR,7.190,3173,16.7,27.3,22.8,62.4,0.0,745.1,601.2,548.1,950.4,729.4,653.2,655.1,604.6,0.9159,0.9925,621.9,517.6,491.9,41.4,147.8,816.2,557.4,536.2,501.2,465.4,444.5,413.4,353.7,370.3,427.6,1490.0,1126.9,1491.7,45.6,139.0,1472.5,943.5,883.6,847.1,871.5,912.0,945.3,1082.6,1305.5,1507.5
FRA,26313a,BEL555_26313a,BEL-555,ANDANTE IV,CLUB SWAN 42,Nautor,,2006,BELGIUM,,,,ORC,INTL,C,893,03 08 2026 09:13:41,12.960,11.838,2.735,3.91,7508.,140.0,0.00,530.9,1.0267,584.4,1.2600,476.2,843.8,685.1,603.2,561.9,539.4,522.3,487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.8,541.2,490.2,463.3,445.8,431.4,404.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.5,645.6,547.5,492.8,462.5,436.4,388.5,42.6,40.3,38.2,36.8,36.5,36.2,36.0,141.9,145.3,149.6,153.4,155.0,153.2,145.3,866.8,714.4,645.2,617.5,602.8,593.9,584.6,573.1,489.2,456.9,443.8,437.0,432.4,426.6,545.8,474.5,446.3,432.7,425.3,420.0,413.1,528.0,465.7,438.6,421.6,409.6,401.8,391.2,514.3,452.5,427.4,412.7,402.5,389.7,370.9,525.7,452.1,420.2,400.3,381.4,364.7,338.6,538.6,455.4,420.6,394.5,372.8,357.3,318.9,596.1,484.4,438.7,409.3,382.2,354.7,299.1,710.9,567.9,486.0,441.8,415.3,391.3,338.0,820.9,655.7,561.2,506.4,476.0,450.7,390.3,1.0076,1.2648,1.4119,0.7849,1.0339,1.1684,0.0,0.0000,2026,1.1607,516.9,04330004W02,11.767,8768,34.8,61.7,47.3,0.0,184.6,595.5,474.4,425.0,764.4,580.3,513.5,514.6,480.5,1.1659,1.2486,451.3,382.2,364.0,36.9,144.3,589.7,425.2,410.6,385.5,358.5,322.9,289.3,262.3,271.1,313.0,1203.9,908.8,1201.8,45.3,139.1,1224.7,783.6,729.0,692.6,688.7,713.1,757.6,847.5,1024.5,1183.0
FRA,26193a,BEL8990_26193a,BEL-8990,X-BIE,XP 33 crois,X-Yachts,N. Jeppesen,2013,83150 - BANDOLE,,,,ORC,CLUB,R,591,16 04 2026 20:16:58,9.990,9.286,1.921,3.22,4353.,0.0,0.00,623.3,0.8827,679.7,1.0800,555.6,1015.0,816.1,708.0,648.7,616.0,595.3,569.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.3,643.1,573.4,536.6,514.3,498.4,475.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.9,768.6,641.8,571.6,533.7,503.0,453.8,43.5,41.4,39.7,38.5,38.5,38.5,38.8,145.1,149.6,152.4,159.1,166.8,172.7,173.2,1036.4,852.2,758.4,718.0,702.3,693.9,690.4,679.3,575.4,527.6,506.6,497.9,493.0,488.7,645.4,554.8,514.6,494.5,484.0,478.5,472.2,625.4,542.2,505.6,483.9,468.1,457.2,445.8,638.3,541.2,500.3,483.0,464.1,447.8,424.7,631.9,530.4,489.1,462.3,441.7,429.2,408.6,651.3,542.6,495.0,465.4,440.1,417.1,385.3,725.7,587.5,518.6,483.1,455.1,428.8,375.9,860.6,675.6,570.8,513.2,481.3,455.4,406.1,993.7,780.1,657.5,579.3,529.7,496.7,447.9,0.8418,1.0866,1.2153,0.6553,0.8899,1.0158,0.0,0.0000,2026,0.9939,603.7,04330004LQA,8.968,5164,23.7,35.1,29.5,88.6,0.0,712.8,552.2,493.7,915.6,674.2,590.7,601.5,563.2,0.9975,1.0653,553.3,458.3,436.8,40.4,163.1,705.0,490.3,472.8,440.7,412.0,394.4,361.6,312.6,351.1,401.7,1457.4,1100.3,1456.5,46.4,139.6,1466.9,933.0,868.1,827.6,852.0,878.5,909.2,1040.8,1254.0,1447.9
FRA,26112a,BER3200_26112a,BER-3200,SADIIQI,SUN FAST 3200,JEANNEAU SA,ANDRIEU Daniel,2007,06740 - CHATEAUNEUF GRASSE,,,,ORC,CLUB,C,567,06 03 2026 17:37:45,9.790,9.152,1.911,3.44,3574.,0.0,0.18,630.4,0.8626,695.6,1.0721,559.7,1047.2,837.1,723.5,661.4,630.9,610.4,583.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.4,654.9,580.4,539.0,514.8,497.4,470.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.5,785.8,652.6,575.5,534.9,501.7,445.8,44.2,42.3,40.4,38.8,38.7,38.6,39.2,143.3,147.3,149.3,152.1,156.5,159.4,146.2,1104.0,895.6,786.6,729.8,709.0,699.5,697.8,716.8,597.8,540.9,513.0,500.1,494.5,490.0,677.1,572.7,524.9,500.1,485.2,477.7,470.7,653.8,557.3,513.6,488.6,468.7,453.9,440.0,644.0,538.6,495.6,471.2,454.7,444.0,415.5,630.0,526.4,482.1,450.0,424.1,405.7,374.8,646.5,536.5,488.7,454.6,424.5,395.2,351.5,722.7,581.9,514.3,477.6,446.0,415.8,350.5,857.6,674.3,571.9,515.2,483.5,456.7,405.7,990.3,778.6,660.4,593.1,552.8,521.4,468.4,0.8229,1.0784,1.2203,0.6369,0.8707,0.9913,0.0,0.0000,2026,0.9842,609.6,04330004H25,8.763,4349,23.4,31.0,26.4,0.0,86.5,729.1,556.4,491.7,942.1,689.1,605.3,610.2,566.3,0.9832,1.0595,544.0,443.5,417.3,40.8,138.9,713.8,493.9,471.5,434.5,400.1,351.2,312.7,274.3,324.1,374.2,1523.0,1151.4,1516.0,46.5,139.5,1593.3,1010.3,936.6,890.1,909.9,888.4,915.9,1041.7,1258.1,1452.7
FRA,26003a,DEN45_26003a,DEN-45,PARADOXE 3,X 4.6,X YACHTS,Jeppesen,2019,1260 - NYON (SUISSE),,,,ORC,CLUB,C,959,23 02 2026 20:13:32,13.490,12.754,2.362,4.27,12035.,0.0,0.23,566.5,0.9563,627.4,1.1908,503.9,937.2,752.8,653.6,598.7,569.1,549.3,524.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.6,586.6,520.1,485.2,465.2,451.1,431.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.3,706.3,587.4,519.1,483.1,455.0,411.8,44.8,42.3,40.8,40.3,39.7,39.5,39.3,142.2,146.0,149.2,151.2,154.4,159.4,163.3,985.7,802.0,710.5,665.6,645.1,633.8,623.8,636.0,532.7,480.8,456.7,446.1,440.5,434.6,598.1,507.9,463.4,442.3,431.9,426.9,420.9,572.3,490.3,451.0,430.7,418.3,410.0,400.8,579.7,484.4,443.6,427.6,413.9,401.7,384.1,566.0,470.6,429.8,407.8,391.4,381.5,365.5,580.0,478.7,433.8,409.5,389.9,372.7,349.4,645.2,522.7,458.2,425.5,403.2,383.2,345.8,769.5,609.4,516.7,461.1,430.7,410.5,376.2,888.6,703.7,596.7,531.7,493.1,464.8,424.6,0.9201,1.1993,1.3412,0.7101,0.9640,1.1013,0.0,0.0000,2026,1.0911,549.9,04330004CBK,11.410,13411,42.8,65.2,50.4,0.0,162.4,652.1,500.3,447.4,845.0,622.4,544.8,548.9,509.4,1.0931,1.1778,509.9,418.7,399.1,40.0,160.1,627.5,433.8,419.3,396.0,374.0,353.6,332.8,306.0,342.9,392.3,1357.5,1019.4,1351.4,47.8,138.5,1417.7,890.0,816.3,765.2,785.8,789.2,816.0,925.2,1123.4,1297.1
FRA,26051a,ESP10065_26051a,ESP-10065,DIALIX,DUFOUR 36 P,DUFOUR,FELCI,2011,83460 - LES ARCS SUR ARGENS,,,,ORC,CLUB,C,699,03 03 2026 09:00:15,10.970,10.279,2.207,3.62,6422.,0.0,0.24,617.7,0.8826,679.8,1.0930,548.9,1026.0,823.5,709.3,645.2,614.1,594.1,569.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.6,641.1,567.3,527.6,506.1,491.3,470.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.8,771.6,638.8,563.0,525.1,495.8,450.4,44.2,41.9,40.4,39.3,38.6,38.3,38.4,143.0,147.3,148.0,152.3,156.6,160.8,161.3,1098.1,892.3,783.2,722.9,697.5,685.9,679.0,713.2,595.3,534.5,503.6,490.0,484.2,479.0,673.4,568.6,516.8,490.2,476.8,470.4,464.4,649.1,550.6,504.0,479.7,463.8,453.0,442.1,618.1,520.7,483.2,468.8,458.3,446.1,424.6,600.3,505.0,466.5,443.6,428.5,417.7,399.6,613.9,511.8,470.0,444.0,422.0,403.6,379.9,695.8,555.6,491.3,460.1,435.2,411.8,366.2,826.1,653.6,550.3,493.2,465.6,444.4,404.7,953.9,754.8,635.4,567.5,530.7,502.4,460.5,0.8417,1.1011,1.2315,0.6488,0.8907,1.0170,0.0,0.0000,2026,1.0028,598.3,04330004FEN,9.407,7384,29.4,40.9,28.2,0.0,123.4,712.8,544.9,487.2,924.8,673.6,590.0,600.4,550.9,0.9993,1.0892,551.0,454.1,434.8,39.2,141.8,686.3,478.9,463.3,437.4,413.1,384.9,360.6,312.6,360.0,415.7,1490.3,1122.5,1480.4,46.8,138.9,1589.1,1005.9,931.3,882.5,863.6,847.0,874.3,995.6,1205.1,1391.5
FRA,26039a,ESP2655_26039a,ESP-2655,CORTEGADA,HALF TON Proto 2G,Astafersa,Daniel ANDRIEU,1986,56260 - LARMOR PLAGE,,,,ORC,CLUB,R,389,27 02 2026 00:35:50,8.995,7.319,1.743,3.10,2398.,0.0,0.00,668.0,0.8214,730.4,0.9978,601.3,1038.0,848.7,753.0,704.5,675.1,654.7,624.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.1,678.2,618.2,586.1,564.0,547.4,523.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.2,801.9,687.1,623.7,585.0,551.9,499.9,42.3,39.9,38.1,37.8,37.7,37.8,38.3,146.2,150.7,156.1,163.9,170.2,173.6,175.8,1056.0,888.4,817.2,793.6,783.1,776.7,776.7,703.4,614.2,579.8,565.4,558.6,553.9,550.0,672.6,596.8,565.4,550.3,542.4,536.9,531.1,654.4,584.5,552.7,533.6,519.7,509.7,496.8,663.9,581.7,549.3,525.5,504.7,487.2,466.6,657.2,570.1,532.2,503.8,481.3,467.7,450.5,678.0,580.3,535.6,501.7,472.3,451.7,424.1,752.4,620.4,559.4,521.1,484.6,455.7,399.5,883.4,700.9,603.5,552.8,517.6,483.2,428.8,1020.0,809.0,688.8,615.4,567.2,532.8,472.0,0.8085,1.0018,1.1058,0.6360,0.8272,0.9253,0.0,0.0000,2026,0.9227,650.3,04330004F6F,7.200,2933,15.8,28.0,20.3,60.4,0.0,742.1,598.9,542.6,943.4,725.3,648.4,653.0,602.3,0.9188,0.9962,607.4,506.7,482.8,40.8,147.9,807.4,555.1,533.9,492.2,457.1,434.2,404.4,334.6,352.8,407.4,1467.9,1112.6,1468.6,45.3,139.8,1460.8,939.3,881.7,846.2,868.0,894.2,927.1,1059.9,1277.3,1475.0
