NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
GER,22942,12MR2,12MR   2,ANITA,12 MR,A+R,RASMUSSEN,1938,SCR,,,,ORC,CLUB,C,700,17 03 2026 19:23:16,21.433,14.402,2.737,3.60,26083.,0.0,0.44,554.8,0.9758,614.9,1.2149,493.9,912.7,741.5,646.9,590.1,554.2,529.6,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,577.1,512.6,476.2,454.4,439.9,420.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.1,696.9,580.4,510.2,471.8,443.3,402.2,43.6,41.1,40.7,40.2,40.0,39.7,39.3,138.1,147.3,147.6,154.7,160.4,165.9,178.1,909.4,759.1,691.6,656.6,635.3,621.0,601.7,595.8,509.9,467.9,445.1,433.7,426.4,417.0,565.4,487.5,448.2,429.1,418.2,411.4,403.2,544.4,471.7,434.5,415.5,403.6,395.9,387.1,552.0,475.0,433.5,411.4,397.8,388.1,374.1,570.0,475.1,427.6,403.8,392.4,384.6,372.6,585.7,485.0,432.4,404.8,388.2,375.7,360.8,659.0,529.4,459.3,419.4,396.9,381.3,353.6,793.4,626.9,521.5,456.7,419.9,397.7,368.1,916.1,723.9,602.2,523.6,473.2,438.1,394.4,0.9411,1.2213,1.3755,0.7254,0.9793,1.1452,0.0,0.0000,2026,1.1108,540.2,03520004I16,12.374,27473,64.8,120.7,78.9,213.9,0.0,637.6,491.3,436.2,827.1,612.7,523.9,535.0,502.4,1.1215,1.1943,479.5,406.1,389.4,40.4,178.1,591.9,411.7,398.5,381.2,363.7,357.9,348.8,329.3,339.9,367.0,1316.1,983.7,1318.6,46.4,138.8,1291.1,817.5,754.1,710.0,726.2,793.5,826.5,957.9,1161.4,1341.1
GER,163721,5.586,5.5 86,RANDALE 5.5,5.5 M,C.WILKE/ SCHWEIZ,SEB SCHMIDT,2000,YCD,,,,ORC,CLUB,S,280,17 03 2026 19:23:21,9.026,7.387,1.362,1.90,1939.,0.0,0.00,675.4,0.8156,735.7,0.9845,609.4,1044.0,855.1,762.3,710.0,678.6,657.6,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.9,682.8,626.3,595.3,574.5,557.4,526.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.9,807.5,695.8,632.0,594.5,562.7,507.0,41.6,39.2,38.0,37.4,37.1,37.1,37.4,144.3,149.6,156.1,164.0,172.0,176.6,159.5,1064.8,901.6,836.0,807.5,791.3,780.9,773.9,713.3,624.8,591.3,576.2,567.9,562.1,556.3,682.3,606.1,576.2,561.5,553.5,547.6,540.9,663.0,593.4,563.5,546.9,535.7,528.0,517.2,656.0,586.9,560.4,539.9,524.7,511.5,488.7,642.5,570.4,540.4,522.8,508.3,494.5,468.5,660.5,575.3,540.0,513.8,489.2,470.2,435.4,745.0,613.5,555.2,522.9,490.7,454.4,387.0,886.1,700.2,602.0,550.9,519.0,485.5,410.1,1023.2,808.5,688.6,612.4,565.9,534.3,468.2,0.8056,0.9873,1.0904,0.6319,0.8201,0.9243,0.0,0.0000,2026,0.9111,658.6,03520004I17,7.113,2345,12.5,23.8,10.3,51.1,0.0,744.8,607.7,550.3,949.5,731.6,649.1,661.8,605.5,0.9066,0.9909,586.9,504.1,481.5,39.6,150.7,796.4,557.5,539.5,511.5,472.6,436.7,408.0,347.1,327.1,377.4,1487.8,1124.8,1487.2,44.9,138.3,1494.4,963.1,902.4,868.4,879.3,876.5,915.0,1058.7,1282.8,1481.3
GER,142748,5547,55  47,CHOC,5.5 MR,BUCHHOLZ,KOLLEKTIV DER WERF TALLINN,1960,YCW,,,,ORC,CLUB,R,250,29 06 2026 10:42:23,9.420,6.982,1.494,1.90,2448.,0.0,0.31,743.0,0.7389,812.0,0.9054,662.7,1210.8,971.4,846.5,776.1,736.6,710.6,676.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.6,763.8,682.0,639.7,615.4,597.9,571.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.7,912.8,765.1,682.7,637.8,602.6,546.5,42.2,40.1,39.5,39.2,39.0,38.9,38.9,147.1,151.4,153.2,161.5,168.9,176.8,176.6,1262.1,1037.7,935.0,893.0,871.1,856.9,842.0,839.4,706.0,642.7,618.2,606.9,599.4,590.4,800.3,677.9,620.5,597.6,586.7,579.1,570.1,774.9,657.5,602.9,576.6,562.9,554.1,542.0,729.1,626.5,592.8,570.9,551.3,537.9,517.3,720.2,611.2,567.1,544.6,531.1,519.2,498.5,753.9,624.5,570.3,540.3,516.9,498.8,473.6,859.3,686.4,596.3,555.1,525.3,496.9,447.0,1004.2,784.7,658.4,587.8,551.7,523.2,468.6,1159.5,904.9,758.0,659.2,602.0,564.2,510.8,0.7078,0.9118,1.0129,0.5499,0.7445,0.8520,0.0,0.0000,2026,0.8331,720.2,03520004UBV,6.287,2817,16.9,21.0,10.6,46.9,0.0,847.7,658.0,592.4,1091.1,805.9,704.2,726.7,659.5,0.8256,0.9098,656.6,554.9,529.0,40.3,175.3,852.5,588.9,567.4,535.7,501.3,482.0,456.6,411.6,413.7,460.8,1765.8,1329.8,1761.0,44.8,142.2,1813.7,1169.9,1097.2,1056.4,995.7,1003.3,1053.5,1242.4,1487.8,1717.9
GER,142800,7077056,707 7056,RAGE CAGE,HUNTER 707,HUNTER,THOMAS,1995,WSIT,,,,ORC,CLUB,S,360,30 06 2026 08:10:15,7.070,6.874,1.492,2.47,1122.,0.0,0.19,680.2,0.7970,752.8,0.9878,607.4,1093.0,887.7,780.3,725.6,694.6,667.2,600.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,701.8,631.4,590.8,563.8,540.7,494.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,834.7,706.4,631.1,585.5,544.6,468.8,43.0,41.1,39.1,37.7,37.8,37.8,38.6,144.4,148.6,150.9,152.9,150.7,146.4,140.9,1173.7,966.8,860.3,814.9,800.6,793.2,792.0,773.0,654.1,603.0,578.9,568.6,561.9,554.7,735.1,630.3,587.0,561.1,547.1,538.3,527.8,712.8,615.3,572.5,540.4,516.5,502.5,484.9,667.6,583.4,551.7,530.0,504.6,478.0,445.8,654.4,567.7,516.8,482.2,459.2,438.8,404.6,671.4,575.6,520.0,474.0,436.7,410.9,368.9,744.4,614.9,551.6,501.5,453.7,408.2,312.0,876.7,700.3,606.9,552.6,510.1,468.8,354.1,1012.4,808.6,700.2,636.4,588.7,541.3,408.8,0.7768,0.9888,1.1336,0.6058,0.8004,0.9245,0.0,0.0000,2026,0.9086,660.4,03520004UEA,6.795,1601,12.6,21.3,10.0,0.0,53.4,772.4,606.8,529.3,990.4,749.6,649.0,670.8,604.2,0.8944,0.9931,557.0,467.4,436.7,40.9,146.2,812.9,555.7,526.5,478.3,429.1,376.5,327.0,266.6,260.8,301.1,1560.5,1183.0,1549.9,45.4,140.4,1666.3,1067.7,997.2,952.8,916.8,899.3,927.3,1046.2,1259.8,1454.7
GER,166879,A99151,A99  151,KÖNIG LUDWIG,ASSO 99,SANTARELLI,SANTARELLI,1982,BYC,,,,ORC,INTL,R,520,17 03 2026 19:23:27,9.960,8.854,1.728,2.93,1168.,93.8,0.00,554.8,0.9617,623.9,1.2175,492.8,919.6,739.1,650.4,602.5,572.0,545.5,484.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.8,579.9,518.0,479.4,452.1,429.2,381.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,697.6,585.4,514.8,470.4,429.7,355.9,43.5,39.9,36.7,35.8,35.7,35.9,36.6,139.4,139.5,149.5,156.6,158.6,152.3,138.2,876.4,722.9,665.6,646.6,636.9,629.6,622.1,572.8,502.3,472.0,457.0,447.2,438.3,426.0,545.0,486.0,453.5,435.8,424.0,413.2,397.7,529.8,473.7,434.2,405.6,389.4,375.1,353.9,538.2,480.6,431.3,391.9,363.2,345.3,308.9,584.2,493.5,435.1,389.9,360.2,338.9,271.8,606.5,505.5,449.8,395.2,352.4,316.2,270.3,691.8,548.7,487.7,439.4,390.4,345.0,249.5,833.9,654.1,550.2,488.4,443.5,400.0,301.0,962.9,755.3,635.3,558.4,507.1,461.4,347.6,0.9377,1.2150,1.4385,0.7234,0.9643,1.1334,0.0,0.0000,2026,1.1127,539.3,03520004I18,9.761,1830,15.6,29.7,23.3,52.3,0.0,639.9,493.8,417.1,829.4,622.2,529.4,533.8,510.8,1.1240,1.1747,446.3,353.0,324.5,38.2,143.1,626.5,421.5,390.2,340.5,285.9,237.9,230.0,211.5,230.5,266.1,1344.8,1001.8,1353.2,46.0,139.0,1260.2,800.8,738.5,694.8,713.7,838.7,879.4,1020.3,1237.9,1429.4
GER,168831,AUT512,AUT 512,CHILI,FIRST 34.7,BENETEAU,FARR,2005,YCRhd,,,,ORC,CLUB,C,460,08 04 2026 14:45:21,9.990,9.086,1.999,3.37,4619.,0.0,0.01,628.3,0.8633,695.0,1.0626,564.6,990.4,807.5,713.2,668.7,643.4,626.1,604.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.7,638.3,577.7,548.4,529.8,516.4,496.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.8,760.9,646.4,584.9,550.3,521.0,473.3,42.8,41.0,39.6,38.9,38.8,38.8,39.9,143.4,147.8,150.3,153.4,159.1,163.0,162.3,1016.7,847.5,770.0,742.7,731.7,727.0,728.5,670.8,575.7,535.7,520.4,514.3,510.9,508.1,638.9,556.7,521.8,506.6,500.0,496.1,491.7,618.3,544.5,511.8,493.6,482.3,475.8,467.1,628.3,540.0,504.2,489.1,474.0,461.3,444.9,619.5,528.1,490.8,466.3,447.1,435.0,414.8,634.9,536.2,495.5,468.1,443.9,422.3,392.1,705.2,576.7,517.3,485.7,459.0,433.5,383.0,835.0,664.6,568.5,518.4,490.5,467.8,423.7,964.2,767.4,656.3,594.7,555.1,525.2,480.9,0.8547,1.0695,1.1708,0.6674,0.8711,0.9640,0.0,0.0000,2026,0.9790,612.9,04150004KKU,8.586,5286,23.4,36.6,33.4,0.0,90.3,702.0,561.0,512.5,899.0,688.8,622.4,611.8,569.0,0.9807,1.0545,589.5,481.4,457.5,40.8,141.3,750.4,511.1,492.4,463.2,434.5,398.2,369.8,319.2,371.2,428.7,1410.7,1066.2,1409.1,46.3,139.7,1426.3,907.1,843.9,803.5,826.2,853.6,881.8,999.6,1208.1,1395.0
GER,168831,AUT512_O,AUT 512,CHILI,FIRST 34.7,BENETEAU,FARR,2005,YCRhd,,,,ORC,CLUB,C,405,08 04 2026 14:45:23,9.990,9.063,1.999,3.37,4619.,0.0,0.01,629.1,0.8611,696.8,1.0606,565.7,988.9,807.2,714.5,670.9,646.0,628.9,607.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.9,638.2,578.5,549.8,531.4,518.1,498.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.3,760.6,647.5,586.5,551.9,522.5,474.9,42.7,41.0,39.7,39.1,38.9,39.0,39.5,143.5,147.8,150.3,153.4,159.2,163.0,161.9,1015.2,848.0,773.3,747.5,737.3,732.9,735.3,670.6,575.9,536.8,522.4,516.3,512.9,510.4,639.0,556.9,522.5,507.8,501.6,497.7,493.6,618.3,544.6,512.0,494.2,483.2,477.1,468.5,627.9,540.6,505.2,490.3,474.2,461.9,446.0,619.4,528.3,491.0,466.6,448.3,436.5,416.5,634.1,536.1,495.5,468.1,444.0,422.5,393.8,704.1,576.0,516.9,485.3,458.5,432.9,382.0,833.7,663.7,568.0,518.1,490.1,467.2,422.7,962.6,766.4,655.7,594.3,554.7,524.9,480.3,0.8552,1.0674,1.1668,0.6681,0.8688,0.9596,0.0,0.0000,2026,0.9771,614.0,04150004KKV,8.522,5225,23.2,36.6,33.4,0.0,90.3,701.6,562.1,514.2,898.1,690.6,625.3,613.5,569.2,0.9780,1.0542,592.8,483.8,459.2,41.3,141.5,760.2,514.2,494.8,465.0,435.9,400.2,371.8,318.0,368.4,425.3,1407.5,1063.8,1406.0,46.4,139.6,1422.8,904.8,841.8,801.5,824.0,852.2,880.3,997.6,1205.8,1392.3
GER,140081,B25141,B25  141,HONK,PLATU 25 OD,BENETEAU,FARR,1997,"NRV, BSC, NYC",,,,ORC,INTL,S,470,17 06 2026 14:49:54,7.530,7.059,1.592,2.58,1233.,107.1,0.00,663.2,0.8306,722.3,1.0090,594.7,1048.0,848.3,744.8,694.3,665.7,644.1,606.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.6,678.1,614.3,579.6,555.2,535.2,500.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.5,801.8,681.3,615.8,574.8,538.7,477.4,42.4,40.3,37.1,36.0,35.7,35.6,36.0,145.1,150.3,156.3,165.1,170.5,169.1,156.8,1062.9,881.6,796.2,768.4,757.3,750.7,748.2,705.8,610.9,576.8,561.2,553.4,547.6,541.0,675.0,596.4,564.2,545.7,535.9,528.7,519.8,658.6,589.1,553.3,527.5,510.0,499.3,484.1,662.2,578.0,546.1,524.0,496.4,475.4,447.0,657.9,573.4,527.7,494.3,470.5,451.5,418.7,677.0,584.2,537.6,494.4,456.5,426.3,385.3,751.6,620.5,565.3,523.7,483.4,440.2,348.1,894.7,706.0,608.0,558.7,520.2,483.2,403.9,1033.1,814.9,693.5,620.3,574.0,537.4,464.6,0.8060,1.0113,1.1382,0.6328,0.8370,0.9444,0.0,0.0000,2026,0.9331,643.0,04150004TD4,7.306,1817,12.2,21.2,13.3,44.6,0.0,744.4,593.3,527.1,948.2,716.8,635.3,644.8,600.4,0.9305,0.9994,552.9,466.7,443.0,37.8,144.3,766.5,542.7,518.3,477.5,431.1,387.0,349.0,280.6,293.8,339.2,1488.8,1128.7,1488.8,45.2,138.8,1489.3,957.3,897.4,860.6,885.6,903.0,935.9,1068.7,1289.0,1488.4
GER,167452,B25140,B25 140,HEDDA,PLATU 25 OD,BENETEAU,FARR,1997,BSC,,,,ORC,CLUB,S,470,15 06 2026 12:43:56,7.530,7.059,1.592,2.58,1233.,0.0,0.00,663.2,0.8306,722.3,1.0090,594.7,1048.0,848.3,744.8,694.3,665.7,644.1,606.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.6,678.1,614.3,579.6,555.2,535.2,500.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.5,801.8,681.3,615.8,574.8,538.7,477.4,42.4,40.3,37.1,36.0,35.7,35.6,36.0,145.1,150.3,156.3,165.1,170.5,169.1,156.8,1062.9,881.6,796.2,768.4,757.3,750.7,748.2,705.8,610.9,576.8,561.2,553.4,547.6,541.0,675.0,596.4,564.2,545.7,535.9,528.7,519.8,658.6,589.1,553.3,527.5,510.0,499.3,484.1,662.2,578.0,546.1,524.0,496.4,475.4,447.0,657.9,573.4,527.7,494.3,470.5,451.5,418.7,677.0,584.2,537.6,494.4,456.5,426.3,385.3,751.6,620.5,565.3,523.7,483.4,440.2,348.1,894.7,706.0,608.0,558.7,520.2,483.2,403.9,1033.1,814.9,693.5,620.3,574.0,537.4,464.6,0.8060,1.0113,1.1382,0.6328,0.8370,0.9444,0.0,0.0000,2026,0.9331,643.0,03520004T66,7.306,1817,12.2,21.2,13.3,44.6,0.0,744.4,593.3,527.1,948.2,716.8,635.3,644.8,600.4,0.9305,0.9994,552.9,466.7,443.0,37.8,144.3,766.5,542.7,518.3,477.5,431.1,387.0,349.0,280.6,293.8,339.2,1488.8,1128.7,1488.8,45.2,138.8,1489.3,957.3,897.4,860.6,885.6,903.0,935.9,1068.7,1289.0,1488.4
GER,149010,BOD10,BOD 10,ICE,SAY 10,S. AKERMANN,S. AKERMANN,2007,SMCO,,,,ORC,CLUB,R,395,08 06 2026 11:18:53,10.093,10.154,3.002,3.18,1593.,0.0,0.00,506.2,1.0418,576.0,1.3252,452.8,818.2,681.6,612.6,561.7,520.9,490.9,451.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,528.0,478.4,442.1,414.7,394.1,366.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.0,639.2,546.4,478.4,432.1,394.9,339.7,42.2,40.4,39.5,39.3,39.3,39.1,39.3,140.8,143.6,142.1,140.7,142.0,145.1,150.1,810.5,719.1,679.9,660.2,648.5,639.5,631.3,533.6,487.9,466.2,451.7,441.2,432.4,422.2,502.9,466.2,442.3,425.7,413.7,403.6,391.2,473.4,439.5,410.9,390.6,375.2,362.7,346.5,459.0,416.9,390.0,364.4,344.2,328.6,308.3,489.0,412.5,370.6,343.7,322.0,303.1,275.7,529.6,438.1,377.6,335.6,310.5,291.5,265.7,594.5,472.7,397.2,341.2,307.7,284.0,247.7,715.2,557.8,472.3,401.2,340.6,296.4,235.2,825.9,644.1,545.3,463.3,393.3,342.3,271.5,1.0462,1.3201,1.5421,0.8001,1.0372,1.2407,0.0,0.0000,2026,1.2055,497.7,04150004SHV,10.193,2170,18.8,40.3,26.9,0.0,107.0,573.5,454.5,389.1,749.9,578.5,483.6,510.3,443.2,1.1758,1.3538,435.0,354.7,325.2,40.4,153.6,643.3,426.1,391.8,341.6,296.4,257.5,243.4,221.9,201.8,226.7,1160.5,853.3,1165.8,46.7,139.1,1107.6,699.4,639.0,585.7,582.5,652.6,739.8,868.7,1050.9,1213.4
