NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
HUN,036/26,HUN 40-1 (1),HUN 1,Gloria,40 sqm Skerry Cruiser,Balatonfüred SY,A. Harms,1925,HUNGARY,,,,ORC,CLUB,R,350,10 08 2026 18:00:01,13.180,10.209,1.678,2.10,4445.,0.0,0.27,624.6,0.8657,693.1,1.0761,557.6,1027.7,822.7,722.2,664.8,631.1,606.9,572.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.4,637.6,573.0,539.5,519.7,504.2,478.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.2,771.2,648.1,577.5,539.3,508.1,457.6,43.7,42.0,41.4,41.1,40.9,40.8,40.5,142.1,145.8,147.6,155.1,164.7,170.3,170.3,1052.6,870.4,801.8,770.0,752.9,737.9,718.7,684.7,576.5,536.3,519.8,510.9,503.4,493.5,643.8,547.1,512.6,498.8,491.2,484.8,476.1,612.8,524.9,491.8,477.2,469.1,462.9,453.1,619.8,525.5,485.8,466.5,454.4,445.5,432.4,608.9,510.7,474.5,458.9,446.6,436.0,415.8,627.5,516.8,473.7,450.1,433.6,420.9,398.1,722.6,564.8,492.6,459.3,433.9,410.3,361.2,868.5,671.1,556.6,490.3,458.5,433.1,380.2,1002.8,774.9,642.7,559.7,509.3,475.8,427.0,0.8457,1.0832,1.2036,0.6485,0.8713,0.9998,0.0,0.0000,2026,0.9859,608.6,04890004W8L,8.866,4999,23.8,40.8,16.8,74.6,0.0,709.5,553.9,498.5,925.2,688.6,600.1,611.6,552.7,0.9811,1.0855,541.5,457.7,436.2,41.5,150.9,721.6,490.1,471.7,446.8,422.0,395.6,376.8,324.3,313.3,361.5,1504.5,1125.0,1503.5,46.6,136.9,1515.0,959.5,885.7,833.7,858.0,867.0,909.5,1063.4,1293.8,1494.0
HUN,031/26,HUN 1733,HUN 1733,Red-Chili,Fareast 23R,Fareast Boats,Maarten Voogd,2015,,,,,ORC,CLUB,S,320,24 07 2026 14:11:23,7.055,6.872,1.329,2.54,800.,0.0,0.00,622.2,0.8544,702.3,1.0742,558.5,974.4,804.2,731.8,686.7,652.9,621.7,560.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.6,639.3,583.1,546.5,520.0,496.6,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.6,759.1,658.0,586.9,541.1,499.6,423.4,43.2,40.8,39.2,38.8,38.8,39.2,40.8,143.3,148.1,150.5,149.9,146.4,141.9,143.5,982.2,838.7,794.8,778.9,773.3,776.2,786.5,646.1,576.2,553.1,542.5,537.7,534.7,529.6,617.2,558.3,529.4,517.0,510.1,504.2,496.4,601.5,544.7,501.3,481.7,470.8,459.3,441.4,608.7,547.3,497.1,456.1,435.7,421.8,392.0,622.7,536.3,478.4,444.5,417.2,393.7,347.1,635.2,542.2,477.0,424.2,390.7,364.1,319.8,706.8,583.6,513.1,452.4,393.9,339.0,274.0,837.0,666.6,579.5,514.9,461.1,404.7,289.3,966.5,769.7,668.9,594.5,532.4,467.3,334.1,0.8621,1.0718,1.2324,0.6747,0.8534,0.9893,0.0,0.0000,2026,0.9867,608.1,04890004VMA,7.112,1214,11.6,17.8,12.7,0.0,60.5,696.0,559.8,486.9,889.3,703.1,606.5,618.4,552.5,0.9703,1.0860,534.0,435.3,398.3,42.6,148.3,807.6,533.4,496.1,433.2,373.2,316.6,281.1,239.3,225.5,260.3,1377.1,1037.6,1378.9,46.4,140.0,1358.9,863.2,798.4,754.5,771.0,866.2,891.4,1001.7,1208.3,1395.3
HUN,017/26,HUN 40-2,HUN 2,NEMERE,40 sqm Skerry Cruiser,Balatonfüred SY,Benacsek,1925,,,,,ORC,CLUB,R,350,12 05 2026 08:14:23,13.180,10.014,1.633,2.10,4088.,0.0,0.05,601.1,0.8974,668.6,1.1145,538.4,973.1,792.6,698.3,642.5,608.8,587.9,555.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.8,614.7,555.7,522.4,502.0,487.1,459.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.2,744.6,627.9,558.8,520.7,490.3,438.3,43.8,41.9,41.0,40.4,40.1,39.9,39.7,137.7,146.0,148.0,155.4,165.3,171.2,169.4,951.6,803.1,746.7,719.5,704.3,697.2,683.4,620.4,537.0,507.9,495.1,489.7,483.8,476.0,586.3,515.6,490.2,479.2,472.6,467.9,459.7,562.5,500.4,475.0,461.6,453.4,446.7,434.9,568.3,500.6,470.4,451.8,438.0,427.9,410.2,604.4,507.6,467.9,444.5,429.4,416.7,391.7,625.3,517.6,472.9,445.0,420.9,399.5,369.2,712.7,565.7,497.0,462.1,434.7,407.6,344.7,861.3,677.3,562.8,495.7,462.4,435.7,380.1,994.5,782.0,649.9,565.5,513.3,478.6,427.4,0.8866,1.1192,1.2485,0.6796,0.9020,1.0328,0.0,0.0000,2026,1.0201,588.2,04890004PIF,9.315,4649,22.9,42.0,28.0,63.7,0.0,676.7,536.1,480.6,882.9,665.2,580.9,582.8,544.4,1.0295,1.1022,520.4,433.3,412.5,40.2,149.3,681.3,472.2,454.8,426.8,394.9,362.2,338.5,291.9,311.2,359.4,1405.3,1045.7,1410.9,46.6,138.5,1349.3,853.2,786.5,738.5,751.2,850.8,893.3,1042.5,1265.6,1461.3
HUN,011/26,HUN75-2,HUN 2,Sirocco,75 sqm Skerry Cruiser,Balatonfüred SY,Jenő Benacsek,1943,HUNGARY,,,,ORC,CLUB,C,900,06 05 2026 16:15:39,18.550,13.145,1.837,2.91,9151.,0.0,0.02,535.5,1.0035,597.9,1.2388,484.3,827.5,696.7,623.1,578.8,552.5,532.4,497.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.6,543.8,499.4,473.0,456.4,443.1,419.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.4,653.4,562.0,506.1,473.7,445.9,397.7,44.5,42.6,41.5,41.0,40.7,40.5,40.4,143.0,146.2,148.3,154.4,161.3,164.4,151.4,848.8,753.5,706.1,678.6,663.3,650.4,635.4,547.8,496.6,473.4,459.4,451.7,445.2,437.1,511.4,470.3,452.6,440.9,434.4,428.8,421.5,482.7,446.6,432.2,422.0,415.0,409.5,401.1,483.1,438.9,421.0,411.1,401.8,394.3,382.6,522.3,456.0,424.6,405.4,391.7,381.3,366.9,540.6,457.5,427.4,403.2,385.7,370.6,340.5,588.9,473.4,425.1,399.0,379.6,365.3,328.9,698.2,554.2,467.7,419.7,392.9,369.1,311.7,806.2,639.9,540.1,478.9,441.7,414.4,359.2,1.0209,1.2408,1.3710,0.7873,1.0054,1.1445,0.0,0.0000,2026,1.1366,527.9,04890004OPP,11.415,10563,38.8,72.3,51.7,229.6,0.0,587.7,483.6,437.6,762.1,596.8,524.2,532.5,475.4,1.1267,1.2620,465.2,398.2,377.5,41.4,153.5,642.4,435.6,418.5,396.0,373.6,349.7,318.6,273.4,254.2,288.0,1162.3,864.2,1163.7,48.2,139.8,1147.7,718.9,654.8,605.0,606.2,689.5,757.0,845.1,1019.2,1176.9
HUN,020/26,HUN6-2,HUN 2,Talizmán,6mR,Balatonfüred SY,Olin Stephens,1941,HUNGARY,,,,ORC,CLUB,R,420,15 05 2026 10:39:30,10.980,8.317,1.764,1.92,4765.,0.0,0.18,677.0,0.8161,735.2,0.9909,605.5,1084.8,876.6,768.2,704.7,667.3,642.6,611.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.5,694.1,623.5,585.6,563.7,548.1,524.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.5,826.6,697.1,623.1,583.7,553.2,506.0,42.6,40.2,39.3,38.5,37.8,37.3,36.7,145.8,150.5,152.1,159.9,167.6,177.2,177.9,1098.1,913.9,830.8,791.9,769.2,754.4,736.7,729.1,623.8,578.8,559.2,548.6,541.8,533.4,696.6,602.7,563.5,544.7,534.8,528.3,519.8,676.4,589.3,551.1,531.6,519.9,511.7,500.6,687.8,592.2,548.7,525.4,510.7,499.5,480.9,679.2,575.9,533.4,511.6,499.0,488.8,471.1,699.4,584.7,535.3,509.3,489.8,472.9,451.1,779.4,632.9,555.6,520.0,496.1,473.9,432.5,927.9,727.3,612.3,548.5,517.1,494.0,448.5,1071.5,839.4,705.6,617.5,565.4,530.9,486.1,0.7830,0.9970,1.1046,0.6118,0.8210,0.9418,0.0,0.0000,2026,0.9139,656.5,04890004Q11,7.715,5361,21.9,37.4,25.8,73.8,0.0,766.3,601.8,543.2,980.7,730.8,637.1,655.3,609.4,0.9155,0.9846,586.5,506.2,488.8,36.6,177.5,728.4,528.1,514.1,491.5,465.7,452.4,435.6,403.7,409.2,444.5,1560.4,1177.3,1561.3,45.7,136.1,1552.1,989.1,924.2,885.9,915.8,939.9,975.7,1115.7,1358.6,1568.8
HUN,014/26,HUN21ylva,HUN 21,ROSA,YLVA,KJOELHEDE,KJOELHEDE,1976,Tecon SE,,,,ORC,CLUB,C,590,14 05 2026 13:21:34,12.180,9.757,1.631,2.29,3426.,0.0,0.30,625.3,0.8780,683.3,1.0788,556.2,1035.1,819.5,707.7,651.2,621.0,601.4,567.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.4,642.6,570.3,535.8,516.2,502.1,477.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.4,770.3,639.8,571.3,535.6,507.0,457.1,44.7,42.1,40.3,39.6,39.3,39.3,39.3,144.8,147.6,148.5,154.7,162.7,165.3,148.0,1081.3,872.3,777.3,744.5,730.0,723.3,717.0,698.4,581.9,531.3,514.2,506.9,503.1,498.3,658.3,556.9,513.5,497.0,490.4,486.5,481.3,636.6,540.1,500.1,480.4,470.5,465.0,456.4,656.3,546.9,500.1,475.9,459.6,448.3,434.7,628.1,524.4,488.6,471.2,457.5,445.6,425.8,640.4,525.5,481.1,458.0,441.9,427.7,400.3,727.4,567.0,493.7,458.4,430.1,403.3,352.4,856.4,664.0,552.6,489.2,456.9,428.7,362.4,988.9,766.7,638.1,557.9,511.9,479.6,418.5,0.8345,1.0883,1.2089,0.6470,0.8869,1.0106,0.0,0.0000,2026,0.9918,605.0,04890004PUW,8.901,4247,21.1,21.7,28.0,98.0,0.0,719.0,551.3,496.3,927.4,676.5,593.7,608.0,552.0,0.9868,1.0869,531.0,455.6,433.9,40.1,150.3,726.9,499.1,480.3,452.1,424.4,404.6,374.6,316.0,290.3,335.1,1523.3,1154.6,1518.1,46.7,142.1,1575.3,998.1,924.7,881.9,919.1,910.8,937.1,1065.8,1274.2,1471.3
HUN,007/26,22sqmhun257,HUN 257,GAZELL,22 sqm skerry cruiser,EG ERIKSSON,H. Becker,1925,,,,,ORC,CLUB,C,350,29 04 2026 17:10:58,12.614,8.760,1.323,2.12,2197.,0.0,0.39,680.5,0.7932,756.4,0.9972,601.7,1167.1,917.9,787.8,718.3,680.1,655.9,631.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.6,708.5,620.7,576.8,551.6,534.4,511.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.5,860.1,705.1,619.0,573.3,537.3,480.1,45.2,42.9,41.6,41.3,41.2,41.3,42.5,144.8,147.8,147.8,153.4,162.4,167.2,166.3,1183.2,955.2,851.8,817.1,802.0,794.8,806.6,759.9,629.5,570.4,549.1,540.0,535.3,534.3,712.0,598.1,546.1,525.6,517.3,512.6,508.2,684.3,575.0,526.7,503.5,491.2,484.4,474.9,700.8,577.0,524.7,496.0,476.6,463.1,447.4,691.8,561.1,506.0,476.2,455.5,441.5,417.3,733.4,577.2,512.8,476.3,447.1,424.2,387.2,842.3,651.5,545.8,498.4,463.3,431.6,363.5,996.7,762.7,626.7,540.3,497.7,465.2,404.4,1150.9,880.6,723.7,619.6,558.3,517.0,456.2,0.7523,1.0065,1.1317,0.5755,0.8015,0.9191,0.0,0.0000,2026,0.9107,658.8,04890004NQ1,7.720,2718,17.4,19.7,18.0,47.7,0.0,797.6,596.1,530.2,1042.6,748.6,652.8,660.7,606.0,0.9082,0.9900,602.3,489.0,455.7,43.9,146.9,824.0,537.0,507.4,468.9,435.8,394.4,353.0,300.3,329.5,380.5,1734.8,1302.1,1734.5,47.1,141.9,1737.5,1096.7,1012.1,961.5,996.9,1021.6,1076.9,1252.0,1499.9,1732.0
HUN,029/26,hun2833,HUN 2833,CRUSADER,X-402,X-Yachts,N. Jeppessen,1984,Vagabund VSE,,,,ORC,CLUB,C,635,29 06 2026 13:16:38,12.090,9.967,2.245,3.97,6500.,0.0,0.00,580.0,0.9321,643.7,1.1417,525.5,884.4,736.2,663.1,624.5,599.8,581.2,555.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.3,584.7,539.1,514.4,497.0,482.9,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.4,695.8,602.3,547.6,515.6,487.6,443.3,42.3,39.6,38.0,37.2,37.1,36.8,36.8,142.6,147.2,150.5,153.3,158.3,162.8,178.1,854.2,741.7,699.0,679.4,668.2,660.3,652.2,569.0,514.2,496.1,487.7,483.4,478.5,473.3,545.4,500.8,484.3,476.6,472.0,466.7,460.0,532.2,491.8,473.3,463.0,456.1,449.5,437.5,537.8,492.3,469.2,453.9,441.4,431.1,416.3,582.2,502.5,467.9,445.5,425.4,410.7,391.8,599.6,510.3,472.1,447.0,423.0,401.5,374.2,665.9,548.6,493.9,463.7,438.5,412.8,369.7,792.0,632.8,543.3,496.2,468.7,447.2,403.1,914.5,730.7,627.2,569.6,531.5,502.1,459.0,0.9472,1.1447,1.2538,0.7405,0.9368,1.0412,0.0,0.0000,2026,1.0533,569.7,04890004UC3,9.814,7396,29.9,50.5,39.7,0.0,112.8,633.4,524.2,478.5,810.3,640.5,576.3,562.4,535.1,1.0669,1.1213,536.6,446.1,427.6,37.5,159.9,655.4,471.7,457.1,429.8,403.8,383.8,355.3,322.6,364.8,417.7,1236.9,923.7,1245.1,45.6,138.8,1155.5,738.6,686.8,649.9,660.4,751.6,828.5,941.5,1141.7,1318.3
HUN,006/26,HUN295,HUN 295,Aiolos,Elan 295,Elan,Humphreys,1996,Hungary,,,,ORC,CLUB,C,512,29 04 2026 17:00:06,9.184,8.419,1.790,2.95,3377.,0.0,0.23,675.9,0.8155,735.8,0.9953,602.8,1104.6,885.8,766.5,699.0,666.3,646.3,621.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.7,695.2,620.1,580.7,559.7,545.2,524.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.9,831.9,694.2,618.1,580.0,550.1,502.7,43.4,41.2,39.7,38.7,38.3,38.2,38.6,145.8,150.5,152.0,159.9,168.5,175.4,175.7,1161.2,949.7,842.4,793.1,776.6,768.7,766.8,762.0,639.3,582.5,557.7,548.3,543.6,540.1,723.6,613.1,565.3,542.9,532.9,528.1,523.8,701.4,596.2,551.8,529.3,515.4,507.0,499.6,669.3,572.9,540.7,525.9,508.2,494.3,476.5,657.5,558.1,521.3,500.6,487.0,476.1,457.8,680.1,568.6,524.1,497.1,475.7,458.4,435.2,763.8,618.7,545.0,511.0,483.6,458.0,409.4,907.6,712.0,599.0,539.2,508.8,483.2,433.7,1048.0,821.8,690.6,604.9,556.0,523.9,475.9,0.7777,1.0031,1.1089,0.6029,0.8232,0.9347,0.0,0.0000,2026,0.9166,654.6,04890004NPW,7.755,4069,19.3,27.7,17.3,74.5,0.0,771.5,598.1,541.1,995.2,728.9,641.9,658.1,601.9,0.9117,0.9969,607.9,511.4,488.5,40.1,164.9,785.9,542.5,524.3,497.0,469.1,443.2,416.4,366.4,379.0,429.9,1601.8,1207.0,1594.9,46.1,136.3,1671.0,1066.5,993.6,949.0,929.3,917.2,951.0,1091.0,1327.3,1532.7
HUN,030/26,HUN3dufour470,HUN 3,LEVIRANN,Dufour 470,Dufour,Felci,2021,,,,,ORC,CLUB,C,470,07 07 2026 19:30:40,14.000,12.942,2.279,4.74,13200.,0.0,0.36,597.5,0.8988,667.5,1.1404,526.1,1045.2,821.5,700.3,633.1,596.2,572.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.9,631.6,547.9,502.3,476.9,460.7,436.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.6,769.8,624.8,540.3,497.0,464.9,413.5,46.4,44.6,43.0,42.0,41.3,41.0,41.0,143.9,146.0,146.7,146.8,147.1,180.0,180.0,1030.9,830.0,723.9,672.3,649.7,639.2,631.4,654.4,538.4,480.5,452.2,439.8,433.9,428.1,608.5,510.2,461.2,436.5,424.0,418.2,412.1,577.4,490.0,447.0,424.3,410.0,399.7,390.1,585.6,493.3,446.3,421.5,405.2,392.0,371.9,655.4,526.5,459.7,424.8,403.1,385.0,353.9,681.8,544.7,471.3,431.6,408.2,389.2,354.9,772.8,603.9,511.7,457.1,425.4,404.3,368.7,917.5,704.0,586.1,514.2,469.9,442.0,405.6,1059.5,812.9,676.7,593.8,542.6,504.9,436.6,0.8448,1.1496,1.3169,0.6429,0.9064,1.0642,0.0,0.0000,2026,1.0366,578.8,04890004UVA,11.404,13979,46.5,57.0,39.8,0.0,0.0,710.2,521.9,455.6,933.3,662.0,563.8,563.5,548.0,1.0647,1.0949,520.5,422.5,396.9,43.2,180.0,639.7,427.3,409.3,382.6,361.4,328.0,321.8,335.6,377.3,401.2,1548.0,1145.6,1552.8,48.9,141.2,1500.2,933.3,845.9,783.8,798.9,931.9,995.3,1151.3,1382.0,1595.8
