NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
IRL,26011,3335C,3335C,BITE THE BULLET,Elan 333,Elan Marine,Humphreys,1998,Howth Yacht Club,,,,ORC,CLUB,C,595,20 03 2026 10:56:01,10.025,9.238,1.908,3.43,4920.,0.0,0.19,646.9,0.8538,702.8,1.0409,576.4,1057.1,848.5,735.0,669.4,633.7,611.7,586.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0,668.1,595.1,555.6,533.4,518.0,496.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.7,799.4,666.4,591.1,553.0,523.8,476.1,43.5,41.2,39.6,38.2,37.5,37.3,37.3,145.6,150.1,152.8,159.7,166.8,175.4,177.9,1060.7,875.0,779.4,733.2,715.1,706.0,700.3,694.6,591.1,544.1,522.9,513.1,508.3,503.5,659.5,569.6,530.9,511.6,500.8,495.5,489.6,639.7,556.1,521.0,501.2,487.8,478.3,467.8,653.3,559.9,518.4,497.0,482.8,469.1,449.0,665.6,555.0,510.6,485.8,466.2,449.9,429.4,689.6,569.8,517.1,489.3,467.0,446.6,411.4,770.2,620.8,542.8,505.6,480.8,458.2,414.6,912.3,711.9,599.7,536.1,503.4,480.3,438.0,1053.4,822.0,690.7,605.7,552.2,517.4,472.7,0.8102,1.0479,1.1678,0.6297,0.8605,0.9872,0.0,0.0000,2026,0.9580,626.3,05180004IDM,8.767,5741,24.2,33.6,32.4,74.5,0.0,740.6,572.6,513.8,952.8,697.3,607.8,620.4,587.9,0.9671,1.0206,570.9,481.6,460.8,38.0,176.3,707.7,503.0,487.7,461.6,436.8,414.2,391.2,372.6,395.6,434.0,1531.7,1151.1,1534.5,46.4,138.3,1503.0,954.4,886.8,844.9,871.8,931.3,969.6,1116.7,1351.3,1560.3
IRL,26092,48-258,48-258,FIADH,Swan 48,OY Nautor AB,Frers,2019,,,,,ORC,CLUB,C,1142,06 03 2026 15:56:21,14.767,14.267,2.431,4.56,15433.,0.0,0.30,552.5,0.9816,611.2,1.2294,488.1,944.3,750.2,643.6,579.8,544.7,524.3,499.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.9,580.7,508.0,467.3,444.2,429.3,409.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.7,702.5,576.2,500.6,461.5,433.6,389.8,45.7,43.5,41.8,40.6,39.8,39.4,39.3,141.7,145.1,148.6,150.5,152.9,157.2,162.1,999.9,802.7,698.3,638.8,609.3,596.1,585.9,638.3,526.4,468.1,437.4,422.4,415.3,409.5,595.8,499.5,449.7,424.0,410.4,402.8,396.4,567.6,481.1,437.0,414.1,399.7,389.4,376.9,573.5,472.0,424.8,403.0,392.1,384.2,364.6,560.8,460.5,414.6,391.0,372.6,357.9,339.6,575.4,469.7,420.1,394.9,374.8,356.9,325.7,642.9,515.7,447.3,412.0,390.0,370.5,334.7,769.5,604.2,510.0,451.3,417.8,397.4,364.5,888.6,697.7,588.9,520.9,480.2,452.4,412.7,0.9233,1.2382,1.4102,0.7082,0.9893,1.1538,0.0,0.0000,2026,1.1229,534.3,05180004H1H,12.598,17098,52.3,68.2,60.3,0.0,172.7,649.8,484.6,425.5,847.2,606.5,520.0,531.7,496.5,1.1284,1.2086,484.7,395.4,375.5,39.7,160.3,587.9,408.1,394.2,371.2,351.8,325.9,304.9,296.3,334.0,381.6,1388.3,1039.3,1380.8,48.2,138.5,1463.9,914.4,832.4,776.8,799.3,794.0,821.0,936.4,1136.9,1312.8
IRL,26085,X4-3 - DEN 22,DEN 22,VIXEN,X4.3,X-Yachts,Niels Jeppesen,2016,Howth Yacht Club,,,,ORC,CLUB,C,850,04 02 2026 23:39:09,12.450,11.705,2.228,3.95,9300.,0.0,0.23,589.5,0.9231,650.0,1.1472,523.0,984.4,789.7,681.9,618.6,583.7,562.5,537.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,614.8,542.8,502.7,479.4,464.3,443.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.9,740.0,612.8,537.3,497.8,469.0,423.5,44.5,42.3,40.7,39.7,38.9,38.5,38.4,142.3,146.4,149.2,151.3,155.2,160.3,163.7,1050.1,851.2,745.3,684.5,654.4,641.9,633.0,679.2,566.2,506.8,475.5,460.0,452.4,446.7,639.8,540.2,489.1,462.7,448.1,439.6,432.8,615.9,522.8,476.5,452.6,437.0,425.3,410.8,595.2,498.0,456.7,438.4,428.4,420.2,398.4,583.8,486.7,445.7,422.3,404.0,390.6,373.1,599.1,496.2,451.0,425.7,404.9,386.1,355.5,667.5,541.9,476.3,443.1,420.0,399.0,359.5,795.6,630.6,535.7,479.4,448.6,427.9,392.2,918.7,728.2,618.5,552.7,512.9,483.1,441.8,0.8773,1.1547,1.3038,0.6764,0.9299,1.0745,0.0,0.0000,2026,1.0510,570.9,051800048H7,10.611,10480,36.0,52.9,31.8,0.0,130.2,683.9,519.6,460.2,887.0,645.2,558.4,570.2,529.1,1.0523,1.1340,522.9,428.9,408.2,39.7,160.6,637.7,445.8,430.9,405.7,383.6,359.3,333.6,315.8,357.7,408.2,1429.5,1075.5,1420.5,47.4,138.3,1519.6,957.5,884.0,835.6,833.2,812.3,840.1,955.3,1159.9,1339.4
IRL,26004_B,FRA111,FRA 111,ALLIG8R,FIRST CLASS 8 MOD,BENETEAU SA,FINOT Jean-Marie,1982,Royal St George Yacht Club,,,,ORC,CLUB,S,510,02 05 2026 10:26:29,7.785,7.122,1.704,2.50,1440.,0.0,0.00,685.2,0.8069,743.6,0.9806,611.9,1101.7,889.9,775.0,708.6,676.0,655.2,624.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.4,706.4,633.9,592.3,567.8,548.5,516.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.2,840.2,706.1,629.2,588.7,553.0,490.8,42.3,40.2,37.8,36.3,36.0,35.9,36.4,146.2,151.4,153.9,162.8,171.8,176.3,166.9,1096.0,912.1,817.3,775.4,762.6,756.6,756.1,730.6,628.6,587.3,566.3,557.2,552.2,546.6,700.1,611.5,575.5,553.3,541.0,534.8,526.6,683.9,603.1,566.1,540.0,520.1,508.4,494.9,693.1,594.8,554.3,531.7,513.9,492.4,464.1,691.3,592.1,547.0,511.9,483.0,461.3,428.7,716.3,605.9,556.8,518.8,483.4,447.5,391.6,801.2,658.4,582.5,542.7,507.5,471.5,387.3,958.9,752.3,637.4,575.3,539.1,506.5,435.4,1107.3,867.7,732.6,641.9,589.4,553.7,493.1,0.7708,0.9843,1.1084,0.6025,0.8133,0.9246,0.0,0.0000,2026,0.9051,662.9,05180004O31,7.270,2046,14.0,20.9,17.7,46.1,0.0,778.4,609.6,541.3,995.9,737.7,648.9,659.9,623.7,0.9093,0.9620,580.9,483.7,459.2,38.2,141.3,771.6,546.6,524.5,487.6,447.3,400.0,354.7,295.0,337.9,390.2,1568.7,1184.7,1572.3,45.2,136.0,1533.2,987.3,927.6,892.1,918.8,951.5,990.5,1140.1,1389.3,1604.2
IRL,26110,FRA7797,FRA 7797,SYMMETRY,BULLIT - Corby Mod,CAPARROS,FAUROUX Jacques,1978,Howth Yacht Club,,,,ORC,CLUB,S,510,04 06 2026 09:16:13,8.410,6.724,1.514,2.95,1440.,0.0,0.00,676.4,0.8137,737.3,0.9932,604.1,1078.1,878.8,769.6,706.5,671.5,648.0,611.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.9,700.5,629.6,586.6,558.5,536.2,500.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.2,829.8,701.2,624.1,579.7,540.5,472.1,42.3,40.4,38.4,36.4,35.8,35.6,36.4,146.4,151.2,156.3,164.2,169.1,169.1,168.7,1096.4,916.8,823.1,775.6,756.7,747.7,743.0,730.5,630.5,585.4,562.4,548.2,539.8,529.8,699.7,613.7,572.3,548.3,530.7,518.8,505.7,683.4,604.5,563.2,533.0,508.2,489.4,469.6,686.4,591.8,549.1,521.2,503.1,476.7,441.9,682.3,588.4,539.5,498.5,467.0,444.9,407.9,703.5,601.8,550.2,505.7,467.8,434.5,368.8,778.4,644.1,577.9,534.8,493.7,458.5,372.9,917.8,728.7,626.9,570.7,531.0,493.3,427.5,1059.7,840.7,716.2,637.3,586.3,548.4,480.4,0.7805,0.9944,1.1357,0.6132,0.8184,0.9371,0.0,0.0000,2026,0.9165,654.6,05180004S38,7.069,1979,12.6,20.8,14.8,47.0,0.0,768.7,603.4,528.3,978.5,733.1,640.3,654.6,614.5,0.9166,0.9765,559.2,460.5,433.1,37.7,140.5,752.8,527.2,500.4,459.5,418.1,371.7,323.5,272.7,316.5,365.5,1520.0,1154.0,1520.3,45.3,139.3,1516.7,976.6,917.8,882.9,908.6,926.2,959.3,1094.6,1319.2,1523.2
IRL,26125,FRA78,FRA 78,JOYRIDE,J-111 OD,J-COMPOSITE,JOHNSTONE Rodney,2011,RCYC,,,,ORC,CLUB,C,570,28 05 2026 09:26:45,11.121,10.386,2.192,3.30,4353.,0.0,0.16,573.6,0.9517,630.5,1.1697,513.0,924.9,742.0,649.4,605.0,581.7,562.2,521.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,584.7,527.2,497.9,479.4,463.9,435.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.5,698.8,589.4,530.2,497.2,468.5,418.6,42.9,40.8,38.7,37.5,37.1,37.1,37.2,142.1,145.6,148.9,153.1,153.2,150.3,144.3,958.7,779.8,701.4,673.2,659.5,650.8,644.0,629.5,529.0,492.6,479.6,473.0,468.6,464.2,597.5,511.4,480.1,466.5,459.8,455.0,450.5,577.9,500.6,470.1,452.7,441.1,434.4,425.3,584.1,498.6,470.5,448.7,431.4,418.0,400.7,564.1,480.5,447.6,427.5,412.0,398.1,373.7,575.8,483.3,446.0,418.2,395.8,378.7,347.3,646.6,517.4,465.1,430.9,399.8,368.3,308.2,771.7,609.9,517.3,467.6,437.8,410.3,346.2,891.1,704.3,597.3,536.8,503.9,473.6,399.8,0.9254,1.1758,1.3124,0.7199,0.9594,1.0870,0.0,0.0000,2026,1.0773,556.9,05180004RFV,10.113,5178,25.6,35.5,30.8,0.0,126.8,648.4,510.3,457.2,833.4,625.4,552.0,557.3,513.9,1.0765,1.1677,489.4,415.7,396.2,38.9,145.3,661.8,467.3,450.7,421.2,390.8,352.7,320.3,273.4,274.5,316.9,1337.4,1013.5,1333.4,45.8,139.0,1376.5,877.2,815.8,776.4,803.7,797.7,823.6,928.3,1124.3,1298.2
IRL,26078,GBR1244T,GBR 1244T,Summer Light,LASER 28,Perf. Sail Craft,FARR Bruce,1983,Royal Cork Yacht Club,,,,ORC,CLUB,R,510,04 02 2026 23:12:30,8.640,7.800,1.643,2.84,2336.,0.0,0.25,694.0,0.7974,752.4,0.9721,617.2,1142.0,913.0,787.1,714.4,676.9,654.5,628.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.3,718.5,638.4,594.2,569.6,552.3,526.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.1,859.6,714.1,632.0,590.8,558.7,502.7,43.7,41.9,39.7,37.7,37.1,37.0,37.9,146.7,151.2,154.6,161.9,169.6,177.7,178.1,1151.2,945.8,836.0,781.9,763.6,755.5,754.6,752.8,634.4,584.8,561.3,550.3,545.3,540.6,714.5,610.9,570.6,549.2,536.3,530.2,523.2,692.7,598.1,559.8,537.4,520.0,507.8,495.7,707.4,598.5,552.4,527.1,511.6,497.7,472.6,713.7,595.8,548.1,517.7,492.1,470.0,440.0,741.6,612.3,556.8,524.8,497.4,471.8,421.3,831.1,670.7,586.5,546.2,516.7,489.7,432.6,981.2,762.9,642.9,577.1,542.0,514.5,463.5,1132.9,880.2,738.2,647.0,590.2,553.6,502.2,0.7515,0.9785,1.0969,0.5839,0.8045,0.9226,0.0,0.0000,2026,0.8948,670.6,051800048H0,7.547,3013,16.6,23.3,20.3,42.4,0.0,798.4,613.2,547.0,1027.6,745.8,650.3,665.0,630.2,0.9023,0.9521,613.3,507.4,480.9,39.6,169.8,771.6,541.9,522.2,489.3,458.2,419.5,381.9,362.4,405.9,455.1,1664.7,1250.7,1667.2,46.3,142.6,1640.3,1042.2,969.0,924.0,953.8,1000.0,1045.6,1206.1,1462.8,1689.1
IRL,26107,applicationForm-Lazy Bones-2026-4-25T22-9-19,GBR 158,Lazy Bones,First Class 8,Beneteau,Jean-Marie Finot and Jacques Fauroux,1982,Malahide Yacht Club,,,,ORC,CLUB,S,400,10 06 2026 09:23:01,7.785,7.128,1.831,2.50,1441.,0.0,0.22,699.1,0.7908,758.8,0.9638,622.5,1138.6,914.2,793.3,722.8,685.7,662.3,630.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.4,723.6,646.4,601.6,574.8,554.4,521.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.7,861.9,721.3,639.6,596.4,560.0,494.3,42.2,40.0,38.2,36.5,36.3,36.1,36.7,146.4,151.4,155.9,164.2,172.3,177.2,175.4,1147.5,946.8,844.5,792.0,773.6,764.4,761.6,763.2,649.0,599.3,573.9,561.7,555.2,549.1,729.1,627.9,585.3,560.4,545.1,537.1,528.4,709.2,614.8,574.0,546.9,524.9,510.4,496.1,704.2,601.3,557.6,530.1,515.2,498.5,466.0,708.4,601.2,553.9,517.5,486.5,459.8,424.2,737.0,617.6,564.4,526.2,492.6,458.3,392.5,827.9,672.9,595.5,553.3,517.6,483.6,404.1,978.3,764.2,648.5,586.5,548.5,515.3,448.3,1129.6,881.6,742.2,653.7,597.9,560.2,499.1,0.7490,0.9677,1.0968,0.5846,0.7968,0.9144,0.0,0.0000,2026,0.8885,675.3,05180004SN6,7.119,1976,14.0,20.9,13.4,35.5,0.0,801.1,620.0,547.0,1026.3,753.0,656.2,672.5,634.9,0.8922,0.9451,598.1,492.9,466.2,38.0,138.9,769.8,547.0,525.3,489.2,449.5,401.7,353.9,309.9,369.2,426.4,1651.9,1246.1,1654.0,44.9,141.5,1630.9,1051.1,985.6,945.0,971.1,980.3,1027.1,1189.9,1448.8,1672.9
IRL,26119,GBR251,GBR 251,RESOLUTE,Fareast 28R,Shanghai Far East,Simonis & Voogd,2015,RCYC,,,,ORC,CLUB,S,510,19 05 2026 14:57:06,8.520,8.433,1.718,2.79,1330.,0.0,0.00,587.5,0.9161,654.9,1.1474,522.9,956.6,770.0,680.1,635.9,602.8,572.5,510.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.2,609.5,546.9,509.4,481.3,457.8,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0,725.3,614.3,546.2,500.8,460.7,389.9,43.8,41.0,38.8,38.5,38.2,38.2,39.0,142.6,146.3,151.4,150.5,147.6,146.0,142.9,1002.0,818.5,740.5,715.7,703.9,697.1,695.8,653.9,556.2,517.3,500.9,490.7,483.7,476.1,619.6,538.4,499.8,477.9,466.2,457.8,448.1,599.8,526.7,484.4,450.3,432.1,419.8,403.4,603.8,518.8,485.5,445.6,410.4,388.4,361.9,586.3,500.2,445.0,412.8,388.1,367.1,332.3,599.1,505.8,445.8,397.4,366.0,342.4,300.7,663.4,541.2,479.3,425.2,374.7,327.7,261.2,789.1,624.7,537.4,481.7,434.5,387.9,281.9,911.2,721.4,619.6,556.0,501.8,447.9,325.5,0.8911,1.1468,1.3382,0.6950,0.9181,1.0774,0.0,0.0000,2026,1.0533,569.6,05180004QDA,8.570,1990,16.3,27.3,19.2,0.0,77.1,673.3,523.2,448.4,863.3,653.5,556.9,578.9,520.2,1.0365,1.1534,480.0,394.4,364.9,40.3,147.7,706.6,476.5,445.7,395.2,344.9,290.9,266.1,228.2,219.5,253.5,1378.4,1046.6,1373.0,45.9,139.8,1432.3,912.7,848.6,807.1,832.7,823.2,849.5,951.0,1147.0,1324.5
IRL,26012,GBR4947R,GBR 4947R,BLACK MAGIC,First 44.7,Beneteau,Farr,2003,Howth Yacht Club,,,,ORC,CLUB,C,1020,04 02 2026 19:51:57,13.352,12.046,2.647,3.97,10010.,0.0,0.13,560.6,0.9734,616.4,1.1978,500.9,905.7,732.9,638.6,589.3,563.6,545.4,520.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,575.4,514.9,484.2,466.3,453.2,433.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.5,689.4,577.7,515.9,483.5,457.4,417.1,42.6,40.5,39.0,38.0,37.4,37.1,36.9,142.2,145.8,148.5,152.3,155.7,160.5,161.8,937.2,769.9,687.0,650.8,633.7,623.5,612.7,617.2,522.4,478.1,459.9,452.0,447.0,441.1,586.5,503.0,465.0,448.1,440.2,435.4,429.2,566.4,490.3,455.9,437.8,426.6,419.5,410.9,570.9,481.9,449.9,435.7,420.9,409.4,394.2,555.8,468.8,433.5,413.5,400.8,390.8,374.1,568.3,474.3,436.0,412.7,393.6,377.8,356.9,635.1,511.9,455.9,427.4,405.0,383.8,342.6,757.1,602.6,511.2,458.9,432.6,413.0,376.2,874.2,695.9,590.2,527.7,493.5,467.4,428.4,0.9424,1.2060,1.3360,0.7323,0.9816,1.1098,0.0,0.0000,2026,1.1016,544.7,051800048DN,11.288,11417,38.9,64.5,44.8,0.0,177.0,636.7,497.5,449.1,819.3,611.2,540.6,542.8,506.4,1.1055,1.1849,501.9,418.3,402.5,38.2,143.8,615.9,439.6,427.0,406.5,385.1,360.3,339.2,298.4,335.9,387.9,1301.0,984.4,1297.6,45.5,138.7,1334.6,850.5,790.6,751.0,773.6,774.6,802.5,905.8,1097.5,1267.3
