NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
ISR,26777,CYP777,CYP-777,Queen Emily,FIRST 27.7,BENETEAU,GROUP FINOT,2002,ISRAEL,,,,ORC,CLUB,C,500,03 02 2026 14:53:24,8.300,8.366,1.855,3.02,3097.,0.0,0.26,714.8,0.7688,780.4,0.9496,631.8,1203.6,957.6,824.9,741.0,692.9,666.9,638.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.9,750.7,659.1,605.7,574.7,554.8,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.1,898.6,742.3,647.2,596.7,559.8,503.3,43.7,42.0,40.5,39.5,39.0,38.9,39.4,147.6,151.2,154.3,159.7,165.7,172.7,174.5,1278.2,1035.5,911.1,835.1,800.0,788.3,788.3,834.8,690.5,618.5,577.4,557.4,549.8,546.1,790.3,660.0,594.9,559.7,540.7,531.7,526.3,764.9,640.2,576.8,544.6,523.6,508.5,494.1,732.5,610.2,553.3,529.7,517.8,498.1,468.4,724.9,599.1,541.8,509.4,483.8,466.8,445.8,752.9,617.2,549.5,513.1,482.8,457.9,423.2,838.6,674.1,582.6,534.8,501.5,471.2,417.8,977.7,762.6,643.2,571.3,530.6,499.8,445.8,1128.9,879.8,738.8,647.0,585.9,545.5,487.9,0.7153,0.9557,1.0900,0.5552,0.7742,0.9055,0.0,0.0000,2026,0.8719,688.2,0439000484E,7.380,3781,20.6,26.5,17.5,58.7,0.0,838.8,627.8,550.5,1080.7,775.0,662.6,692.5,635.6,0.8664,0.9440,623.6,515.1,487.7,40.7,169.4,807.1,549.4,528.1,490.1,456.1,432.4,402.1,359.9,392.6,440.1,1770.9,1336.5,1761.7,46.2,143.4,1863.2,1184.4,1100.2,1052.2,1026.1,1014.7,1059.8,1214.1,1453.7,1678.6
ISR,26019,ISR019,ISR 019,Gefen,X-35 OD,X-YACHTS,JEPPESEN,2005,,,,,ORC,CLUB,C,601,03 02 2026 07:06:54,10.600,9.425,2.156,3.25,4434.,0.0,0.00,601.3,0.9107,658.8,1.1103,540.4,946.6,770.8,681.7,634.0,605.7,587.0,560.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.9,611.0,555.0,525.3,506.7,492.6,470.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,727.6,619.5,559.3,525.0,497.0,451.6,42.3,40.1,38.5,37.8,38.0,37.9,38.3,140.4,148.8,152.1,159.3,167.8,171.8,167.6,952.5,794.2,731.0,708.7,697.5,690.8,688.1,632.0,545.5,514.0,503.3,497.2,493.3,489.5,603.3,529.5,501.0,490.0,483.6,479.1,474.3,585.1,519.6,490.6,474.0,464.6,458.0,449.9,595.0,522.6,490.4,468.9,452.3,440.8,426.3,598.2,511.8,476.9,456.1,442.8,431.1,411.2,613.6,519.9,480.3,452.1,429.4,413.5,388.2,683.0,558.0,500.6,467.8,438.9,411.5,356.1,814.6,647.2,548.8,497.0,466.8,439.6,386.0,940.6,747.4,632.4,559.3,514.0,483.1,432.7,0.8943,1.1159,1.2299,0.6988,0.9171,1.0315,0.0,0.0000,2026,1.0243,585.8,0439000483F,9.152,5264,24.3,42.4,33.4,106.3,0.0,670.9,537.7,487.8,858.6,654.2,581.7,584.3,543.6,1.0270,1.1038,540.6,454.8,434.5,40.4,146.9,711.3,493.1,476.6,446.6,417.9,391.3,366.6,313.8,320.3,369.9,1342.9,1014.9,1343.9,45.2,140.2,1333.3,853.4,796.1,758.7,779.2,823.6,852.8,971.3,1171.4,1352.6
ISR,26020,ISR020,ISR 020,Gaya,X-35,X-Yachts,Jeppesen,2005,,,,,ORC,CLUB,C,617,03 02 2026 07:07:51,10.600,9.550,2.176,3.25,4782.,0.0,0.00,603.7,0.9096,659.6,1.1075,541.8,955.9,776.8,683.0,633.5,604.6,585.8,559.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.9,615.2,556.6,525.9,507.0,493.0,471.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.2,733.1,621.1,559.6,525.3,497.5,452.7,42.3,40.3,38.5,37.7,37.4,37.7,38.0,140.2,149.2,152.1,159.2,167.8,172.7,170.9,963.1,801.2,730.1,705.1,692.9,686.0,681.5,638.7,549.5,514.5,502.2,495.8,491.7,487.4,609.5,533.2,502.1,489.2,482.8,478.1,472.8,590.9,522.9,493.0,475.5,464.7,458.0,449.2,601.3,525.4,493.1,471.9,455.1,442.8,427.2,602.3,514.1,478.7,456.7,443.4,432.1,413.0,618.2,522.6,482.7,455.3,432.6,415.3,391.2,688.4,561.6,502.9,470.9,443.5,417.5,365.5,821.6,651.6,551.8,499.3,469.8,444.0,393.6,948.7,752.4,636.0,561.9,516.3,485.5,437.5,0.8868,1.1135,1.2286,0.6926,0.9164,1.0334,0.0,0.0000,2026,1.0214,587.4,0439000483H,9.261,5634,24.9,42.4,33.1,106.0,0.0,676.6,538.8,488.4,866.3,654.7,580.6,585.3,546.5,1.0252,1.0979,542.0,455.6,436.6,39.7,147.3,698.8,489.3,474.1,445.5,418.4,396.2,370.5,317.9,333.6,385.2,1357.5,1026.1,1358.2,45.2,139.8,1350.2,863.6,805.9,768.6,789.8,830.1,859.4,979.9,1181.9,1364.8
ISR,26001,ISR1,ISR 1,Lidi,X-41,X YACHTS,JEPPESEN,2006,Israel,,,,ORC,CLUB,R,769,03 02 2026 07:09:57,12.350,11.145,2.502,3.65,6951.,0.0,0.00,561.5,0.9677,620.0,1.1907,503.9,891.8,723.4,637.9,596.1,573.1,556.2,528.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.5,570.7,516.4,489.7,472.6,459.2,436.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,681.3,577.9,521.6,490.4,464.2,419.2,42.7,40.6,38.9,37.9,37.5,37.3,37.8,142.1,146.0,149.7,153.0,156.1,158.8,146.9,920.1,758.8,688.5,662.2,648.8,641.0,634.6,607.1,516.8,481.2,468.7,462.2,458.2,453.8,577.9,499.9,468.4,456.0,449.8,445.6,440.6,559.1,489.5,459.3,442.9,433.2,427.1,418.7,551.3,478.3,449.4,435.5,423.7,412.0,397.8,554.5,472.5,439.6,421.0,404.7,389.7,367.9,565.6,476.6,440.1,414.5,394.5,380.5,349.0,627.6,510.1,459.2,429.3,402.8,377.1,325.3,747.8,595.9,508.7,461.7,435.1,412.1,365.6,863.5,688.1,587.4,530.1,497.4,471.5,422.1,0.9538,1.1974,1.3212,0.7429,0.9757,1.0909,0.0,0.0000,2026,1.0966,547.1,0439000483J,10.657,8040,32.7,53.1,44.8,0.0,158.6,629.1,501.1,454.1,807.6,614.9,550.0,546.0,506.3,1.0989,1.1850,499.1,418.8,399.0,39.3,143.5,649.3,455.7,441.9,415.1,389.7,354.7,322.1,288.9,302.2,348.9,1276.0,965.3,1273.2,45.6,139.0,1304.2,832.1,773.9,735.8,744.1,768.8,795.2,893.0,1080.7,1247.9
ISR,26114,ISR114-roni,ISR 114,Shulamit,Sonar,Sonar (UK) Ltd,Kirby,1979,ISRAEL,,,,ORC,CLUB,S,308,24 02 2026 06:06:56,7.138,6.135,1.185,2.38,950.,0.0,0.19,748.4,0.7316,820.1,0.9019,665.2,1236.1,991.4,860.4,780.3,736.0,713.8,687.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.5,778.3,693.7,643.0,610.5,587.4,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.5,930.7,778.1,686.5,633.9,591.8,515.2,44.2,41.9,40.8,40.1,39.3,39.5,41.7,147.4,152.1,159.1,166.4,176.3,177.2,163.3,1302.3,1070.0,952.9,886.7,853.4,847.0,863.2,844.6,710.8,650.3,619.0,600.4,592.4,588.3,796.5,681.0,630.6,601.9,580.5,568.5,559.8,767.3,662.0,615.0,583.8,557.8,537.7,517.2,741.4,634.1,587.0,557.2,542.2,522.4,474.7,736.8,630.4,580.2,540.0,503.2,472.2,433.4,763.8,644.3,590.3,547.9,507.0,462.7,390.2,855.0,700.5,617.3,573.3,533.9,492.1,403.1,1013.2,792.0,672.6,607.9,567.9,531.4,451.3,1169.9,912.8,767.9,673.8,618.7,580.7,512.5,0.6962,0.9049,1.0339,0.5387,0.7375,0.8455,0.0,0.0000,2026,0.8289,723.8,04390004EDQ,5.904,1357,11.3,18.0,8.7,31.7,0.0,861.8,663.1,580.3,1113.8,813.6,709.6,729.6,667.0,0.8224,0.8996,633.6,512.5,476.1,43.3,140.2,878.5,587.5,557.6,508.0,450.4,398.5,344.9,287.3,336.7,388.8,1798.4,1347.6,1791.1,46.7,135.8,1871.2,1183.6,1093.6,1035.3,1026.0,1019.5,1063.3,1221.7,1494.4,1725.6
ISR,260120,ISR12-roni,ISR 12,Semiramis,Apollo 12,Dromor,Judel / Vrolijk,1990,ISRAEL,,,,ORC,CLUB,C,603,03 02 2026 09:24:56,11.100,9.513,1.924,3.64,6300.,0.0,0.38,685.5,0.7944,755.3,0.9907,605.6,1171.4,924.8,793.8,716.9,673.2,647.6,619.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.9,717.5,628.3,579.9,552.2,535.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.0,866.6,711.6,620.5,573.5,540.7,490.4,45.3,43.4,41.6,40.5,39.7,39.3,39.2,144.0,146.6,147.7,149.9,155.0,160.3,176.8,1226.1,983.8,859.0,787.6,750.8,736.3,730.2,787.0,647.4,577.4,542.4,525.4,517.1,512.3,738.9,615.6,556.0,527.6,512.1,503.1,497.1,712.4,595.6,541.0,515.4,499.6,488.5,475.1,710.7,582.8,526.0,500.4,485.9,478.0,461.1,697.4,569.6,516.5,490.4,470.8,452.8,425.6,722.9,587.1,524.4,494.9,473.7,453.4,415.2,815.3,646.9,557.0,513.9,488.6,467.9,425.4,967.1,749.9,630.9,559.6,520.6,497.2,461.9,1116.8,865.9,728.5,646.1,595.7,559.0,508.6,0.7447,0.9991,1.1298,0.5725,0.8011,0.9325,0.0,0.0000,2026,0.9062,662.1,04390004844,8.351,7145,27.8,29.7,38.0,0.0,83.3,805.7,600.5,531.1,1048.0,749.0,643.4,657.5,616.8,0.9125,0.9728,611.1,502.4,476.4,40.4,177.3,746.9,515.2,497.5,471.6,445.4,411.5,392.6,390.2,425.4,475.2,1737.0,1305.9,1730.2,47.4,140.8,1804.4,1136.2,1046.6,994.4,1019.1,998.1,1039.2,1201.2,1445.9,1669.5
ISR,26150,218141,ISR 150,Bellendaine,Moody 33,Moody,Primorose,1978,ISRAEL,,,,ORC,CLUB,C,530,03 02 2026 08:09:20,10.020,8.469,1.346,3.47,4777.,0.0,0.51,774.1,0.6958,862.3,0.8814,680.7,1357.3,1072.5,919.3,822.0,757.7,713.7,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,822.6,715.5,652.3,612.2,583.6,552.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.3,998.0,815.7,702.8,636.4,587.2,519.1,48.8,47.6,47.3,46.6,46.0,45.1,44.7,148.4,151.4,153.7,159.5,165.1,171.3,178.1,1517.4,1221.0,1069.9,975.6,910.5,863.8,839.2,944.9,766.8,676.9,622.4,587.9,567.0,550.1,861.4,710.0,634.0,588.6,562.5,545.8,527.4,814.6,677.8,604.0,564.3,541.6,526.0,503.2,790.1,643.3,569.3,533.9,511.9,494.3,470.1,764.5,627.1,559.1,525.7,502.1,479.5,440.2,794.4,644.3,569.1,531.6,506.7,483.7,441.2,887.5,704.3,604.9,552.4,522.1,498.7,453.8,1036.9,801.2,668.2,589.7,547.2,520.3,476.7,1197.3,924.0,768.6,668.4,604.9,563.7,512.9,0.6491,0.8856,1.0363,0.4939,0.6983,0.8444,0.0,0.0000,2026,0.8025,747.7,0439000483Q,6.578,5506,24.9,22.3,28.3,67.0,62.2,924.4,677.5,579.0,1214.8,859.2,710.6,760.2,672.1,0.7893,0.8928,677.0,544.7,505.5,47.0,176.8,880.6,559.9,528.3,488.3,458.7,415.7,410.2,417.8,437.5,473.4,2026.2,1509.4,2003.2,50.8,146.0,2255.6,1391.9,1240.3,1149.2,1138.5,1096.7,1141.3,1305.9,1556.0,1796.7
ISR,26376,ISR376,ISR 29,SLYD,Varianta 37,Varianta,Judel/Vrolijk,2009,,,,,ORC,CLUB,C,724,03 02 2026 09:26:21,11.270,10.513,1.991,3.76,6901.,0.0,0.28,647.0,0.8433,711.5,1.0545,569.0,1127.3,889.3,758.6,673.3,623.0,595.4,567.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,686.8,596.8,543.2,511.7,493.1,469.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.4,831.4,677.7,582.2,531.6,497.8,446.4,45.6,43.9,42.3,41.0,40.1,39.7,39.8,143.3,146.7,151.2,156.1,162.6,168.2,175.8,1206.3,963.8,833.9,753.6,711.0,694.9,687.6,771.2,629.2,555.3,513.0,490.8,481.1,474.9,721.1,595.9,531.5,496.3,476.7,466.3,458.8,691.8,575.0,515.0,483.6,464.4,450.4,434.7,666.7,546.4,489.0,461.7,446.8,437.7,420.6,655.8,535.5,480.3,451.5,428.9,410.2,385.5,677.4,551.2,489.4,457.6,433.3,411.6,372.3,763.0,607.2,523.3,479.0,452.0,428.8,385.8,907.8,705.7,592.2,519.2,478.9,453.2,410.7,1048.3,814.8,683.2,593.1,534.9,495.8,446.8,0.7773,1.0616,1.2269,0.5951,0.8485,1.0140,0.0,0.0000,2026,0.9625,623.4,04390004845,9.183,7899,32.3,40.5,32.3,101.8,98.6,771.9,565.2,489.0,1008.2,707.1,591.7,623.9,575.5,0.9616,1.0425,553.6,454.7,428.6,40.8,173.6,698.5,475.2,457.4,428.4,405.3,368.8,342.0,338.9,370.0,408.8,1670.6,1251.1,1659.5,47.8,139.8,1781.3,1118.2,1024.6,969.0,950.8,933.6,968.0,1117.7,1350.9,1559.9
ISR,26322,ISR322I,ISR 322,Lataka-Be,A 40,Archambault,Nivelt,2003,ISRAEL,,,,ORC,INTL,C,650,04 05 2026 06:52:27,11.990,11.609,2.397,3.76,6474.,113.6,0.18,563.1,0.9598,625.1,1.1914,503.6,913.2,738.4,648.8,599.5,573.3,553.9,519.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.9,575.9,519.2,488.4,469.4,454.9,429.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.9,693.9,584.9,521.4,486.9,458.8,412.8,43.9,41.4,39.5,38.2,37.6,37.3,37.2,142.4,146.0,147.1,152.1,153.7,151.6,145.7,926.0,764.7,699.5,667.7,649.6,638.4,627.3,601.2,512.1,480.9,468.6,460.8,455.1,448.7,565.5,490.7,463.8,453.1,447.0,441.8,434.8,538.8,474.8,448.0,434.1,425.7,419.9,411.0,542.1,475.2,444.9,424.4,409.3,399.7,386.9,570.5,477.9,440.0,418.5,403.3,390.6,364.3,580.4,481.5,440.0,411.5,389.1,374.3,348.6,654.7,519.0,459.1,426.4,397.4,370.9,317.3,779.8,616.7,518.0,461.7,432.5,406.9,356.6,900.4,712.1,598.1,531.3,497.0,469.3,411.7,0.9429,1.1972,1.3361,0.7266,0.9663,1.0992,0.0,0.0000,2026,1.0931,548.9,04390004O7F,10.806,7443,32.1,47.3,40.0,0.0,156.4,636.3,501.2,449.1,825.8,620.9,545.9,546.0,507.5,1.0988,1.1822,484.8,408.4,391.9,38.0,144.4,632.7,450.2,434.0,405.9,379.1,340.8,325.7,281.4,291.8,336.9,1311.8,981.2,1312.0,46.6,138.8,1310.6,827.9,758.2,703.4,709.5,805.6,831.7,938.9,1137.2,1313.1
ISR,26382,ISR382,ISR 382,Rony 1,DEHLER 38,DEhler Yachts,Judel/ Vrolijk,2012,ISRAEL,,,,ORC,CLUB,C,734,03 02 2026 07:14:39,11.293,10.633,2.021,3.76,7293.,0.0,0.24,615.2,0.8873,676.2,1.0994,545.8,1034.8,826.4,711.0,642.5,604.4,581.5,556.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.9,641.8,566.3,524.1,500.5,485.0,464.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,774.3,639.4,560.4,519.3,489.4,443.7,44.6,42.6,41.1,39.8,39.3,39.0,39.1,145.1,149.4,152.8,157.4,164.6,170.4,176.3,1082.6,881.2,772.7,713.7,690.1,679.2,674.4,699.4,584.7,525.2,495.1,481.5,475.9,471.2,652.9,551.0,504.5,481.8,468.4,462.0,456.3,604.2,518.5,480.7,462.9,454.7,444.6,433.7,591.2,507.6,470.8,449.7,434.8,425.1,413.7,623.2,522.5,475.2,449.8,431.1,415.3,386.8,650.8,536.3,482.0,453.3,431.0,411.5,380.9,726.9,584.5,508.6,469.8,444.6,422.2,381.2,854.8,668.3,563.9,502.3,468.2,444.7,403.5,987.0,771.7,649.4,571.3,518.8,483.9,438.6,0.8405,1.1069,1.2471,0.6447,0.8940,1.0383,0.0,0.0000,2026,1.0065,596.1,0439000483L,9.694,8309,31.9,43.4,36.1,107.2,0.0,713.9,542.1,481.1,930.7,671.1,577.9,594.1,552.7,1.0100,1.0856,543.2,450.0,427.0,40.1,174.5,684.9,471.9,456.0,428.7,404.4,366.6,348.4,338.8,364.0,401.6,1509.5,1119.8,1504.6,47.5,141.0,1558.7,981.0,901.0,810.5,791.5,851.7,916.2,1052.8,1264.7,1460.3
