NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
LAT,036/26,EST-919,EST 919,RTS Baltic,Fareast 28R,,,2018,,,,,ORC,INTL,S,320,13 06 2026 10:37:06,8.520,8.337,1.715,2.79,1337.,106.2,0.00,593.7,0.8996,666.9,1.1302,530.9,949.2,771.3,696.1,651.2,613.6,583.7,533.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,609.1,553.6,518.5,491.2,470.0,437.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.9,726.0,624.9,558.4,512.0,472.6,407.5,43.4,41.0,40.0,39.8,40.5,40.8,41.6,142.4,145.8,151.2,149.0,145.6,145.3,146.2,992.3,827.0,778.9,760.9,752.1,748.2,750.0,649.9,558.0,532.3,521.0,514.1,509.4,504.6,616.0,536.4,510.3,496.5,487.2,480.4,473.7,592.9,521.5,480.7,460.9,447.0,436.7,425.6,602.7,523.6,473.7,436.0,414.7,399.5,378.6,584.1,498.5,454.7,424.7,399.7,378.8,335.4,593.8,499.6,439.4,403.2,375.8,352.8,316.9,658.9,534.2,465.8,405.1,355.8,320.9,277.7,784.7,619.6,531.6,469.0,411.5,363.1,274.6,906.1,715.5,613.3,541.5,475.2,419.3,317.1,0.8948,1.1301,1.2960,0.6975,0.8998,1.0483,0.0,0.0000,2026,1.0366,578.8,04960004T4A,8.020,1797,16.0,27.5,19.9,0.0,79.2,670.5,530.9,463.0,860.2,666.8,572.4,593.0,515.2,1.0117,1.1647,516.7,424.7,390.4,43.9,150.5,782.8,514.9,479.7,422.2,365.9,312.4,288.9,243.8,217.3,250.7,1368.0,1037.1,1363.0,46.1,139.7,1417.7,901.5,836.5,793.8,818.6,818.2,844.7,946.1,1141.6,1318.3
LAT,018/26,GBR1286L,GBR1286L,World of Love,IOR,Royal Huisman,Sparkman&Stephens,1978,,,,,ORC,CLUB,C,1000,28 07 2026 12:25:42,14.970,11.765,2.578,4.85,12544.,0.0,0.15,576.9,0.9529,629.7,1.1644,515.3,929.3,752.3,656.9,603.4,571.2,550.4,525.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,594.3,531.3,497.8,478.0,464.5,445.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.9,709.5,595.3,530.1,495.6,469.3,428.4,42.6,40.7,39.2,38.2,37.6,37.3,37.1,144.9,149.4,152.1,156.7,163.5,168.7,177.2,923.2,768.8,691.8,658.2,642.3,633.8,626.7,609.8,522.4,483.6,465.7,458.0,453.7,449.6,581.3,504.7,471.2,455.0,447.1,442.9,438.1,563.7,494.1,462.6,445.9,435.5,428.5,420.0,574.7,498.6,462.8,443.0,429.6,418.8,402.0,604.5,503.1,458.3,436.0,420.6,408.6,391.8,620.2,513.8,463.1,436.9,418.0,401.0,377.1,687.3,556.9,486.6,450.4,428.0,408.4,371.6,810.0,637.2,539.7,481.7,449.4,428.4,390.5,935.4,735.7,622.0,548.7,500.1,467.0,425.1,0.9144,1.1717,1.3020,0.7136,0.9591,1.0981,0.0,0.0000,2026,1.0719,559.8,04960004VPC,11.030,14048,44.6,58.1,84.8,177.2,0.0,656.2,512.1,460.8,840.8,625.6,546.4,553.1,526.1,1.0849,1.1405,510.1,434.0,416.2,37.5,171.3,629.6,448.7,436.1,414.1,391.7,385.2,364.5,346.6,356.9,390.6,1331.2,1003.2,1335.3,45.8,141.1,1290.5,822.7,763.8,726.0,746.4,843.2,868.9,989.8,1188.2,1372.0
LAT,031/26,LAT262,LAT 262,Flying Witch,Hanse 315,Hanse,Judel/Vrolijk,2006,,,,,ORC,CLUB,C,320,29 05 2026 19:43:59,9.405,8.483,1.774,3.18,4300.,0.0,0.27,670.2,0.8107,740.1,1.0022,598.7,1088.2,878.9,766.4,707.5,675.0,655.0,636.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.3,688.4,615.6,578.2,556.3,541.2,522.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.3,825.6,691.9,617.1,577.9,547.0,497.3,44.5,42.2,40.8,39.6,38.9,38.8,39.5,143.8,147.7,149.2,152.8,158.7,163.0,164.6,1136.6,936.2,833.0,783.6,762.8,755.1,760.9,737.6,624.1,570.5,546.4,535.9,531.2,529.4,696.9,597.6,553.2,531.9,521.0,516.3,512.8,667.1,578.0,539.5,518.6,504.7,494.9,487.1,675.0,571.5,528.4,507.5,497.1,484.3,463.6,662.4,558.8,517.8,492.3,471.0,453.6,433.7,681.1,569.3,523.6,496.2,472.0,450.1,414.3,760.6,616.9,547.4,513.8,488.2,463.9,419.1,900.4,711.5,606.0,549.0,519.2,497.1,456.0,1039.7,821.5,699.8,631.3,587.2,554.9,511.3,0.7876,1.0094,1.1151,0.6101,0.8182,0.9189,0.0,0.0000,2026,0.9207,651.7,04960004RNK,7.873,4790,21.9,27.2,27.6,0.0,73.2,761.8,594.4,538.1,983.4,733.3,653.0,649.9,604.7,0.9232,0.9922,630.1,513.5,485.7,41.2,161.0,787.1,533.5,514.3,483.4,453.7,419.1,394.7,375.0,416.8,473.1,1571.0,1180.1,1566.1,47.1,139.4,1620.3,1020.7,939.7,884.1,903.5,922.4,952.7,1090.4,1317.9,1521.7
LAT,054/26,LAT-393,LAT 393,Udacha,First 34.7,Beneteau,Farr,2005,,,,,ORC,INTL,C,620,18 06 2026 19:00:00,9.982,9.199,2.021,3.37,4936.,128.1,0.23,647.3,0.8537,702.8,1.0423,575.6,1063.7,854.1,738.1,668.9,630.6,607.6,581.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.4,671.6,596.1,554.0,530.4,514.2,491.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.8,803.5,668.1,589.7,550.1,519.9,471.3,43.6,41.4,39.7,38.3,37.6,37.7,37.9,145.5,150.3,153.2,159.9,166.8,175.4,177.7,1093.0,897.9,793.5,737.3,713.5,702.4,695.5,715.6,604.5,550.1,523.2,510.1,504.0,498.3,679.3,580.2,534.9,511.4,498.2,490.9,484.3,657.9,564.8,523.8,501.6,486.2,475.1,462.3,662.9,558.1,513.3,492.0,481.9,468.8,445.8,657.5,550.0,506.1,481.1,461.1,444.6,425.0,680.7,564.6,513.0,485.0,462.2,441.3,405.7,759.5,613.9,538.5,501.6,476.7,453.5,409.2,895.8,701.9,593.3,531.9,499.4,476.1,432.9,1034.4,810.3,682.6,600.4,547.6,512.8,468.0,0.8048,1.0491,1.1768,0.6257,0.8599,0.9939,0.0,0.0000,2026,0.9589,625.7,04960004TFR,8.701,5773,24.1,34.9,25.4,76.8,0.0,745.5,571.9,509.9,958.9,697.8,603.7,622.4,584.7,0.9640,1.0261,566.0,476.5,455.7,39.0,175.8,703.1,497.8,482.4,456.2,431.6,409.9,386.0,365.1,390.9,428.9,1541.2,1162.3,1539.6,46.2,139.3,1557.4,990.9,921.4,877.5,904.4,914.7,951.3,1094.4,1320.7,1525.0
LAT,029/26,LAT-394,LAT 394,Bailarina,Platu 25,Beneteau,Farr,2004,,,,,ORC,CLUB,S,389,29 05 2026 19:52:46,7.530,7.089,1.606,2.58,1343.,0.0,0.00,669.9,0.8230,729.0,0.9981,601.1,1055.8,854.7,752.5,701.0,671.3,649.8,613.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.7,683.4,620.7,586.0,561.8,542.1,509.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.1,808.0,688.2,622.5,582.0,546.2,485.9,42.4,39.9,37.2,36.3,36.0,35.9,36.3,145.3,150.3,156.1,164.8,170.9,170.0,159.3,1072.7,889.9,808.2,779.4,766.5,759.5,757.7,712.5,617.9,583.4,567.2,558.9,553.3,547.4,681.5,602.1,571.2,552.6,542.0,534.7,526.1,664.9,592.4,560.1,535.5,517.6,506.1,491.1,666.3,585.4,553.2,530.9,506.0,485.8,457.2,661.7,576.2,534.7,502.5,478.6,460.8,429.8,681.2,586.6,540.7,501.3,467.3,436.9,396.9,756.3,623.6,567.5,526.7,487.5,446.2,363.3,899.8,709.9,610.6,561.0,523.1,487.0,409.8,1039.0,819.5,696.9,622.7,576.2,540.1,469.9,0.7999,1.0006,1.1223,0.6281,0.8292,0.9350,0.0,0.0000,2026,0.9234,649.8,04960004RNL,7.215,1869,12.3,20.9,13.2,44.8,0.0,750.1,599.6,534.6,955.3,723.6,641.7,651.8,605.3,0.9205,0.9913,566.4,477.8,453.9,38.3,145.2,777.6,549.4,525.1,484.3,439.3,402.2,362.8,292.6,307.7,355.3,1502.2,1139.4,1501.8,45.2,139.0,1505.4,968.1,908.1,871.6,897.8,909.0,941.9,1076.0,1298.1,1498.9
LAT,009/26,LAT-413,LAT 413,VooDoo,Platu 25,Beneteau,Farr,2004,,,,,ORC,CLUB,S,389,20 05 2026 19:43:26,7.530,7.088,1.606,2.58,1343.,0.0,0.00,671.2,0.8217,730.2,0.9965,602.1,1059.9,857.4,754.1,701.7,671.9,650.4,614.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.8,685.1,621.8,586.7,562.3,542.6,509.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0,810.3,689.5,623.3,582.6,546.7,486.4,42.5,40.0,37.3,36.3,36.0,36.0,36.3,145.6,150.3,156.1,164.8,170.9,170.0,159.9,1079.3,894.3,810.5,780.1,767.0,760.1,758.2,716.9,619.9,584.4,567.6,559.2,553.5,547.8,685.5,603.7,572.3,553.2,542.2,535.0,526.5,668.6,594.1,561.3,536.4,518.2,506.3,491.5,667.3,585.8,553.2,532.2,507.1,486.6,457.7,662.9,576.8,535.2,502.8,478.7,460.9,429.9,682.6,587.3,541.4,501.9,467.8,437.4,397.1,758.1,624.6,568.3,527.5,488.5,447.3,364.4,901.2,710.9,611.2,561.7,523.8,487.9,411.0,1040.6,820.6,697.6,623.3,576.8,540.7,470.9,0.7974,0.9992,1.1211,0.6259,0.8279,0.9341,0.0,0.0000,2026,0.9218,650.9,04960004QLJ,7.208,1868,12.3,20.7,12.8,44.3,0.0,752.4,600.5,535.2,958.6,724.7,642.3,653.0,606.3,0.9188,0.9897,567.6,478.5,454.6,38.3,145.2,778.2,549.8,525.5,484.8,439.9,403.0,363.1,292.9,309.2,357.1,1510.5,1145.9,1509.8,45.3,138.8,1517.3,976.0,915.5,878.7,905.2,911.1,944.3,1079.1,1302.2,1503.7
LAT,030/26,LAT-418,LAT 418,Etalon,Platu 25,Beneteau,Farr,2004,,,,,ORC,CLUB,S,389,29 05 2026 20:01:10,7.530,7.088,1.606,2.58,1343.,0.0,0.00,671.1,0.8217,730.2,0.9966,602.0,1059.6,857.2,753.9,701.8,671.9,650.4,614.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.6,685.0,621.7,586.7,562.3,542.6,509.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.7,810.1,689.4,623.3,582.6,546.7,486.4,42.5,40.0,37.3,36.3,36.0,36.0,36.3,145.6,150.3,156.1,164.8,170.9,170.0,159.9,1078.2,893.6,810.0,780.0,766.9,759.9,758.0,716.1,619.5,584.2,567.5,559.1,553.5,547.6,684.8,603.4,572.1,553.1,542.1,534.9,526.3,667.9,593.8,561.1,536.2,518.1,506.3,491.3,667.5,585.7,553.1,531.9,506.9,486.4,457.5,663.2,576.9,535.3,502.8,478.4,460.6,429.6,683.0,587.5,541.5,502.0,467.8,437.3,396.8,758.6,624.9,568.5,527.8,488.8,447.7,364.8,901.5,711.0,611.4,561.9,524.1,488.2,411.4,1040.9,820.8,697.8,623.5,577.0,540.9,471.3,0.7976,0.9993,1.1212,0.6261,0.8280,0.9340,0.0,0.0000,2026,0.9219,650.8,04960004RNM,7.210,1868,12.3,20.8,12.9,44.0,0.0,752.3,600.4,535.1,958.3,724.6,642.4,652.9,606.4,0.9190,0.9895,567.8,478.4,454.5,38.3,145.0,777.9,549.6,525.3,484.6,439.7,402.8,362.7,292.6,309.8,357.7,1510.1,1145.5,1509.6,45.2,138.9,1515.3,974.6,914.2,877.4,903.9,911.5,944.9,1080.1,1303.4,1505.0
LAT,044/26,LAT-435,LAT 435,RA Evolution,Platu 25,Beneteau,Farr,2004,,,,,ORC,CLUB,S,389,18 06 2026 11:52:16,7.530,7.088,1.606,2.58,1343.,0.0,0.00,671.1,0.8218,730.1,0.9967,602.0,1060.1,857.5,754.0,701.6,671.8,650.3,614.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.8,685.1,621.7,586.6,562.3,542.5,509.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0,810.4,689.5,623.2,582.5,546.6,486.4,42.5,40.0,37.3,36.3,36.0,36.0,36.3,145.6,150.3,156.1,164.8,170.9,170.0,159.5,1080.2,894.9,810.8,780.2,767.1,760.2,758.4,717.5,620.2,584.6,567.7,559.2,553.6,547.8,686.1,603.9,572.4,553.3,542.2,535.0,526.6,669.1,594.4,561.4,536.6,518.3,506.4,491.5,667.0,585.7,553.5,532.4,507.3,486.7,457.7,662.3,576.5,535.0,502.9,479.0,461.3,430.4,681.8,586.9,541.0,501.6,467.6,437.4,397.5,757.1,624.0,567.8,526.9,487.8,446.5,363.8,900.6,710.4,610.9,561.3,523.3,487.3,410.2,1039.9,820.1,697.3,622.9,576.4,540.4,470.3,0.7974,0.9993,1.1213,0.6258,0.8280,0.9343,0.0,0.0000,2026,0.9219,650.8,04960004TEW,7.207,1868,12.3,20.7,12.7,44.8,0.0,752.4,600.4,535.1,958.8,724.6,642.2,653.0,606.0,0.9188,0.9901,567.1,478.4,454.5,38.3,145.2,778.3,549.9,525.6,484.8,440.0,403.1,363.5,293.2,308.2,355.9,1509.9,1145.7,1508.9,45.2,139.0,1519.0,977.1,916.5,879.7,906.3,910.1,943.1,1077.3,1299.6,1500.7
LAT,011/26,LAT-441,LAT 441,Fans,Neva,SNSZ,I. Sidenko,1993,,,,,ORC,CLUB,R,300,21 05 2026 08:44:37,6.435,5.559,1.437,2.48,946.,0.0,0.16,785.5,0.7081,847.3,0.8528,703.5,1244.6,1009.9,882.1,807.1,771.6,751.5,721.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,805.8,727.7,682.3,654.2,634.3,605.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.7,952.9,806.9,723.5,677.5,640.7,577.7,42.3,40.7,38.6,36.7,36.3,36.3,37.5,148.8,154.1,161.3,169.1,178.1,178.3,176.2,1283.8,1071.5,961.3,903.1,881.4,875.8,883.1,853.5,732.6,685.2,660.8,645.0,638.7,634.6,815.3,712.1,671.2,648.0,629.9,620.2,612.8,792.4,699.2,659.8,633.8,611.5,592.8,575.0,768.6,674.2,634.2,605.1,588.1,576.6,542.0,768.7,674.9,631.3,592.1,556.2,531.8,506.4,801.9,687.6,640.6,601.2,560.3,525.6,481.5,904.0,738.4,663.6,624.6,585.9,547.4,479.9,1043.9,825.1,709.2,653.8,617.8,581.1,513.5,1205.4,948.3,802.9,711.2,661.8,627.3,560.4,0.6780,0.8563,0.9548,0.5323,0.7142,0.8049,0.0,0.0000,2026,0.7893,760.2,04960004QO0,5.514,1344,9.8,14.7,10.2,28.8,0.0,885.0,700.7,628.4,1127.2,840.1,745.4,762.0,707.7,0.7874,0.8478,707.4,588.9,559.7,40.0,172.1,912.9,638.1,612.7,567.1,528.2,488.4,457.1,417.1,450.9,501.9,1792.3,1352.2,1790.8,45.2,142.8,1807.3,1161.1,1087.2,1040.9,1040.6,1045.9,1096.5,1285.2,1539.2,1777.4
LAT,035/26,LAT-464,LAT 464,Must Be,Dehler 42,Dehler,Judel/Vroelijk,2015,,,,,ORC,CLUB,C,665,08 06 2026 12:06:09,12.400,11.961,2.164,3.92,9100.,0.0,0.25,592.7,0.9162,654.8,1.1447,524.2,1007.3,800.5,685.6,620.3,587.4,566.7,541.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.5,620.8,543.7,502.1,479.2,463.5,441.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.6,749.5,615.1,537.3,497.8,467.5,420.3,45.1,43.0,41.3,40.2,39.7,39.4,39.4,142.3,146.2,147.8,150.7,153.8,158.6,159.9,1074.4,863.2,751.5,691.7,665.8,653.4,645.5,690.9,570.1,507.2,475.2,460.5,454.2,448.4,648.8,542.9,488.4,460.6,446.5,439.9,433.3,622.2,524.5,475.0,449.4,433.4,422.3,410.2,610.1,504.1,457.8,439.4,428.5,415.5,392.1,592.4,488.3,443.1,417.9,398.3,385.7,367.0,605.9,496.7,447.7,420.2,396.6,376.4,348.1,682.7,543.4,473.1,438.1,412.9,389.7,345.3,814.2,638.9,536.7,475.7,443.8,421.9,383.1,940.1,737.8,619.7,549.0,509.1,480.0,436.8,0.8637,1.1535,1.3063,0.6638,0.9247,1.0671,0.0,0.0000,2026,1.0473,572.9,04960004SI7,10.641,10093,38.9,51.2,40.1,0.0,144.1,694.7,520.2,459.3,903.9,648.9,562.3,573.7,529.0,1.0458,1.1341,523.8,426.2,404.7,40.2,143.8,651.8,448.1,431.7,404.1,379.0,351.6,327.8,296.7,342.7,395.7,1479.5,1111.9,1470.1,47.7,138.9,1572.9,987.0,906.5,855.8,864.8,841.8,868.2,990.4,1200.4,1386.1
