NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
POR,145002,BEL1450,BEL 1450,XEKMATT,IMX 45,X YACHTS,N.JEPPESEN,2002,ANLisboa,,,,ORC,INTL,C,956,22 06 2026 12:51:33,13.730,12.213,2.751,4.13,9285.,132.6,0.06,553.9,0.9915,605.2,1.2154,493.7,903.0,726.1,631.2,579.2,548.2,527.6,500.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1,571.4,509.6,477.0,457.1,442.8,421.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.9,684.3,571.6,508.1,474.0,446.9,404.8,42.6,40.5,38.9,37.7,37.1,37.2,37.1,142.4,147.3,151.2,156.3,163.5,169.1,170.9,903.5,742.6,664.8,631.8,616.3,607.2,597.5,596.6,505.1,464.9,448.5,441.2,436.5,430.9,567.7,487.7,453.0,437.3,429.6,424.6,418.2,548.8,476.7,444.8,427.0,415.3,407.5,397.6,559.7,481.5,445.9,425.6,409.8,397.1,379.7,570.1,474.9,435.4,413.5,398.4,388.0,370.2,586.4,484.7,440.3,414.6,393.4,375.3,351.6,656.9,529.1,463.9,430.5,405.9,383.2,338.8,781.6,614.5,517.8,461.8,430.9,407.6,363.7,902.5,709.5,597.5,526.6,480.0,447.9,403.4,0.9475,1.2226,1.3688,0.7366,0.9983,1.1482,0.0,0.0000,2026,1.1176,536.9,03530004TPD,11.693,10631,38.6,65.0,48.5,151.1,0.0,633.2,490.8,438.3,814.6,601.0,522.6,531.6,504.0,1.1288,1.1904,481.9,405.0,389.0,38.0,162.7,601.7,429.8,416.1,392.8,368.7,353.3,332.4,293.9,317.7,362.0,1303.3,981.8,1305.3,45.5,139.6,1282.7,819.1,762.2,724.4,745.9,796.8,827.4,947.7,1146.5,1323.8
POR,,E10250,ESP 10250,X TRIM,X-46 DK,X YACHTS,JEPPESEN,2003,CNLisboa,,,,ORC,INTL,C,700,21 04 2026 18:18:38,13.990,12.455,2.671,4.09,10758.,124.5,0.15,558.2,0.9795,612.6,1.2048,498.0,907.4,731.9,638.7,587.2,555.8,535.0,508.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.9,574.6,513.1,481.3,461.8,448.2,428.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.4,688.9,576.9,513.6,479.1,452.2,411.2,42.9,40.8,39.4,38.5,37.9,37.7,37.5,141.9,145.6,148.9,155.8,162.6,168.2,172.7,927.2,761.8,682.4,648.2,631.4,621.5,611.6,610.0,515.1,472.2,454.6,446.9,442.1,436.8,579.4,495.7,458.3,442.2,434.8,430.2,424.5,559.1,483.3,448.9,431.4,420.9,414.4,405.7,570.0,483.8,446.9,429.3,415.0,403.9,389.3,564.6,471.3,432.4,411.4,397.8,388.0,371.6,578.0,478.3,435.9,411.9,392.5,376.1,354.7,643.7,519.7,457.9,427.0,404.6,384.0,343.8,768.7,608.0,515.3,461.0,430.3,408.4,368.3,887.6,702.1,595.0,526.2,480.2,448.4,405.9,0.9423,1.2126,1.3510,0.7320,0.9859,1.1313,0.0,0.0000,2026,1.1069,542.1,03530004MAO,11.534,11839,39.7,61.5,51.8,161.3,157.4,636.7,494.8,444.1,819.7,608.6,530.4,539.2,504.6,1.1128,1.1890,492.7,414.5,397.6,38.3,165.5,616.7,437.8,423.9,401.5,380.1,361.2,337.3,301.5,327.2,368.7,1309.6,987.9,1308.3,45.6,138.3,1321.9,840.7,779.9,739.7,763.3,788.2,816.4,925.6,1123.4,1297.2
POR,,ESP204,ESP 204,F1,MELGES 32,MELGES,REICHEL/PUGH,2005,CAVCMA,,,,ORC,INTL,R,620,27 08 2026 22:44:31,9.685,9.264,2.160,2.94,1961.,106.8,0.00,550.9,0.9814,611.4,1.2066,497.3,840.3,698.1,638.7,600.2,567.9,537.0,489.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.2,560.3,518.1,489.0,465.7,444.6,413.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.2,659.9,579.2,523.5,484.3,448.2,391.4,42.1,39.0,37.7,37.5,37.4,37.3,38.0,142.1,147.1,152.9,150.9,145.6,145.2,148.3,871.7,743.8,705.7,688.3,678.1,671.0,672.4,579.4,517.6,499.8,489.6,482.4,476.5,471.8,553.8,502.1,483.3,471.4,462.7,455.9,448.5,537.1,488.8,460.4,445.1,433.3,424.0,411.8,544.2,489.6,452.7,425.5,408.3,394.3,374.5,531.5,476.1,445.3,420.2,398.6,375.2,334.0,538.5,470.4,430.6,402.3,377.2,355.3,319.5,589.0,493.6,439.3,390.7,350.9,323.3,282.2,700.5,565.0,496.6,443.7,396.5,349.0,265.9,808.9,652.4,571.6,512.1,457.8,403.0,307.0,0.9889,1.2029,1.3695,0.7800,0.9786,1.1385,0.0,0.0000,2026,1.1137,538.8,03530004WR0,9.339,2795,19.0,41.9,22.0,0.0,121.0,606.7,498.8,438.1,769.2,613.1,527.0,548.6,484.7,1.0937,1.2379,467.2,397.7,372.9,39.9,152.5,693.2,477.0,451.4,408.6,362.2,311.4,291.7,246.4,212.9,241.3,1190.6,905.1,1187.3,44.8,139.8,1223.1,785.3,731.8,694.8,711.5,722.0,747.8,833.5,1002.9,1158.1
POR,,E5015,ESP 5015,RACER,FIRST 40.7,BENETEAU,B.FARR,1997,S.C.A.,,,,ORC,CLUB,C,720,10 04 2026 07:19:19,11.924,10.552,2.400,3.77,6743.,0.0,0.13,596.6,0.9239,649.4,1.1307,530.6,980.1,785.6,679.5,619.4,585.2,563.0,535.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.6,618.4,548.9,511.6,489.4,473.6,451.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.7,740.2,615.4,544.7,507.7,478.7,432.1,42.6,40.6,39.1,37.8,37.6,37.3,37.4,144.3,148.9,152.3,157.6,165.1,171.2,176.3,984.0,808.0,717.4,674.4,657.0,646.8,638.0,648.3,548.1,501.4,480.3,470.4,465.2,459.2,616.6,528.3,488.9,469.3,458.4,452.6,445.5,596.7,515.9,480.0,459.7,445.5,435.5,424.3,609.1,520.0,476.9,457.2,441.5,427.0,405.6,616.0,512.0,468.5,443.7,424.2,409.4,390.5,636.3,525.2,475.2,447.4,424.6,404.2,371.1,712.6,573.7,501.7,465.1,439.7,416.4,371.5,845.4,661.0,556.9,496.8,463.9,440.1,396.4,976.2,763.2,641.6,564.4,513.3,479.2,433.6,0.8740,1.1377,1.2789,0.6796,0.9306,1.0746,0.0,0.0000,2026,1.0397,577.1,03530004KQR,10.179,7743,31.0,48.2,37.1,103.8,0.0,686.5,527.4,469.2,882.9,644.7,558.3,571.6,542.9,1.0498,1.1052,517.6,434.7,415.7,38.2,169.1,641.4,458.0,443.1,418.1,392.6,380.3,350.6,321.2,352.2,393.9,1418.9,1068.7,1420.9,45.7,138.9,1398.7,892.4,831.0,791.4,815.8,862.7,895.9,1030.6,1246.3,1439.1
POR,,E5015_C,ESP 5015,RACER,FIRST 40.7,BENETEAU,B.FARR,1997,DGSClube,,,,ORC,CLUB,C,720,15 04 2026 09:40:29,11.924,10.571,2.403,3.77,6880.,0.0,0.15,597.4,0.9228,650.2,1.1292,531.4,981.9,787.4,680.7,619.8,585.6,563.4,536.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.9,619.7,549.7,512.1,490.0,474.4,452.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.2,741.8,616.3,545.2,508.3,479.5,433.5,42.6,40.6,39.2,37.8,37.6,37.4,37.4,144.2,148.6,152.1,157.6,164.8,170.9,176.3,989.1,812.6,720.4,675.7,657.9,647.6,638.6,651.1,550.8,503.0,481.0,471.0,465.8,459.9,618.9,530.6,490.2,470.1,459.1,453.4,446.4,598.3,517.6,481.2,460.7,446.5,436.6,425.7,610.8,521.0,477.4,458.1,442.8,428.4,407.5,615.2,512.1,468.7,444.2,425.2,411.2,392.8,635.2,524.7,475.1,447.6,425.2,405.2,373.6,711.3,572.5,500.8,464.6,439.7,416.7,372.8,844.1,660.2,556.1,496.2,463.6,440.2,397.1,974.7,762.3,640.9,563.9,513.3,479.3,434.0,0.8724,1.1362,1.2766,0.6782,0.9295,1.0737,0.0,0.0000,2026,1.0382,577.9,03530004LC8,10.169,7881,31.2,47.6,37.1,106.6,0.0,687.8,528.1,470.0,884.7,645.5,558.8,572.8,543.1,1.0476,1.1049,518.4,436.0,417.5,38.2,169.6,641.9,458.6,444.0,419.7,394.7,380.5,353.9,324.2,353.9,395.0,1422.0,1071.5,1423.5,46.0,139.4,1407.9,897.5,835.6,795.5,820.4,862.6,895.3,1029.4,1243.8,1436.2
POR,,E6966,ESP 6966,WHO'S NEXT,COMET 41S MOD.,COMAR,A.VALLICELLI & C.,2000,ANLisboa,,,,ORC,INTL,C,830,12 06 2026 11:59:55,12.469,11.006,2.330,3.93,6690.,119.8,0.07,580.3,0.9444,635.3,1.1610,516.8,952.1,762.7,662.0,607.6,575.2,554.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.3,599.3,533.5,499.0,477.8,462.8,440.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.6,718.4,598.9,532.2,495.9,466.9,421.6,43.0,40.8,39.2,38.2,37.7,38.0,38.2,141.3,148.0,151.8,157.0,164.4,170.2,170.9,957.1,783.9,700.8,667.0,651.7,642.8,635.8,628.3,531.2,487.4,469.5,461.9,457.2,452.2,596.6,511.9,474.1,457.0,449.0,443.9,437.8,576.3,499.4,465.0,445.5,432.7,424.7,415.2,589.0,504.3,464.9,443.9,426.7,412.9,394.8,594.6,495.0,453.2,429.0,411.2,399.8,380.5,613.2,506.5,459.0,431.2,407.8,387.8,360.4,687.6,553.3,485.0,449.5,423.0,398.3,349.7,820.3,642.2,540.5,481.6,448.9,424.1,377.1,947.2,741.5,623.2,548.1,498.7,465.1,418.1,0.9018,1.1682,1.3092,0.6998,0.9516,1.0926,0.0,0.0000,2026,1.0668,562.4,03530004T29,10.515,7831,32.0,52.3,39.2,114.1,0.0,665.3,513.6,458.3,857.4,630.5,549.1,558.2,526.7,1.0749,1.1392,509.4,424.8,405.6,39.4,162.4,645.0,452.3,436.6,410.8,384.7,365.8,339.4,300.0,328.0,373.8,1374.4,1034.8,1375.6,46.0,138.8,1362.5,867.5,806.4,766.2,789.4,833.1,865.0,993.0,1200.6,1386.3
POR,8377R1,E8377_R,ESP 8377,VICKY,VROLIJK 37,QBOATS,JUDEL/VROLIJK,2003,CNCascais,,,,ORC,INTL,C,664,06 03 2026 16:25:53,10.995,9.870,2.219,3.28,5293.,0.0,0.04,610.2,0.9005,666.3,1.1028,544.1,993.4,797.6,692.9,636.9,604.7,584.1,557.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.1,627.9,560.0,525.4,504.7,490.1,468.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.6,751.4,627.6,559.9,523.5,494.4,448.9,42.5,40.8,39.4,38.4,38.0,38.2,38.4,144.7,149.2,152.2,158.5,166.2,172.7,175.4,1001.7,822.9,736.6,704.2,690.3,682.6,676.9,662.5,558.8,513.1,496.5,489.6,485.4,480.9,631.3,539.6,500.0,483.5,476.4,471.8,466.5,612.5,528.2,491.3,471.3,459.3,452.4,443.5,624.5,525.2,487.7,469.0,451.7,438.3,422.0,620.7,518.4,476.8,452.6,436.6,425.6,407.0,641.0,532.2,483.5,455.0,431.6,411.5,385.9,716.9,579.2,508.6,472.9,445.5,420.4,371.3,853.1,668.8,563.3,503.4,471.3,446.0,398.6,985.1,772.3,649.2,569.5,519.0,485.7,438.4,0.8609,1.1105,1.2352,0.6700,0.9079,1.0356,0.0,0.0000,2026,1.0146,591.4,03530004H21,9.431,6200,26.1,44.7,30.4,93.2,0.0,696.9,540.3,485.8,895.5,660.9,579.4,588.0,552.2,1.0204,1.0866,542.6,453.6,433.9,39.8,165.3,690.8,482.0,465.8,440.1,413.3,391.0,365.7,319.0,347.9,394.5,1425.2,1075.9,1426.0,45.6,139.5,1417.1,906.7,846.4,807.7,830.5,860.7,894.3,1028.2,1241.2,1433.2
POR,11944,L11944,FIN 11944,EAGLE III,Landmark 43,Landmark Yachts,Mark Mills,2006,ANLisboa,,,,ORC,INTL,C,805,19 08 2026 11:55:55,13.074,11.716,2.706,3.83,7843.,148.4,0.00,533.9,1.0243,585.8,1.2547,478.2,851.9,688.7,604.6,562.3,539.8,523.2,488.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.3,544.3,492.0,464.9,447.3,432.9,405.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.1,649.2,549.4,494.4,463.7,437.8,389.3,42.9,40.8,38.7,37.6,37.0,36.7,36.4,141.7,145.1,149.2,153.7,155.7,153.7,145.3,880.7,722.7,650.2,620.7,605.1,595.8,585.8,579.7,491.6,457.8,443.7,436.7,431.9,425.9,550.6,476.2,447.2,433.1,425.2,419.9,412.9,531.7,467.1,440.0,423.1,411.1,402.6,391.7,542.0,466.1,437.8,421.7,405.9,392.4,372.2,526.5,451.6,420.7,402.6,386.7,370.5,345.8,536.9,454.3,420.9,396.1,375.5,360.3,320.5,596.9,481.1,437.2,409.5,383.2,355.8,299.1,712.9,567.1,484.1,440.1,414.8,391.0,338.5,823.2,654.8,559.0,504.0,474.5,450.5,390.8,0.9987,1.2601,1.4074,0.7789,1.0321,1.1667,0.0,0.0000,2026,1.1563,518.9,03530004WJP,11.646,8994,35.9,64.4,45.3,0.0,191.9,600.8,476.2,426.3,770.3,581.3,514.3,517.4,481.7,1.1596,1.2455,451.3,383.4,364.7,37.3,144.5,589.7,424.1,409.9,385.3,358.4,335.8,292.8,261.5,271.1,313.0,1222.3,925.8,1219.2,45.5,139.0,1253.0,799.8,743.1,705.1,725.3,733.0,761.0,853.0,1031.9,1191.5
POR,,FRA16980,FRA 16980,JOLLY JUMPER,FIRST CLASS 10,BENETEAU,FINOT/FAUROU,1984,CNHorta,,,,ORC,CLUB,R,400,14 05 2026 13:37:38,10.385,9.249,1.844,3.06,3516.,0.0,0.18,640.1,0.8572,699.9,1.0550,568.7,1060.3,845.0,730.2,667.1,631.8,609.3,579.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,663.8,588.1,548.0,524.1,507.3,481.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.3,795.6,660.4,584.5,544.0,511.5,459.1,43.7,41.2,39.5,38.5,38.2,38.0,38.9,145.1,149.0,151.3,157.6,164.6,169.3,167.3,1070.7,874.4,778.4,738.8,721.7,712.8,708.0,700.6,590.4,539.2,517.6,508.9,503.9,498.9,664.5,568.0,523.9,503.5,494.1,488.6,482.2,642.4,553.4,512.9,490.3,475.1,465.9,454.8,656.4,558.4,513.0,487.4,467.3,451.2,429.7,660.0,547.2,498.9,470.7,449.9,436.7,413.4,680.9,559.5,504.2,471.6,444.7,420.6,386.1,760.3,609.4,530.0,489.5,458.6,429.7,365.9,909.3,706.3,591.0,523.8,487.8,458.9,401.5,1050.0,815.5,681.9,595.4,541.9,505.7,451.8,0.8120,1.0618,1.1957,0.6298,0.8644,0.9936,0.0,0.0000,2026,0.9693,619.0,03530004PV1,8.710,4116,22.4,30.0,29.3,75.5,0.0,738.9,565.1,501.8,952.7,694.1,603.9,616.5,577.3,0.9732,1.0392,555.5,461.2,438.5,40.5,155.3,722.0,500.1,483.0,449.9,417.0,393.3,357.8,308.4,337.8,389.1,1541.6,1161.4,1542.3,46.2,137.7,1534.1,974.9,905.9,863.4,894.0,933.5,967.1,1106.4,1341.5,1549.0
POR,,FRA18323,FRA 18323,OJO PIOJO,MUMM 30,OVINGTON,FARR,1996,We Do Sailing,,,,ORC,INTL,R,500,14 03 2026 07:26:10,9.435,8.957,2.148,3.04,2448.,111.4,0.00,605.8,0.9032,664.3,1.0998,545.5,940.4,768.9,686.5,643.1,615.7,594.1,551.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.8,613.5,562.3,533.2,512.7,495.4,465.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.3,726.2,625.3,567.5,531.8,500.3,446.1,41.9,39.7,38.1,37.5,37.3,37.3,37.9,143.8,147.8,154.1,160.6,165.3,162.7,149.6,961.5,808.4,751.6,729.2,717.3,710.0,706.7,639.2,557.6,530.3,519.5,512.7,508.1,503.4,609.7,541.0,515.9,504.7,497.1,491.6,485.3,590.2,529.4,502.1,484.8,473.7,465.1,454.0,604.2,530.7,499.3,475.0,456.3,442.6,423.0,591.1,517.9,488.1,468.5,451.6,436.9,399.0,602.2,519.4,481.5,452.5,432.3,414.0,382.1,672.9,549.0,497.2,457.5,420.6,386.3,339.0,796.1,631.7,541.0,494.1,456.8,419.7,343.7,919.3,729.4,621.5,556.9,514.2,478.2,396.8,0.8940,1.1020,1.2283,0.7021,0.9074,1.0281,0.0,0.0000,2026,1.0163,590.4,03530004HPC,8.672,3143,18.1,32.6,21.4,88.8,0.0,671.1,544.5,488.5,854.6,661.2,583.6,593.9,540.3,1.0103,1.1106,520.2,445.7,424.0,39.2,150.2,729.6,507.4,486.2,450.0,411.3,369.7,356.6,304.8,269.4,310.9,1350.6,1024.4,1349.6,44.9,140.3,1360.6,873.9,817.5,782.0,807.7,818.1,847.2,962.1,1161.0,1340.6
