NAT,CERTN.,FILE_ID,SAILNUMB,NAME,TYPE,BUILDER,DESIGNER,YEAR,CLUB,OWNER,ADRS1,ADRS2,C_Type,Family,D,CREW,DD_MM_yyYY HH:MM:SS,LOA,IMSL,DRAFT,BMAX,DSPL,INDEX,DA,GPH,TMF,ILCGA,APHTOT,APHTOD,WL6,WL8,WL10,WL12,WL14,WL16,WL20,OL6,OL8,OL10,OL12,OL14,OL16,OL20,CR6,CR8,CR10,CR12,CR14,CR16,CR20,NSP6,NSP8,NSP10,NSP12,NSP14,NSP16,NSP20,OC6,OC8,OC10,OC12,OC14,OC16,OC20,UA6,UA8,UA10,UA12,UA14,UA16,UA20,DA6,DA8,DA10,DA12,DA14,DA16,DA20,UP6,UP8,UP10,UP12,UP14,UP16,UP20,R526,R528,R5210,R5212,R5214,R5216,R5220,R606,R608,R6010,R6012,R6014,R6016,R6020,R756,R758,R7510,R7512,R7514,R7516,R7520,R906,R908,R9010,R9012,R9014,R9016,R9020,R1106,R1108,R11010,R11012,R11014,R11016,R11020,R1206,R1208,R12010,R12012,R12014,R12016,R12020,R1356,R1358,R13510,R13512,R13514,R13516,R13520,R1506,R1508,R15010,R15012,R15014,R15016,R15020,D6,D8,D10,D12,D14,D16,D20,OTNLOW,OTNMED,OTNHIG,ITNLOW,ITNMED,ITNHIG,DH_TOD,DH_TOT,VPPYEAR,TMF-OF,OSN,ReferenceNo,CDL,DSPS,WSS,MAIN,GENOA,SYM,ASYM,OTDLOW,OTDMED,OTDHIG,ITDLOW,ITDMED,ITDHIG,PREUPD,PREDND,PREUPT,PREDNT,WL24,CR24,OC24,UA24,DA24,UP24,R5224,R6024,R7524,R9024,R11024,R12024,R13524,R15024,D24,WL4,CR4,OC4,UA4,DA4,UP4,R524,R604,R754,R904,R1104,R1204,R1354,R1504,D4
RSA,ZAC012,GBR5289L,GBR-5289L,ATALANTA,JPK 1030,JPK,JACQUES VALER,2019,,,,,ORC,CLUB,R,500,21 02 2026 22:24:21,10.313,9.595,1.986,3.23,3898.,0.0,0.00,615.2,0.8891,674.9,1.1001,545.4,1024.6,819.0,707.3,643.4,606.4,583.3,552.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,641.5,567.4,525.6,499.9,481.6,452.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.7,769.2,638.1,561.1,519.5,486.0,430.0,43.7,41.5,39.7,38.3,38.3,39.2,38.5,142.7,146.9,148.9,157.7,164.6,168.7,166.8,1074.5,871.2,765.1,709.2,686.9,675.9,669.4,703.8,587.5,529.8,500.3,486.0,479.9,474.1,668.1,564.8,514.9,488.6,472.7,464.2,455.8,647.7,551.1,504.9,479.0,458.7,443.0,426.9,629.2,527.0,483.9,463.2,449.6,437.0,405.7,615.3,514.4,470.2,438.3,412.9,396.8,370.1,631.4,523.5,476.6,442.7,412.7,383.9,342.3,709.3,570.5,502.2,465.9,434.3,403.7,336.6,844.2,664.1,562.5,504.4,472.4,443.9,387.9,974.8,766.9,649.5,577.6,525.8,490.7,436.2,0.8400,1.1055,1.2621,0.6509,0.8954,1.0387,0.0,0.0000,2026,1.0095,594.3,04620004C82,9.231,4611,25.0,32.8,26.8,84.7,93.6,714.3,542.7,475.4,921.8,670.1,577.6,594.9,552.2,1.0086,1.0866,520.8,427.9,405.0,39.7,139.6,680.9,474.7,454.8,419.9,387.9,346.7,313.4,265.7,312.3,360.6,1490.0,1127.5,1483.8,46.4,138.8,1551.9,990.4,924.4,885.3,885.4,867.5,895.7,1021.5,1236.7,1428.1
RSA,ZAC075,GBR5733,GBR-5733R,Jacana,J-133,J Boats,Johnstone,2003,SOUTH AFRICA,,,,ORC,CLUB,C,870,05 02 2026 12:47:32,13.140,12.172,2.294,3.87,9121.,0.0,0.19,556.9,0.9846,609.4,1.2109,495.5,916.3,735.1,634.3,579.6,552.9,534.3,506.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.8,575.7,511.2,477.6,458.4,444.1,421.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.8,690.7,573.7,508.5,475.3,448.4,406.0,43.4,41.5,39.9,38.2,37.3,36.9,36.4,142.4,145.8,148.3,152.3,155.0,158.5,155.0,960.4,779.3,684.0,637.2,616.8,604.7,591.1,625.2,522.7,473.9,453.3,443.7,438.2,431.2,591.0,501.9,461.6,443.2,433.1,427.2,419.4,569.4,489.0,453.3,434.3,421.7,412.4,400.8,577.8,481.3,446.5,432.6,417.8,405.0,386.0,558.4,467.0,430.9,409.7,394.9,383.7,363.9,569.2,471.9,432.6,408.0,388.0,370.0,343.8,634.5,508.4,451.8,422.2,397.7,375.2,328.0,755.3,598.4,506.2,454.0,427.4,405.9,366.4,872.1,690.9,584.5,522.0,488.9,464.0,422.3,0.9371,1.2191,1.3661,0.7267,0.9932,1.1350,0.0,0.0000,2026,1.1131,539.0,046200048JT,11.579,10372,38.1,55.2,47.0,0.0,178.0,640.3,492.2,439.2,825.7,604.1,528.6,537.2,501.6,1.1168,1.1963,474.7,399.2,384.9,36.7,143.0,587.8,428.3,415.7,394.0,372.7,346.6,320.9,277.4,313.0,361.5,1325.7,1002.1,1320.3,46.6,138.9,1380.3,873.5,806.7,762.5,787.6,785.7,810.2,910.1,1100.9,1271.2
RSA,ZAC 305,GER8783,GER-8783,SELINARIS,MOODY 38,MOODY YACHTS,B.DIXON/A.PRIMROSE,1991,Germany,,,,ORC,CLUB,C,698,01 04 2026 14:30:19,11.430,10.191,1.443,3.78,8165.,0.0,0.52,698.5,0.7762,773.0,0.9766,614.4,1216.6,962.3,824.7,736.8,678.4,639.7,606.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.5,742.7,645.4,588.0,552.2,528.3,502.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.2,898.5,734.3,632.2,573.9,532.6,477.5,48.0,46.4,45.6,44.6,43.8,42.8,42.5,146.8,150.1,152.0,156.3,162.3,167.8,177.7,1321.1,1065.0,932.3,849.3,793.2,756.6,738.7,827.1,676.5,599.9,553.7,526.4,509.6,497.2,761.4,632.7,567.0,529.4,507.6,493.5,479.8,726.4,608.7,545.1,511.5,492.0,478.9,460.7,732.3,596.3,525.7,491.0,471.2,457.1,438.7,713.1,582.2,515.7,484.0,463.8,446.4,415.5,736.6,598.6,524.9,488.7,467.2,449.1,416.2,819.1,652.9,557.8,507.2,479.7,460.0,424.3,963.2,744.6,621.9,546.5,504.2,479.3,443.7,1112.2,859.6,717.0,624.4,563.6,522.9,474.8,0.7198,0.9819,1.1434,0.5507,0.7789,0.9418,0.0,0.0000,2026,0.8904,673.9,04620004JKC,8.187,9145,32.2,26.7,39.3,93.3,76.8,833.6,611.1,524.8,1089.5,770.3,637.1,678.0,615.3,0.8850,0.9751,597.9,490.8,462.7,43.7,177.2,753.0,497.5,477.4,450.6,429.0,391.3,387.4,391.9,410.9,442.8,1809.2,1351.8,1795.2,50.3,144.0,1949.2,1205.3,1081.8,1010.6,1039.3,1018.3,1057.7,1203.0,1445.6,1669.2
RSA,ZAC219,ITA12128,ITA-12128,MSC Donna Mia,J33,J BOATS,Rod Johnstone,1988,,,,,ORC,CLUB,C,605,07 02 2026 22:03:32,10.173,9.271,1.964,3.31,4200.,0.0,0.01,634.7,0.8713,688.7,1.0597,566.2,1032.1,825.9,716.5,658.1,624.2,602.4,573.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.3,652.3,582.7,547.0,525.7,510.6,487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.5,779.3,651.1,581.4,544.8,515.9,469.2,42.7,40.8,38.8,37.4,36.7,36.3,36.1,145.3,149.6,152.1,158.8,165.9,172.7,176.3,1017.4,837.0,749.7,716.5,701.2,692.0,682.8,670.2,570.4,530.8,516.0,509.4,505.1,499.6,638.4,553.2,519.8,504.9,497.9,493.1,486.2,620.5,543.3,511.6,493.8,482.4,475.5,464.8,635.8,547.9,511.3,490.0,473.7,461.7,444.9,664.9,551.2,506.1,480.9,462.6,448.9,428.5,687.4,565.0,511.8,482.1,458.6,438.5,406.1,766.3,614.4,536.5,498.7,470.8,446.3,397.5,906.5,705.6,592.9,529.8,496.7,470.7,424.4,1046.8,814.7,683.4,599.6,547.2,512.7,464.0,0.8290,1.0669,1.1865,0.6459,0.8784,1.0051,0.0,0.0000,2026,0.9764,614.5,04620004A47,8.979,5042,23.8,32.7,39.3,80.4,0.0,723.8,562.4,505.7,928.9,683.1,597.0,607.1,578.7,0.9884,1.0369,553.8,468.8,451.4,36.9,166.3,686.0,498.1,484.1,458.3,431.8,412.5,384.2,342.7,372.5,421.5,1498.5,1128.3,1504.1,46.0,138.7,1442.3,919.4,856.2,818.5,848.0,938.5,974.0,1116.1,1346.3,1554.6
RSA,ZAC028,RSA1435,RSA 1435,SHIPREK,BEN FIRST 375,BENETEAU FRANCE,BERET,1985,,,,,ORC,CLUB,C,575,07 02 2026 21:48:41,11.300,9.569,2.010,3.82,6684.,0.0,0.41,656.2,0.8401,714.2,1.0309,582.0,1095.0,872.3,752.0,679.0,636.6,613.2,589.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.1,683.1,603.5,559.1,533.4,517.4,496.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.4,819.4,678.6,596.0,553.3,523.3,476.4,44.6,42.3,40.8,39.4,38.4,38.0,38.2,146.2,150.1,153.2,158.5,165.5,172.7,178.1,1131.4,921.8,812.8,750.7,720.4,708.9,705.5,731.7,613.1,554.3,526.3,512.0,505.0,501.7,689.7,585.7,537.0,513.4,500.2,492.3,487.5,664.6,567.7,524.7,502.5,488.2,477.8,464.8,662.7,556.9,512.4,490.0,475.4,464.7,449.9,678.5,559.8,510.0,484.2,464.4,446.2,415.4,702.7,576.4,518.0,489.0,467.8,448.5,410.7,781.6,626.2,544.4,504.7,480.4,459.4,417.1,916.8,712.6,600.6,536.0,502.1,479.6,439.7,1058.6,822.7,691.1,607.3,552.8,517.5,473.6,0.7878,1.0384,1.1684,0.6100,0.8465,0.9833,0.0,0.0000,2026,0.9468,633.7,04620004A0B,8.742,7508,28.6,31.7,39.2,89.1,76.0,761.6,577.8,513.5,983.6,708.8,610.2,629.8,591.1,0.9527,1.0151,578.8,484.1,460.7,39.3,175.8,720.8,503.2,486.8,460.6,434.7,399.6,384.9,383.3,400.4,436.9,1606.7,1208.2,1603.8,47.3,142.8,1634.9,1031.0,951.0,899.1,921.4,950.7,999.1,1142.9,1366.9,1578.4
RSA,ZAC255,RSA1555,RSA 1555,KEG,MIURA,NEBE,BERCKMEYER,1970,WC,,,,ORC,CLUB,C,494,03 02 2026 21:17:54,9.330,7.980,1.816,3.15,5284.,0.0,0.71,754.1,0.7316,820.2,0.9013,665.7,1267.8,1013.1,872.2,781.2,724.1,689.8,656.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.4,796.8,696.5,637.5,602.7,581.1,555.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.7,952.1,784.9,681.5,625.4,587.6,533.0,44.2,42.3,41.3,40.4,39.7,39.3,39.0,148.4,151.8,153.7,159.1,164.6,170.0,177.9,1329.0,1087.0,959.3,878.6,828.5,803.0,787.7,863.7,722.6,647.0,602.9,577.4,563.2,554.5,818.0,691.0,622.3,584.3,562.1,549.3,539.3,794.0,671.6,604.6,568.7,548.2,534.7,517.8,804.6,662.3,589.8,555.1,539.8,529.7,505.7,784.0,647.1,576.5,541.9,520.5,503.2,480.9,812.1,664.0,585.1,545.3,521.1,500.4,466.1,908.1,721.2,617.1,563.4,533.9,511.3,470.2,1044.9,814.7,682.2,603.0,558.8,532.7,491.4,1206.6,939.2,785.1,683.8,619.7,576.6,526.2,0.6749,0.9067,1.0398,0.5261,0.7348,0.8746,0.0,0.0000,2026,0.8268,725.7,0462000487R,6.878,5967,23.3,19.1,31.8,69.7,0.0,889.0,661.7,577.0,1140.5,816.5,686.0,726.5,673.5,0.8259,0.8909,642.7,543.2,518.7,39.6,177.2,796.3,554.7,537.5,511.9,489.2,467.2,449.4,440.7,456.2,489.1,1866.0,1414.8,1859.7,46.9,145.3,1928.1,1218.6,1130.3,1082.1,1119.5,1105.5,1152.7,1328.9,1562.1,1803.8
RSA,ZAC299,RSA1750,RSA 1750,Black Cat,Didi 38,Dudley Dix,Dudley Dix,1993,SOUTH AFRICA,,,,ORC,CLUB,R,775,05 02 2026 11:03:23,11.438,10.710,2.216,3.37,5285.,0.0,0.18,605.2,0.9071,661.5,1.1199,535.8,1018.5,809.8,693.3,628.7,593.3,569.6,533.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.3,632.5,556.0,515.2,490.9,473.0,445.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,761.1,625.8,549.6,509.2,476.9,426.7,43.0,41.2,39.5,38.5,37.9,37.5,37.2,144.7,148.9,148.6,156.1,163.3,166.7,162.7,1043.4,843.9,742.1,698.9,678.3,665.6,651.1,681.4,568.7,512.0,489.8,480.5,474.4,466.7,645.5,545.6,496.6,475.7,466.2,459.9,451.3,623.8,531.0,485.6,462.2,446.9,437.5,424.5,634.1,526.3,486.3,459.4,438.0,420.5,398.9,618.5,510.9,465.4,439.8,422.8,408.7,385.7,636.0,521.9,469.3,436.7,409.7,389.9,363.3,712.8,570.0,493.6,454.2,421.0,391.4,338.0,860.5,671.8,558.1,489.2,453.7,422.5,366.4,993.6,775.7,644.4,558.5,508.4,473.5,415.3,0.8494,1.1267,1.2844,0.6563,0.9140,1.0678,0.0,0.0000,2026,1.0268,584.3,046200048IT,9.920,6353,29.3,46.9,31.2,119.7,0.0,706.4,532.5,467.1,914.2,656.5,561.9,583.6,542.6,1.0280,1.1058,506.5,425.7,407.3,37.7,152.1,651.8,463.9,447.6,417.8,387.1,362.5,341.3,298.9,313.2,361.3,1467.9,1109.1,1465.2,46.5,137.6,1495.2,951.5,885.6,844.5,872.6,872.4,901.8,1030.3,1247.6,1440.7
RSA,ZAC306,RSA198,RSA 198,Hill Billy,J-27,DP Yachting,Johnstone,1983,SOUTH AFRICA,,,,ORC,CLUB,S,320,14 04 2026 20:39:57,8.428,7.432,1.520,2.59,1785.,0.0,0.18,685.0,0.8001,749.9,0.9831,610.3,1125.0,903.1,783.5,713.9,678.6,655.9,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.2,707.2,631.9,589.8,565.1,545.8,514.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.2,848.5,709.0,628.6,586.3,550.4,487.9,43.3,41.2,39.3,37.7,37.6,37.4,38.0,143.2,147.8,155.4,162.8,170.9,176.3,169.1,1172.4,957.6,845.3,795.3,778.6,768.8,764.6,768.3,646.6,591.6,568.1,558.4,552.5,546.7,728.9,622.2,576.4,554.1,542.6,536.2,528.7,686.9,591.4,555.7,539.6,522.5,511.1,498.5,664.1,576.2,539.4,516.1,501.1,490.3,466.8,672.9,573.7,530.6,498.7,470.8,445.6,409.1,696.9,587.1,539.4,503.9,470.6,435.0,378.3,784.3,637.3,568.2,529.5,495.1,460.6,383.0,933.2,734.9,626.3,565.2,529.1,496.8,429.6,1077.6,848.6,721.8,632.4,578.6,543.0,483.4,0.7661,0.9877,1.1135,0.5917,0.8064,0.9236,0.0,0.0000,2026,0.9036,664.0,04620004LAE,7.241,2238,14.8,23.3,11.5,43.0,42.4,783.2,607.5,538.8,1014.0,744.0,649.6,665.5,615.5,0.9016,0.9748,591.2,487.1,460.3,40.0,139.5,784.9,548.2,528.0,493.4,451.9,382.0,340.8,291.2,344.3,397.6,1629.3,1220.5,1624.0,45.9,138.9,1682.5,1074.0,1000.1,940.2,897.9,932.1,971.9,1125.7,1364.9,1576.0
RSA,ZAC238,RSA31025,RSA 31025,TNT,CAPE 31,CAPE PERFORMANCE SAILING,MARK MILLS,2017,,,,,ORC,CLUB,R,655,01 07 2026 08:06:14,9.573,9.387,2.444,3.05,1805.,0.0,0.00,546.7,0.9862,608.4,1.2345,486.0,893.3,719.5,636.6,590.5,556.6,526.0,468.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.4,569.6,510.2,473.1,445.6,423.0,384.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.8,678.6,574.0,507.5,464.1,426.2,362.0,42.8,40.4,38.5,37.6,37.3,37.1,37.1,141.7,145.3,148.9,150.3,146.2,144.7,144.5,918.7,754.1,686.7,663.0,650.1,641.9,631.2,604.9,516.5,481.2,465.5,454.8,447.0,436.4,574.7,501.2,463.1,443.9,432.0,423.1,411.6,555.3,491.1,447.4,415.9,400.2,388.0,371.1,567.9,492.6,451.3,409.6,377.0,358.4,333.3,550.1,469.0,420.2,391.8,368.0,347.8,304.6,560.0,472.7,414.0,373.5,347.5,325.5,289.8,628.6,504.6,444.8,390.9,341.9,301.8,255.1,751.7,593.2,507.9,448.8,401.0,355.2,264.2,868.0,684.9,586.5,518.0,463.0,410.2,305.1,0.9539,1.2329,1.4484,0.7440,0.9866,1.1720,0.0,0.0000,2026,1.1322,529.9,04620004UHO,9.767,2667,20.7,38.1,24.5,0.0,116.3,629.0,486.7,414.3,806.5,608.1,511.9,536.7,483.6,1.1180,1.2406,438.5,363.4,339.1,37.9,149.1,636.5,435.4,408.0,363.0,317.9,271.8,259.8,223.5,208.4,240.6,1293.3,981.3,1290.7,45.1,139.3,1319.0,844.9,787.6,750.1,774.6,779.3,807.3,907.6,1097.7,1267.5
RSA,ZAC290,RSA3901,RSA 3901,CAPE BANDIT,PACER 376,PACER YACHTS,SIMONIS VOOGD,2008,,,,,ORC,CLUB,C,540,26 02 2026 12:32:48,11.466,10.863,2.461,3.72,6288.,0.0,0.18,582.7,0.9348,641.8,1.1539,520.0,946.5,763.0,664.3,613.7,587.2,568.4,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.4,599.1,535.9,503.0,482.9,467.8,443.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.4,717.1,600.9,536.4,500.9,471.8,424.9,43.1,40.8,39.3,38.2,37.6,37.4,37.4,142.2,146.1,149.5,152.5,156.1,158.8,146.9,997.2,814.3,722.8,681.9,664.4,654.7,645.7,655.4,550.4,501.1,480.7,472.0,466.8,461.2,621.8,528.7,486.9,467.9,458.4,452.9,446.5,599.9,514.4,476.5,455.7,441.6,431.9,421.4,586.6,498.6,469.1,453.9,435.4,419.6,398.3,571.8,484.1,448.3,424.5,409.5,396.7,375.8,584.5,489.7,450.3,421.7,397.5,379.8,353.6,650.7,528.1,471.6,439.5,411.0,384.6,330.0,775.7,616.3,524.6,474.4,445.8,421.0,374.3,895.7,711.7,605.7,545.5,510.1,482.2,432.2,0.9039,1.1606,1.2972,0.7020,0.9428,1.0675,0.0,0.0000,2026,1.0612,565.4,04620004F26,10.226,7095,31.2,49.1,32.0,0.0,133.3,663.8,517.0,462.5,854.7,636.4,562.1,566.8,523.0,1.0586,1.1472,506.8,423.0,404.1,38.3,142.7,652.7,460.4,444.7,416.3,387.3,358.4,331.2,286.3,312.6,360.9,1362.8,1032.0,1356.3,45.8,138.9,1427.6,910.3,846.8,805.6,816.7,793.5,821.1,927.8,1124.0,1297.9
